       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance Predictions =========================

  Given an RPM, the velocity is determined that yields peak efficiency.

  Be wary of the highest 1 or 2 RPM data points.  The computations inherently tend toward 
  instability at the highest RPM's where solutions generally still appear to be available.


           ========== 105x45 ==========

       RPM       VMPH       EFF      HP
      1000         3        0.36    0.0000
      2000         7        0.45    0.0020
      3000        10        0.50    0.0070
      4000        15        0.53    0.0150
      5000        18        0.56    0.0280
      6000        22        0.58    0.0470
      7000        26        0.60    0.0720
      8000        30        0.62    0.1050
      9000        35        0.63    0.1420
     10000        39        0.64    0.1920
     11000        44        0.65    0.2510
     12000        48        0.66    0.3230
     13000        52        0.67    0.4110
     14000        55        0.68    0.5170
     15000        62        0.68    0.5970
     16000        67        0.69    0.7250
     17000        71        0.70    0.8740
     18000        75        0.70    1.0440
     19000        79        0.71    1.2400
     20000        84        0.71    1.4500
     21000        88        0.71    1.7500
     22000        88        0.69    2.2280
     23000        97        0.67    2.5600
 


           ========== 105x6 ==========

       RPM       VMPH       EFF      HP
      1000         4        0.46    0.0010
      2000         9        0.55    0.0040
      3000        14        0.59    0.0110
      4000        20        0.62    0.0240
      5000        25        0.65    0.0450
      6000        30        0.67    0.0750
      7000        35        0.68    0.1170
      8000        42        0.69    0.1640
      9000        47        0.70    0.2310
     10000        53        0.71    0.3150
     11000        58        0.72    0.4170
     12000        64        0.73    0.5340
     13000        69        0.73    0.6890
     14000        77        0.74    0.7940
     15000        83        0.75    0.9790
     16000        89        0.75    1.1940
     17000        94        0.76    1.4420
     18000       100        0.76    1.7290
     19000       105        0.76    2.0640
     20000       111        0.76    2.4640
 


           ========== 10x10 ==========

       RPM       VMPH       EFF      HP
      1000         7        0.62    0.0010
      2000        15        0.69    0.0050
      3000        24        0.73    0.0160
      4000        32        0.75    0.0380
      5000        41        0.77    0.0720
      6000        51        0.78    0.1130
      7000        60        0.79    0.1790
      8000        69        0.80    0.2650
      9000        77        0.81    0.3760
     10000        86        0.81    0.5160
     11000        95        0.82    0.6870
     12000       108        0.82    0.8050
     13000       117        0.83    1.0270
     14000       127        0.83    1.2890
     15000       136        0.83    1.5970
     16000       145        0.84    1.9560
     17000       154        0.84    2.3720
     18000       163        0.84    2.8540
     19000       180        0.85    2.9790
 


           ========== 10x10E ==========

       RPM       VMPH       EFF      HP
      1000         7        0.68    0.0010
      2000        15        0.73    0.0050
      3000        23        0.76    0.0150
      4000        32        0.77    0.0360
      5000        41        0.79    0.0630
      6000        50        0.80    0.1080
      7000        58        0.80    0.1710
      8000        67        0.81    0.2550
      9000        75        0.81    0.3620
     10000        84        0.82    0.4960
     11000        92        0.82    0.6620
     12000       101        0.83    0.8620
     13000       114        0.83    0.9870
     14000       123        0.83    1.2390
     15000       132        0.84    1.5340
     16000       140        0.84    1.8770
     17000       149        0.84    2.2740
     18000       158        0.84    2.7330
     19000       166        0.85    3.2650
 


           ========== 10x12WE ==========

       RPM       VMPH       EFF      HP
      1000         9        0.72    0.0010
      2000        18        0.76    0.0070
      3000        29        0.79    0.0210
      4000        39        0.80    0.0480
      5000        50        0.81    0.0930
      6000        60        0.82    0.1610
      7000        70        0.82    0.2540
      8000        80        0.83    0.3790
      9000        94        0.83    0.4840
     10000       104        0.84    0.6640
     11000       115        0.84    0.8860
     12000       126        0.84    1.1550
     13000       136        0.85    1.4760
     14000       146        0.85    1.8560
     15000       157        0.85    2.3020
     16000       167        0.85    2.8220
     17000       186        0.86    2.9850
     18000       196        0.86    3.5980
     19000       207        0.86    4.3160
     20000       209        0.86    5.8910
 


           ========== 10x3 ==========

       RPM       VMPH       EFF      HP
      1000         2        0.26    0.0000
      2000         5        0.34    0.0020
      3000         8        0.38    0.0050
      4000        10        0.42    0.0110
