       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance N100 Values =========================

   The N100 values represent engine RPM's that draw 100 watts
   under static (zero aircraft velocity) conditions.  These
   data reflect computed predictions, NOT test measurements.

   These predictions have been compared with 74 test cases and
   the computed means agree rather well.  However, the scatter 
   about the mean is generally on the order of about 10%.

   APC Prop                         N100
   (LPCODE)                         RPM 

   105x45                           8075
   105x6                            6674
   10x10                            6144
   10x10E                           6218
   10x12WE                          5560
   10x3                             9088
   10x38MRF-RH                      7365
   10x38SF                          7294
   10x4                             8114
   10x45MR                          7501
   10x45MRF-RH                      7570
   10x46SF                          7695
   10x47SF                          6779
   10x5                             7511
   10x55MR                          7016
   10x58EP(F2B)                     7221
   10x5E                            7674
   10x6-4                           6069
   10x6                             7099
   10x6E                            7225
   10x6F                            7482
   10x7                             6789
   10x7E                            6901
   10x7SF                           5882
   10x8                             6553
   10x8E                            6615
   10x9                             6324
   115x4                            6705
   115x6                            6001
   11x10                            5501
   11x10E                           5551
   11x11                            5361
   11x12                            5283
   11x12E                           5044
   11x12W                           4940
   11x13                            5179
   11x14                            5193
   11x3                             7910
   11x38SF                          6429
   11x4                             7151
   11x45EP                          7204
   11x45MR                          6742
   11x46SF                          6779
   11x47SF                          6013
   11x5                             6705
   11x55E                           6692
   11x55MR                          6254
   11x55R-RH                        8112
   11x6-4                           5270
   11x6                             6324
   11x7                             6041
   11x7E-3                          5501
   11x7E                            6172
   11x7SF                           5161
   11x8                             5801
   11x85E                           5834
   11x8E                            5965
   11x8F                            6027
   11x9-4                           4596
   11x9                             5632
   1225x375                         6372
   125x10                           4588
   125x6                            5338
   12x10                            4911
   12x10E                           5055
   12x10W                           4601
   12x11                            4765
   12x12                            4650
   12x12E                           4778
   12x12N                           4765
   12x13                            4549
   12x13N                           4672
   12x14                            4460
   12x38SF                          5747
   12x4                             6789
   12x45MR                          6054
   12x45MRF-RH                      6110
   12x47SF                          5317
   12x5                             6313
   12x55MR                          5574
   12x58SF                          5643
   12x6                             5622
   12x6E                            5915
   12x6EP(F2B)                      5915
   12x6SF                           4858
   12x7                             5361
   12x7E-3                          4792
   12x8                             5154
   12x85F                           5220
   12x8E                            5356
   12x8SF                           4369
   12x9                             5033
   12x9W                            4707
   135x10                           4313
   135x135                          3962
   135x14                           3962
   135x9                            4608
   13x10                            4352
   13x10E                           4581
   13x10F                           4428
   13x11                            4236
   13x135N                          4374
   13x13N                           4437
   13x14                            3988
   13x4                             6144
   13x45EP(F2B)                     6027
   13x45EP                          6027
   13x45MR                          5598
   13x47SF                          4806
   13x4E                            6258
   13x4W                            5632
   13x55E                           5465
   13x55MR                          5203
   13x55MRF-RH                      5165
   13x6                             5361
   13x65E(F2B)                      5251
   13x65E                           5260
   13x7                             5128
   13x7F                            5001
   13x8                             4970
   13x8E                            4940
   13x9                             4477
   14x10                            4017
   14x10E                           4214
   14x10F                           4051
   14x11                            3901
   14x12                            3812
   14x12E                           4033
   14x12N                           3925
   14x13                            3696
   14x135                           3653
   14x13N                           3824
   14x14                            3613
   14x14E                           3824
   14x14N                           3742
   14x47SF                          4334
   14x4W                            5117
   14x55MR                          4694
   14x5N                            5515
   14x6                             4650
   14x6E                            5011
   14x7                             4416
   14x7E                            4707
   14x8                             4214
   14x85E                           4444
   155x12-4                         2667
   1575x13-3                        2656
   15x10                            3636
   15x10E                           3846
   15x11                            3534
   15x12                            3451
   15x135-3                         3049
   15x4E                            5266
   15x4W                            4645
   15x55MR                          4260
   15x6                             4266
   15x6E                            4549
   15x7                             4079
   15x7E                            4303
   15x8                             3901
   15x8E                            4136
   16x10                            3304
   16x10E                           3491
   16x12                            3158
   16x12E                           3312
   16x13                            3110
   16x14                            3062
   16x16                            3000
   16x4E                            4841
   16x4W                            4220
   16x55MR                          3988
   16x6                             4000
   16x6E                            4202
   16x7                             3759
   16x7E(3D)                        3988
   16x8                             3544
   16x8E                            3791
   17x10                            3082
   17x10E                           3239
   17x10N                           3230
   17x10WE                          3068
   17x12E                           3096
   17x12W                           2829
   17x13                            2847
   17x4W                            3924
   17x6                             3643
   17x6E                            3913
   17x7E                            3671
   17x8                             3292
   17x8E                            3482
   17x8N                            3446
   181x10                           2804
   181x12                           2662
   18x10                            3135
   18x10E                           3041
   18x12                            3024
   18x12E                           2839
   18x12WE                          2722
   18x14                            2910
   18x55MR                          3367
   18x6W                            3380
   18x8                             3307
   18x8E                            3237
   18x8W                            3083
   19x10E                           2789
   19x11                            2590
   19x12E                           2597
   19x12WE                          2504
   19x8E                            3055
   19x8W                            2855
   205x105PN                        2349
   205x105WPN                       2288
   205x10PN                         2385
   205x12WE                         2207
   205x135EPN                       2255
   205x14E                          2261
   205x14EPN                        2262
   205x205E(CD)                     2021
   20x10                            2653
   20x105PN                         2480
   20x10E                           2585
   20x10PN                          2470
   20x10W                           2405
   20x11E                           2493
   20x12                            2518
   20x12WE                          2345
   20x13E                           2357
   20x14                            2425
   20x15(WCAR-T6)                   2245
   20x15C                           2375
   20x15E                           2269
   20x18(F1-GT)                     2187
   20x225EP(CD)                     1992
   20x8                             2890
   20x8E                            2847
   20x8W                            2611
   215x105PN                        2250
   215x10WPN                        2255
   215x13EPN                        2162
   21x105PN                         2313
   21x10PN                          2300
   21x10W                           2266
   21x12WE                          2209
   21x135EPN                        2193
   21x13E                           2222
   21x13WE                          2162
   22x10                            2313
   22x10E                           2273
   22x12E                           2155
   22x12WE                          2047
   22x13EPN                         2133
   22x8                             2476
   24x12E                           1959
   25x125E                          1750
   26x13E                           1605
   26x15E                           1505
   27x13E                           1503
   28x20-4                           990
   41x41E                          25179
   42x2                            30837
   42x4                            25470
   44x4                            23441
   45x35                           23415
   45x4                            22503
   45x41E                          22055
   46x3                            24062
   475x4                           21318
   475x45E                         20947
   475x475E                        20845
   475x55E                         19950
   47x42E                          21102
   4x33E                           24816
   4x45E                           32663
   4x4E-3                          40874
   51x45E                          16079
   51x50E-3                        14922
   51x50E                          17294
   525x475E                        17907
   525x55E                         17502
   525x625E                        16544
   525x8E                          14848
   52x60E                          32871
   55x2                            22055
   55x25                           20476
   55x45E                          17684
   55x47E                          17480
   55x65E                          15348
   55x70                           15562
   57x3                            19193
   5x3                             21669
   5x37E-3                         39928
   5x3E                            22725
   5x41SF                          19652
   5x43E                           16957
   5x45E                           16911
   5x46E                           16402
   5x4E-3                          14922
   5x4E-4                          36935
   5x4R-RH                         23179
   5x5E                            19526
   5x5F                            21826
   5x75E                           16117
   63x4                            15002
   65x29                           17044
   65x37                           15669
   65x50                           14446
   65x55                           14174
   65x60                           13925
   65x65                           13609
   65x70                           13335
   65x75                           13033
   6x2                             20892
   6x3                             18478
   6x31SF                          16362
   6x3F                            17306
   6x3R-RH                         21002
   6x4                             16162
   6x41SF                          15150
   6x42E-3                         13292
   6x45E                           13260
   6x4E                            16282
   6x5                             15224
   6x55E                           14922
   6x6E                            31901
   74x75C                           9791
   74x76C                           9738
   74x77C                           9694
   78x4                            11668
   78x6                            10461
   78x7                            10001
   7x10                            10221
   7x11E                            9218
   7x3                             15073
   7x38WSF                         10830
   7x4                             13064
   7x41SF                          12201
   7x4E                            12456
   7x4F                            14359
   7x4SF                           12055
   7x5                             12408
   7x5E                            11608
   7x5SF                           11307
   7x6                             11873
   7x6E                            11053
   7x6F                            12835
   7x6SF                           10830
   7x6W                            11001
   7x7                             11344
   7x7E                            10585
   7x8                             10941
   7x9                             10515
   8625x375                        11472
   875x50                           8876
   875x70N                          9001
   875x75N                          8830
   875x75NN                         9246
   875x75W                          9223
   875x775NN                        9206
   875x80NN                         9223
   875x825NN                        9065
   875x85N                          8547
   875x875NN                        9022
   875x875W                         8855
   875x90NN                         8926
   875x90W                          8806
   875x925NN                        8901
   875x925W                         8722
   88x85                            8806
   88x875                           8592
   88x89                            8676
   88x90                            8652
   88x925                           8501
   88x95                            8534
   88x975                           8534
   8x10                             8545
   8x375                           12602
   8x38SF                           9745
   8x4                             11133
   8x41SF                          10168
   8x42SFR                         13402
   8x45MR                          10071
   8x47SF                           9021
   8x4E                            10542
   8x4F                            11783
   8x5                             10422
   8x6                             10001
   8x6E                             9218
   8x6SF                            8341
   8x7                              9642
   8x73                             9685
   8x8                              9350
   8x8E                            23950
   8x9                              9065
   925x60                           9086
   93x3                             9839
   95x45                            9201
   95x5MR                           7730
   95x6                             7805
   95x75N                           7890
   95x7N                            7978
   9625x375N                       10796
   9x10                             7340
   9x3                             10073
   9x37SF                           9290
   9x38SF                           8381
   9x3N                            11905
   9x4                              9430
   9x41SF                           9001
   9x44SFR                         11279
   9x45E                            8787
   9x45MR                           8601
   9x45MRF-RH                       8592
   9x45R-RH                        10796
   9x46SF                           8668
   9x47SF                           7756
   9x5                              8830
   9x5F                             9218
   9x6-4                            6901
   9x6                              8334
   9x65                             8076
   9x6E                             7978
   9x6N                             9812
   9x6SF                            7112
   9x7                              8076
   9x75                             7788
   9x75E                            7427
   9x75SF                           6668
   9x8                              7746
   9x85                             7550
   9x8E-3                           6360
   9x9                              7511
   9x9E                            21963
