       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance RPM Range ===========================
    (Note: Max rpm may exceed structural capability) 

APC Prop                                 Min       Max
105x45                                  1000     23000
105x6                                   1000     20000
10x10                                   1000     19000
10x10E                                  1000     19000
10x12WE                                 1000     20000
10x3                                    1000     22000
10x38MRF-RH                             1000     23000
10x38SF                                 1000     23000
10x4                                    1000     21000
10x45MR                                 1000     22000
10x45MRF-RH                             1000     24000
10x46SF                                 1000     23000
10x47SF                                 1000     23000
10x5                                    1000     20000
10x55MR                                 1000     22000
10x58EP(F2B)                            1000     21000
10x5E                                   1000     21000
10x6-4                                  1000     22000
10x6                                    1000     20000
10x6E                                   1000     21000
10x6F                                   1000     20000
10x7                                    1000     22000
10x7E                                   1000     21000
10x7SF                                  1000     22000
10x8                                    1000     20000
10x8E                                   1000     21000
10x9                                    1000     19000
115x4                                   1000     20000
115x6                                   1000     18000
11x10                                   1000     18000
11x10E                                  1000     18000
11x11                                   1000     21000
11x12                                   1000     20000
11x12E                                  1000     18000
11x12W                                  1000     20000
11x13                                   1000     20000
11x14                                   1000     19000
11x3                                    1000     20000
11x38SF                                 1000     21000
11x4                                    1000     19000
11x45EP                                 1000     21000
11x45MR                                 1000     20000
11x46SF                                 1000     21000
11x47SF                                 1000     21000
11x5                                    1000     19000
11x55E                                  1000     20000
11x55MR                                 1000     20000
11x55R-RH                               1000     20000
11x6-4                                  1000     21000
11x6                                    1000     19000
11x7                                    1000     18000
11x7E-3                                 1000     21000
11x7E                                   1000     19000
11x7SF                                  1000     20000
11x8                                    1000     18000
11x85E                                  1000     21000
11x8E                                   1000     19000
11x8F                                   1000     20000
11x9-4                                  1000     19000
11x9                                    1000     18000
1225x375                                1000     19000
125x10                                  1000     19000
125x6                                   1000     18000
12x10                                   1000     16000
12x10E                                  1000     18000
12x10W                                  1000     18000
12x11                                   1000     16000
12x12                                   1000     19000
12x12E                                  1000     18000
12x12N                                  1000     17000
12x13                                   1000     19000
12x13N                                  1000     19000
12x14                                   1000     19000
12x38SF                                 1000     19000
12x4                                    1000     18000
12x45MR                                 1000     19000
12x45MRF-RH                             1000     20000
12x47SF                                 1000     19000
12x5                                    1000     18000
12x55MR                                 1000     18000
12x58SF                                 1000     19000
12x6                                    1000     17000
12x6E                                   1000     18000
12x6EP(F2B)                             1000     19000
12x6SF                                  1000     19000
12x7                                    1000     17000
12x7E-3                                 1000     20000
12x8                                    1000     16000
12x85F                                  1000     17000
12x8E                                   1000     18000
12x8SF                                  1000     18000
12x9                                    1000     16000
12x9W                                   1000     19000
135x10                                  1000     18000
135x135                                 1000     16000
135x14                                  1000     17000
135x9                                   1000     17000
13x10                                   1000     16000
13x10E                                  1000     18000
13x10F                                  1000     18000
13x11                                   1000     16000
13x135N                                 1000     18000
13x13N                                  1000     18000
13x14                                   1000     17000
13x4                                    1000     18000
13x45EP(F2B)                            1000     18000
13x45EP                                 1000     18000
13x45MR                                 1000     18000
13x47SF                                 1000     17000
13x4E                                   1000     19000
13x4W                                   1000     18000
13x55E                                  1000     18000
13x55MR                                 1000     17000
13x55MRF-RH                             1000     18000
13x6                                    1000     17000
13x65E(F2B)                             1000     18000
13x65E                                  1000     18000
13x7                                    1000     17000
13x7F                                   1000     18000
13x8                                    1000     17000
13x8E                                   1000     18000
13x9                                    1000     16000
14x10                                   1000     16000
14x10E                                  1000     15000
14x10F                                  1000     17000
14x11                                   1000     16000
14x12                                   1000     16000
14x12E                                  1000     14000
14x12N                                  1000     17000
14x13                                   1000     14000
14x135                                  1000     14000
14x13N                                  1000     17000
14x14                                   1000     14000
14x14E                                  1000     15000
14x14N                                  1000     16000
14x47SF                                 1000     16000
14x4W                                   1000     17000
14x55MR                                 1000     16000
14x5N                                   1000     17000
14x6                                    1000     16000
14x6E                                   1000     16000
14x7                                    1000     16000
14x7E                                   1000     16000
14x8                                    1000     16000
14x85E                                  1000     16000
155x12-4                                1000     15000
1575x13-3                               1000     12000
15x10                                   1000     15000
15x10E                                  1000     16000
15x11                                   1000     15000
15x12                                   1000     15000
15x135-3                                1000     14000
15x4E                                   1000     16000
15x4W                                   1000     16000
15x55MR                                 1000     16000
15x6                                    1000     15000
15x6E                                   1000     16000
15x7                                    1000     15000
15x7E                                   1000     16000
15x8                                    1000     15000
15x8E                                   1000     16000
16x10                                   1000     14000
16x10E                                  1000     15000
16x12                                   1000     13000
16x12E                                  1000     15000
16x13                                   1000     15000
16x14                                   1000     13000
16x16                                   1000     13000
16x4E                                   1000     15000
16x4W                                   1000     15000
16x55MR                                 1000     14000
16x6                                    1000     15000
16x6E                                   1000     15000
16x7                                    1000     15000
16x7E(3D)                               1000     15000
16x8                                    1000     14000
16x8E                                   1000     15000
17x10                                   1000     12000
17x10E                                  1000     14000
17x10N                                  1000     14000
17x10WE                                 1000     14000
17x12E                                  1000     14000
17x12W                                  1000     14000
17x13                                   1000     13000
17x4W                                   1000     14000
17x6                                    1000     14000
17x6E                                   1000     14000
17x7E                                   1000     14000
17x8                                    1000     14000
17x8E                                   1000     14000
17x8N                                   1000     13000
181x10                                  1000     13000
181x12                                  1000     13000
18x10                                   1000     13000
18x10E                                  1000     13000
18x12                                   1000     13000
18x12E                                  1000     13000
18x12WE                                 1000     13000
18x14                                   1000     13000
18x55MR                                 1000     13000
18x6W                                   1000     13000
18x8                                    1000     13000
18x8E                                   1000     13000
18x8W                                   1000     13000
19x10E                                  1000     12000
19x11                                   1000     11000
19x12E                                  1000     12000
19x12WE                                 1000     12000
19x8E                                   1000     12000
19x8W                                   1000     12000
205x105PN                               1000     11000
205x105WPN                              1000     10000
205x10PN                                1000     11000
205x12WE                                1000     11000
205x135EPN                              1000     11000
205x14E                                 1000     11000
205x14EPN                               1000     11000
205x205E(CD)                            1000     11000
20x10                                   1000     11000
20x105PN                                1000     11000
20x10E                                  1000     12000
20x10PN                                 1000     10000
20x10W                                  1000     11000
20x11E                                  1000     12000
20x12                                   1000     12000
20x12WE                                 1000     12000
20x13E                                  1000     12000
20x14                                   1000     12000
20x15(WCAR-T6)                          1000     11000
20x15C                                  1000     11000
20x15E                                  1000     12000
20x18(F1-GT)                            1000      9000
20x225EP(CD)                            1000     11000
20x8                                    1000     12000
20x8E                                   1000     12000
20x8W                                   1000     11000
215x105PN                               1000     10000
215x10WPN                               1000     10000
215x13EPN                               1000     11000
21x105PN                                1000     10000
21x10PN                                 1000     11000
21x10W                                  1000     11000
21x12WE                                 1000     11000
21x135EPN                               1000     11000
21x13E                                  1000     11000
21x13WE                                 1000     11000
22x10                                   1000     11000
22x10E                                  1000     11000
22x12E                                  1000     11000
22x12WE                                 1000     11000
22x13EPN                                1000     11000
22x8                                    1000     11000
24x12E                                  1000     10000
25x125E                                 1000      9000
26x13E                                  1000      9000
26x15E                                  1000      9000
27x13E                                  1000      9000
28x20-4                                 1000      6000
41x41E                                  1000     45000
42x2                                    1000     45000
42x4                                    1000     45000
44x4                                    1000     42000
45x35                                   1000     43000
45x4                                    1000     42000
45x41E                                  1000     42000
46x3                                    1000     45000
475x4                                   1000     40000
475x45E                                 1000     41000
475x475E                                1000     42000
475x55E                                 1000     41000
47x42E                                  1000     41000
4x33E                                   1000     41000
4x45E                                   1000     33000
4x4E-3                                  1000     41000
51x45E                                  1000     32000
51x50E-3                                1000     38000
51x50E                                  1000     35000
525x475E                                1000     35000
525x55E                                 1000     36000
