       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by maximum thrust) 


        RPM      THRUST       POWER      TORQUE        Cp          Ct        PROP
         -        (LBF)        (HP)     (IN-LBF)

       1000       0.001       0.000       0.001      0.1194      0.1528      41x41E.dat                 
       1000       0.001       0.000       0.001      0.1050      0.1034      42x2.dat                   
       1000       0.001       0.000       0.001      0.1535      0.1411      42x4.dat                   
       1000       0.002       0.000       0.001      0.0987      0.1374      475x45E.dat                
       1000       0.002       0.000       0.001      0.0968      0.1391      47x42E.dat                 
       1000       0.002       0.000       0.001      0.1166      0.1365      475x55E.dat                
       1000       0.002       0.000       0.001      0.1518      0.1852      4x33E.dat                  
       1000       0.002       0.000       0.001      0.0539      0.0904      5x4R-RH.dat                
       1000       0.002       0.000       0.002      0.1030      0.1187      5x3.dat                    
       1000       0.002       0.000       0.001      0.1978      0.2138      4x45E.dat                  
       1000       0.002       0.000       0.001      0.2688      0.2945      4x4E-3.dat                 
       1000       0.002       0.000       0.001      0.1100      0.1526      45x41E.dat                 
       1000       0.002       0.000       0.001      0.1141      0.1231      46x3.dat                   
       1000       0.002       0.000       0.001      0.1526      0.1506      44x4.dat                   
       1000       0.002       0.000       0.001      0.0803      0.0980      5x5F.dat                   
       1000       0.002       0.000       0.001      0.0741      0.1088      5x3E.dat                   
       1000       0.002       0.000       0.001      0.1351      0.1401      45x35.dat                  
       1000       0.002       0.000       0.002      0.1320      0.1384      475x4.dat                  
       1000       0.002       0.000       0.001      0.1468      0.1471      45x4.dat                   
       1000       0.002       0.000       0.001      0.1053      0.1347      475x475E.dat               
       1000       0.002       0.000       0.002      0.0693      0.0812      55x2.dat                   
       1000       0.003       0.000       0.002      0.1065      0.1358      525x55E.dat                
       1000       0.003       0.000       0.002      0.0787      0.0960      55x25.dat                  
       1000       0.003       0.000       0.001      0.0754      0.1478      5x41SF.dat                 
       1000       0.003       0.000       0.002      0.1067      0.1307      5x5E.dat                   
       1000       0.003       0.000       0.002      0.0553      0.0667      6x2.dat                    
       1000       0.003       0.000       0.003      0.1664      0.1560      5x75E.dat                  
       1000       0.003       0.000       0.002      0.0940      0.1384      525x475E.dat               
       1000       0.003       0.000       0.002      0.1140      0.1406      525x625E.dat               
       1000       0.003       0.000       0.001      0.0306      0.0644      6x3R-RH.dat                
       1000       0.003       0.000       0.002      0.0776      0.0976      57x3.dat                   
       1000       0.004       0.000       0.002      0.0892      0.1251      55x45E.dat                 
       1000       0.004       0.000       0.003      0.1121      0.1408      55x65E.dat                 
       1000       0.004       0.000       0.002      0.1271      0.1649      51x50E.dat                 
       1000       0.004       0.000       0.002      0.0920      0.1267      55x47E.dat                 
       1000       0.004       0.000       0.003      0.0686      0.0883      6x3.dat                    
       1000       0.004       0.000       0.003      0.1602      0.2149      5x37E-3.dat                
       2000       0.004       0.000       0.002      0.0805      0.1051      42x2.dat                   
       1000       0.004       0.000       0.002      0.1571      0.2021      5x46E.dat                  
       1000       0.004       0.000       0.003      0.1638      0.1538      525x8E.dat                 
       1000       0.004       0.000       0.003      0.1373      0.1634      52x60E.dat                 
       1000       0.004       0.000       0.002      0.1456      0.1888      5x45E.dat                  
       1000       0.004       0.000       0.004      0.1387      0.1331      55x70.dat                  
       1000       0.004       0.000       0.002      0.1448      0.1895      5x43E.dat                  
       1000       0.004       0.000       0.002      0.0625      0.0980      6x3F.dat                   
       1000       0.004       0.000       0.002      0.1411      0.1985      51x45E.dat                 
