       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller STATIC Performance Predictions ==================
                  (sorted by Propeller) 



                       105x45.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.029         0.000         0.025        0.0388        0.0740       0.414
       2000         0.115         0.003         0.083        0.0319        0.0744       0.508
       3000         0.260         0.008         0.169        0.0290        0.0747       0.561
       4000         0.464         0.018         0.284        0.0274        0.0749       0.597
       5000         0.728         0.034         0.427        0.0264        0.0752       0.623
       6000         1.052         0.057         0.598        0.0257        0.0754       0.644
       7000         1.438         0.089         0.798        0.0252        0.0757       0.661
       8000         1.886         0.130         1.028        0.0248        0.0761       0.675
       9000         2.398         0.184         1.287        0.0246        0.0764       0.687
      10000         2.977         0.250         1.578        0.0244        0.0769       0.697
      11000         3.624         0.332         1.902        0.0243        0.0773       0.706
      12000         4.342         0.430         2.260        0.0242        0.0778       0.715
      13000         5.135         0.548         2.655        0.0243        0.0784       0.722
      14000         6.004         0.686         3.089        0.0243        0.0791       0.729
      15000         6.956         0.848         3.565        0.0245        0.0798       0.735
      16000         7.994         1.037         4.087        0.0247        0.0806       0.741
      17000         9.126         1.259         4.668        0.0249        0.0815       0.744
      18000        10.357         1.528         5.349        0.0255        0.0825       0.742
      19000        11.696         1.873         6.215        0.0266        0.0836       0.726
      20000        13.148         2.347         7.398        0.0286        0.0849       0.690
      21000        14.688         3.003         9.012        0.0316        0.0860       0.637
      22000        16.215         3.819        10.941        0.0349        0.0865       0.581
      23000        17.642         4.749        13.013        0.0380        0.0861       0.530


                       105x6.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.042         0.001         0.038        0.0594        0.1093       0.485
       2000         0.170         0.004         0.132        0.0511        0.1099       0.569
       3000         0.384         0.013         0.278        0.0477        0.1103       0.612
       4000         0.685         0.030         0.475        0.0458        0.1106       0.640
       5000         1.074         0.057         0.722        0.0446        0.1109       0.661
       6000         1.551         0.097         1.021        0.0438        0.1113       0.676
       7000         2.119         0.152         1.372        0.0433        0.1116       0.688
       8000         2.778         0.226         1.777        0.0429        0.1121       0.698
       9000         3.532         0.319         2.237        0.0427        0.1126       0.706
      10000         4.381         0.437         2.755        0.0426        0.1131       0.713
      11000         5.329         0.582         3.333        0.0426        0.1137       0.719
      12000         6.380         0.757         3.973        0.0426        0.1144       0.724
      13000         7.536         0.965         4.681        0.0428        0.1151       0.728
      14000         8.803         1.213         5.459        0.0430        0.1159       0.732
      15000        10.185         1.503         6.314        0.0434        0.1169       0.735
      16000        11.689         1.841         7.253        0.0438        0.1179       0.738
      17000        13.320         2.239         8.301        0.0444        0.1190       0.738
      18000        15.087         2.722         9.533        0.0455        0.1202       0.732
      19000        16.995         3.342        11.087        0.0474        0.1215       0.713
      20000        19.047         4.182        13.179        0.0509        0.1229       0.676


                       10x10.dat                  

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.043         0.001         0.046        0.0910        0.1342       0.431
       2000         0.172         0.005         0.163        0.0805        0.1350       0.491
       3000         0.388         0.017         0.348        0.0762        0.1353       0.521
       4000         0.691         0.038         0.598        0.0737        0.1356       0.540
       5000         1.082         0.073         0.915        0.0721        0.1357       0.553
       6000         1.559         0.124         1.298        0.0711        0.1359       0.563
       7000         2.125         0.194         1.747        0.0703        0.1361       0.570
       8000         2.779         0.287         2.264        0.0698        0.1362       0.575
       9000         3.521         0.407         2.850        0.0694        0.1364       0.580
      10000         4.353         0.556         3.506        0.0691        0.1366       0.583
      11000         5.274         0.739         4.233        0.0690        0.1368       0.585
      12000         6.285         0.958         5.033        0.0689        0.1370       0.587
      13000         7.386         1.219         5.908        0.0689        0.1371       0.588
      14000         8.579         1.524         6.861        0.0690        0.1373       0.588
      15000         9.862         1.879         7.896        0.0692        0.1375       0.588
      16000        11.238         2.292         9.029        0.0695        0.1377       0.587
      17000        12.704         2.777        10.295        0.0702        0.1379       0.582
      18000        14.261         3.358        11.757        0.0715        0.1381       0.572
      19000        15.905         4.073        13.512        0.0738        0.1383       0.556


                       10x10E.dat                 

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.042         0.001         0.041        0.0816        0.1310       0.464
       2000         0.168         0.005         0.152        0.0750        0.1316       0.508
       3000         0.378         0.016         0.329        0.0721        0.1318       0.530
       4000         0.673         0.036         0.571        0.0704        0.1320       0.544
       5000         1.053         0.070         0.878        0.0693        0.1322       0.553
       6000         1.518         0.119         1.251        0.0685        0.1323       0.561
       7000         2.069         0.188         1.689        0.0680        0.1325       0.566
       8000         2.705         0.278         2.193        0.0676        0.1326       0.570
       9000         3.428         0.395         2.765        0.0673        0.1328       0.574
      10000         4.237         0.540         3.406        0.0671        0.1330       0.576
      11000         5.134         0.718         4.116        0.0671        0.1332       0.578
      12000         6.119         0.932         4.898        0.0671        0.1333       0.579
      13000         7.193         1.187         5.753        0.0671        0.1335       0.580
      14000         8.355         1.485         6.685        0.0672        0.1338       0.581
      15000         9.607         1.831         7.695        0.0674        0.1340       0.580
      16000        10.950         2.232         8.791        0.0677        0.1342       0.580
      17000        12.383         2.697        10.001        0.0682        0.1344       0.576
      18000        13.905         3.249        11.378        0.0692        0.1347       0.570
      19000        15.514         3.920        13.004        0.0710        0.1349       0.556


                       10x12WE.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.048         0.001         0.055        0.1084        0.1497       0.426
       2000         0.192         0.007         0.206        0.1014        0.1502       0.458
       3000         0.432         0.021         0.449        0.0983        0.1505       0.474
       4000         0.768         0.050         0.783        0.0965        0.1507       0.484
       5000         1.202         0.096         1.209        0.0953        0.1509       0.491
       6000         1.732         0.164         1.726        0.0945        0.1510       0.495
       7000         2.360         0.259         2.336        0.0940        0.1511       0.499
       8000         3.085         0.386         3.039        0.0936        0.1512       0.501
       9000         3.907         0.548         3.837        0.0934        0.1514       0.503
      10000         4.828         0.751         4.732        0.0933        0.1515       0.504
      11000         5.847         0.999         5.725        0.0933        0.1516       0.505
      12000         6.965         1.298         6.819        0.0934        0.1518       0.505
      13000         8.183         1.653         8.017        0.0935        0.1519       0.505
      14000         9.500         2.070         9.321        0.0938        0.1521       0.505
      15000        10.917         2.555        10.738        0.0941        0.1523       0.504
      16000        12.434         3.117        12.277        0.0946        0.1524       0.502
      17000        14.052         3.770        13.977        0.0954        0.1526       0.499
      18000        15.767         4.541        15.901        0.0968        0.1527       0.492
      19000        17.578         5.470        18.145        0.0991        0.1528       0.481
      20000        19.480         6.615        20.845        0.1027        0.1528       0.464


                       10x3.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.021         0.000         0.019        0.0377        0.0669       0.366
       2000         0.086         0.002         0.061        0.0302        0.0673       0.461
       3000         0.194         0.006         0.124        0.0271        0.0675       0.516
       4000         0.345         0.013         0.206        0.0254        0.0678       0.554
       5000         0.542         0.024         0.307        0.0242        0.0680       0.583
       6000         0.782         0.041         0.428        0.0235        0.0682       0.606
       7000         1.069         0.063         0.568        0.0229        0.0685       0.625
       8000         1.402         0.092         0.729        0.0224        0.0688       0.641
       9000         1.783         0.130         0.909        0.0221        0.0691       0.655
      10000         2.213         0.176         1.111        0.0219        0.0694       0.667
      11000         2.694         0.233         1.335        0.0217        0.0699       0.677
      12000         3.227         0.301         1.581        0.0217        0.0703       0.687
      13000         3.814         0.382         1.853        0.0216        0.0708       0.696
      14000         4.459         0.477         2.150        0.0216        0.0714       0.704
      15000         5.164         0.589         2.475        0.0217        0.0720       0.711
      16000         5.934         0.718         2.830        0.0218        0.0727       0.718
      17000         6.771         0.868         3.219        0.0220        0.0735       0.724
      18000         7.683         1.041         3.645        0.0222        0.0744       0.730
      19000         8.675         1.242         4.119        0.0225        0.0754       0.734
      20000         9.755         1.483         4.673        0.0230        0.0765       0.733
      21000        10.933         1.790         5.372        0.0240        0.0778       0.721
      22000        12.207         2.201         6.306        0.0257        0.0791       0.692


                       10x38MRF-RH.dat            

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.035         0.000         0.025        0.0484        0.1105       0.606
       2000         0.141         0.003         0.091        0.0449        0.1108       0.655
       3000         0.318         0.009         0.198        0.0434        0.1110       0.681
       4000         0.567         0.022         0.344        0.0424        0.1112       0.697
       5000         0.888         0.042         0.530        0.0418        0.1115       0.710
       6000         1.282         0.072         0.756        0.0414        0.1117       0.720
       7000         1.750         0.114         1.022        0.0411        0.1120       0.728
       8000         2.292         0.169         1.329        0.0410        0.1124       0.734
       9000         2.912         0.240         1.678        0.0409        0.1128       0.740
      10000         3.609         0.329         2.071        0.0408        0.1132       0.745
      11000         4.386         0.438         2.508        0.0409        0.1138       0.749
      12000         5.246         0.569         2.991        0.0410        0.1143       0.753
      13000         6.191         0.727         3.523        0.0411        0.1149       0.757
      14000         7.223         0.912         4.106        0.0413        0.1156       0.760
      15000         8.348         1.129         4.743        0.0416        0.1164       0.763
      16000         9.568         1.380         5.437        0.0419        0.1173       0.765
      17000        10.889         1.671         6.194        0.0423        0.1182       0.768
      18000        12.317         2.005         7.019        0.0427        0.1193       0.770
      19000        13.860         2.387         7.919        0.0433        0.1205       0.771
      20000        15.527         2.826         8.907        0.0439        0.1218       0.773
      21000        17.333         3.334        10.008        0.0447        0.1233       0.772
      22000        19.291         3.940        11.289        0.0460        0.1251       0.767
      23000        21.410         4.701        12.883        0.0480        0.1270       0.752


                       10x38SF.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.037         0.000         0.023        0.0445        0.1155       0.703
       2000         0.147         0.003         0.088        0.0435        0.1156       0.721
       3000         0.332         0.009         0.196        0.0430        0.1158       0.731
       4000         0.591         0.022         0.346        0.0427        0.1160       0.738
       5000         0.926         0.043         0.539        0.0425        0.1162       0.743
       6000         1.337         0.074         0.775        0.0424        0.1165       0.748
       7000         1.824         0.117         1.055        0.0424        0.1168       0.751
       8000         2.391         0.175         1.379        0.0425        0.1172       0.754
       9000         3.037         0.250         1.749        0.0426        0.1177       0.757
      10000         3.766         0.344         2.166        0.0427        0.1182       0.759
      11000         4.578         0.460         2.633        0.0429        0.1187       0.761
      12000         5.478         0.600         3.151        0.0431        0.1194       0.763
      13000         6.466         0.768         3.722        0.0434        0.1201       0.764
      14000         7.549         0.966         4.351        0.0438        0.1209       0.766
      15000         8.728         1.199         5.040        0.0442        0.1217       0.767
      16000        10.010         1.471         5.793        0.0446        0.1227       0.769
      17000        11.399         1.785         6.617        0.0451        0.1238       0.770
      18000        12.904         2.147         7.518        0.0457        0.1250       0.771
      19000        14.532         2.564         8.505        0.0465        0.1263       0.771
      20000        16.294         3.044         9.592        0.0473        0.1278       0.771
      21000        18.203         3.601        10.808        0.0483        0.1295       0.770
      22000        20.276         4.273        12.241        0.0499        0.1315       0.763
      23000        22.530         5.128        14.052        0.0524        0.1336       0.744


                       10x4.dat                   

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.028         0.000         0.024        0.0472        0.0867       0.432
       2000         0.111         0.003         0.080        0.0392        0.0873       0.525
       3000         0.251         0.008         0.164        0.0359        0.0876       0.576
       4000         0.448         0.018         0.276        0.0341        0.0879       0.610
       5000         0.702         0.033         0.417        0.0329        0.0881       0.635
       6000         1.014         0.056         0.585        0.0320        0.0884       0.654
       7000         1.385         0.087         0.782        0.0315        0.0887       0.670
       8000         1.817         0.128         1.008        0.0311        0.0891       0.683
       9000         2.310         0.181         1.264        0.0308        0.0895       0.694
      10000         2.866         0.246         1.551        0.0306        0.0899       0.704
      11000         3.488         0.326         1.870        0.0305        0.0905       0.712
      12000         4.177         0.423         2.224        0.0304        0.0910       0.720
      13000         4.936         0.539         2.613        0.0305        0.0917       0.726
      14000         5.769         0.675         3.041        0.0306        0.0924       0.732
      15000         6.678         0.835         3.510        0.0308        0.0931       0.738
      16000         7.669         1.021         4.023        0.0310        0.0940       0.742
      17000         8.747         1.237         4.586        0.0313        0.0950       0.746
      18000         9.917         1.487         5.208        0.0317        0.0961       0.749
      19000        11.188         1.784         5.918        0.0323        0.0973       0.749
      20000        12.568         2.151         6.779        0.0334        0.0986       0.739
      21000        14.063         2.631         7.896        0.0353        0.1001       0.715


                       10x45MR.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.034         0.000         0.024        0.0475        0.1060       0.580
       2000         0.136         0.003         0.088        0.0434        0.1063       0.638
       3000         0.306         0.009         0.190        0.0416        0.1066       0.668
       4000         0.544         0.021         0.329        0.0405        0.1068       0.687
       5000         0.852         0.040         0.505        0.0398        0.1070       0.702
       6000         1.231         0.068         0.718        0.0393        0.1073       0.713
       7000         1.679         0.108         0.969        0.0390        0.1076       0.721
       8000         2.200         0.160         1.259        0.0388        0.1079       0.729
       9000         2.795         0.227         1.588        0.0387        0.1083       0.735
      10000         3.464         0.311         1.958        0.0386        0.1087       0.741
      11000         4.209         0.413         2.369        0.0386        0.1092       0.746
      12000         5.034         0.538         2.824        0.0387        0.1097       0.750
      13000         5.940         0.686         3.324        0.0388        0.1103       0.754
      14000         6.929         0.860         3.872        0.0389        0.1109       0.757
      15000         8.006         1.064         4.470        0.0392        0.1117       0.760
      16000         9.175         1.300         5.122        0.0394        0.1125       0.763
      17000        10.439         1.573         5.832        0.0398        0.1133       0.765
      18000        11.805         1.887         6.606        0.0402        0.1143       0.767
      19000        13.279         2.249         7.460        0.0407        0.1154       0.768
      20000        14.869         2.680         8.444        0.0416        0.1166       0.764
      21000        16.581         3.216         9.653        0.0432        0.1180       0.749
      22000        18.407         3.910        11.203        0.0456        0.1193       0.721


                       10x45MRF-RH.dat            

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.033         0.000         0.024        0.0466        0.1045       0.578
       2000         0.134         0.003         0.086        0.0425        0.1048       0.637
       3000         0.301         0.009         0.186        0.0407        0.1050       0.667
       4000         0.537         0.020         0.322        0.0396        0.1052       0.687
       5000         0.840         0.039         0.494        0.0389        0.1055       0.702
       6000         1.213         0.067         0.702        0.0385        0.1057       0.713
       7000         1.656         0.105         0.948        0.0381        0.1060       0.722
       8000         2.169         0.156         1.231        0.0379        0.1064       0.730
       9000         2.755         0.222         1.553        0.0378        0.1067       0.736
      10000         3.415         0.304         1.914        0.0377        0.1072       0.742
      11000         4.150         0.404         2.316        0.0377        0.1076       0.747
      12000         4.964         0.526         2.761        0.0378        0.1082       0.751
      13000         5.857         0.670         3.250        0.0379        0.1088       0.755
      14000         6.834         0.841         3.785        0.0381        0.1094       0.758
      15000         7.897         1.040         4.371        0.0383        0.1101       0.761
      16000         9.051         1.271         5.009        0.0386        0.1109       0.764
      17000        10.300         1.538         5.704        0.0389        0.1118       0.767
      18000        11.650         1.845         6.461        0.0393        0.1128       0.769
      19000        13.108         2.200         7.298        0.0399        0.1139       0.770
      20000        14.681         2.623         8.265        0.0407        0.1152       0.766
      21000        16.377         3.152         9.459        0.0423        0.1165       0.751
      22000        18.188         3.840        11.000        0.0448        0.1179       0.721
      23000        20.078         4.743        12.997        0.0484        0.1191       0.677
      24000        21.982         5.892        15.474        0.0530        0.1198       0.624


                       10x46SF.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.033         0.000         0.019        0.0380        0.1042       0.706
       2000         0.133         0.002         0.075        0.0371        0.1043       0.725
       3000         0.300         0.008         0.167        0.0366        0.1044       0.735
       4000         0.533         0.019         0.295        0.0364        0.1046       0.741
       5000         0.835         0.036         0.460        0.0363        0.1048       0.746
       6000         1.205         0.063         0.661        0.0362        0.1050       0.750
       7000         1.645         0.100         0.900        0.0362        0.1053       0.753
       8000         2.155         0.149         1.177        0.0363        0.1057       0.756
       9000         2.737         0.213         1.493        0.0363        0.1060       0.758
      10000         3.393         0.294         1.850        0.0365        0.1065       0.760
      11000         4.124         0.393         2.250        0.0367        0.1070       0.761
      12000         4.933         0.513         2.693        0.0369        0.1075       0.763
      13000         5.821         0.656         3.183        0.0371        0.1081       0.764
      14000         6.793         0.827         3.721        0.0374        0.1088       0.765
      15000         7.850         1.026         4.311        0.0378        0.1095       0.765
      16000         8.997         1.258         4.957        0.0382        0.1103       0.765
      17000        10.237         1.527         5.663        0.0386        0.1112       0.765
      18000        11.577         1.837         6.433        0.0391        0.1121       0.765
      19000        13.021         2.193         7.275        0.0397        0.1132       0.765
      20000        14.575         2.608         8.219        0.0405        0.1143       0.762
      21000        16.245         3.116         9.353        0.0418        0.1156       0.750
      22000        18.035         3.779        10.827        0.0441        0.1169       0.723
      23000        19.947         4.692        12.859        0.0479        0.1183       0.678


                       10x47SF.dat                

        RPM        THRUST         POWER        TORQUE          Cp            Ct          FOM
         -          (LBF)          (HP)       (IN-LBF)

       1000         0.043         0.000         0.028        0.0549        0.1342       0.714
       2000         0.171         0.003         0.109        0.0539        0.1344       0.730
       3000         0.386         0.012         0.244        0.0534        0.1346       0.738
       4000         0.687         0.027         0.431        0.0531        0.1348       0.744
       5000         1.076         0.053         0.671        0.0529        0.1351       0.748
       6000         1.553         0.092         0.965        0.0529        0.1354       0.752
       7000         2.120         0.146         1.315        0.0529        0.1358       0.754
       8000         2.777         0.218         1.720        0.0530        0.1362       0.757
       9000         3.528         0.312         2.183        0.0531        0.1367       0.758
      10000         4.373         0.429         2.706        0.0534        0.1372       0.760
      11000         5.315         0.574         3.291        0.0536        0.1378       0.762
      12000         6.358         0.750         3.940        0.0539        0.1385       0.763
      13000         7.503         0.961         4.657        0.0543        0.1393       0.764
      14000         8.756         1.210         5.446        0.0548        0.1402       0.764
      15000        10.120         1.502         6.311        0.0553        0.1411       0.765
      16000        11.600         1.842         7.257        0.0559        0.1422       0.765
