       v2022-0915
       Simulation Date: 12/14/2023


 ======= APC Propeller Performance File Names ==========================

       FILE NAME                       TITLE  
      (32 characters, max)         (20 characters, max) 

       PER3_105x45.dat                 10.5x4.5            
       PER3_105x6.dat                  10.5x6              
       PER3_10x10.dat                  10x10               
       PER3_10x10E.dat                 10x10E              
       PER3_10x12WE.dat                10x12WE             
       PER3_10x3.dat                   10x3                
       PER3_10x38MRF-RH.dat            10x3.8MRF-RH        
       PER3_10x38SF.dat                10x3.8SF            
       PER3_10x4.dat                   10x4                
       PER3_10x45MR.dat                10x4.5MR            
       PER3_10x45MRF-RH.dat            10x4.5MRF-RH        
       PER3_10x46SF.dat                10x4.6SF            
       PER3_10x47SF.dat                10x4.7SF            
       PER3_10x5.dat                   10x5                
       PER3_10x55MR.dat                10x5.5MR            
       PER3_10x58EP(F2B).dat           10x5.8EP(F2B)       
       PER3_10x5E.dat                  10x5E               
       PER3_10x6-4.dat                 10x6-4              
       PER3_10x6.dat                   10x6                
       PER3_10x6E.dat                  10x6E               
       PER3_10x6F.dat                  10x6F               
       PER3_10x7.dat                   10x7                
       PER3_10x7E.dat                  10x7E               
       PER3_10x7SF.dat                 10x7SF              
       PER3_10x8.dat                   10x8                
       PER3_10x8E.dat                  10x8E               
       PER3_10x9.dat                   10x9                
       PER3_115x4.dat                  11.5x4              
       PER3_115x6.dat                  11.5x6              
       PER3_11x10.dat                  11x10               
       PER3_11x10E.dat                 11x10E              
       PER3_11x11.dat                  11x11               
       PER3_11x12.dat                  11x12               
       PER3_11x12E.dat                 11x12E              
       PER3_11x12W.dat                 11x12W              
       PER3_11x13.dat                  11x13               
       PER3_11x14.dat                  11x14               
       PER3_11x3.dat                   11x3                
       PER3_11x38SF.dat                11x3.8SF            
       PER3_11x4.dat                   11x4                
       PER3_11x45EP.dat                11x4.5EP            
       PER3_11x45MR.dat                11x4.5MR            
       PER3_11x46SF.dat                11x4.6SF            
       PER3_11x47SF.dat                11x4.7SF            
       PER3_11x5.dat                   11x5                
       PER3_11x55E.dat                 11x5.5E             
       PER3_11x55MR.dat                11x5.5MR            
       PER3_11x55R-RH.dat              11x5.5R-RH          
       PER3_11x6-4.dat                 11x6-4              
       PER3_11x6.dat                   11x6                
       PER3_11x7.dat                   11x7                
       PER3_11x7E-3.dat                11x7E-3             
