         10x14M-LH                (10x14M-LH.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.2063      0.1742       0.001       0.679       0.511       0.803       0.077       2.273     288.655        4.31      23370.    0.4290  
        0.05      0.0542      0.0632      0.2051      0.1758       0.001       0.685       0.508       0.810       0.077       2.260     284.459        4.31      23416.    0.4217  
        0.10      0.1083      0.1243      0.2041      0.1778       0.001       0.693       0.506       0.820       0.078       2.249     279.820        4.31      23471.    0.4137  
        0.15      0.1625      0.1831      0.2032      0.1803       0.001       0.702       0.503       0.831       0.079       2.239     274.732        4.32      23534.    0.4053  
        0.20      0.2166      0.2392      0.2022      0.1831       0.001       0.713       0.501       0.844       0.081       2.228     269.208        4.32      23607.    0.3962  
        0.25      0.2708      0.2924      0.2013      0.1864       0.001       0.726       0.499       0.859       0.082       2.218     263.275        4.33      23689.    0.3865  
        0.30      0.3249      0.3425      0.2002      0.1899       0.001       0.740       0.496       0.875       0.084       2.206     256.976        4.33      23781.    0.3763  
        0.35      0.3791      0.3893      0.1989      0.1937       0.001       0.754       0.493       0.893       0.085       2.191     250.366        4.34      23884.    0.3654  
        0.41      0.4332      0.4327      0.1973      0.1975       0.001       0.769       0.489       0.910       0.087       2.174     243.507        4.35      23998.    0.3540  
        0.46      0.4874      0.4727      0.1953      0.2013       0.001       0.784       0.484       0.928       0.089       2.152     236.462        4.36      24122.    0.3420  
        0.51      0.5415      0.5093      0.1927      0.2049       0.001       0.798       0.477       0.944       0.090       2.123     229.299        4.37      24256.    0.3294  
        0.56      0.5957      0.5426      0.1894      0.2079       0.001       0.810       0.469       0.958       0.091       2.087     222.084        4.39      24402.    0.3163  
        0.61      0.6498      0.5728      0.1852      0.2101       0.001       0.818       0.459       0.968       0.092       2.040     214.882        4.40      24558.    0.3026  
        0.66      0.7040      0.5999      0.1799      0.2111       0.001       0.822       0.446       0.973       0.093       1.982     207.759        4.42      24724.    0.2884  
        0.71      0.7581      0.6243      0.1735      0.2106       0.001       0.820       0.430       0.971       0.093       1.911     200.774        4.43      24901.    0.2737  
