         10x4M-LH                 (10x4M-LH.dat)
         v2022-0915
         Simulation Date: 12/14/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0913      0.0461       0.000       0.187       0.233       0.221       0.021       1.038     479.295        4.35      17436.    0.4777
        0.00      0.0191      0.0371      0.0894      0.0461       0.000       0.187       0.229       0.221       0.021       1.017     469.057        4.35      17446.    0.4627
        0.00      0.0382      0.0725      0.0874      0.0461       0.000       0.187       0.224       0.221       0.021       0.995     458.641        4.35      17456.    0.4474
        0.05      0.0573      0.1062      0.0854      0.0461       0.000       0.187       0.218       0.221       0.021       0.971     448.060        4.35      17468.    0.4319
        0.07      0.0765      0.1383      0.0832      0.0460       0.000       0.187       0.213       0.221       0.021       0.947     437.310        4.35      17479.    0.4161
        0.09      0.0956      0.1685      0.0809      0.0459       0.000       0.186       0.207       0.220       0.021       0.921     426.384        4.35      17492.    0.4001
        0.11      0.1147      0.1969      0.0785      0.0457       0.000       0.185       0.201       0.219       0.021       0.893     415.272        4.35      17505.    0.3839
        0.13      0.1338      0.2235      0.0760      0.0455       0.000       0.185       0.194       0.218       0.021       0.865     403.959        4.35      17519.    0.3675
        0.14      0.1529      0.2481      0.0734      0.0452       0.000       0.183       0.188       0.217       0.021       0.835     392.432        4.35      17533.    0.3508
        0.16      0.1720      0.2708      0.0707      0.0449       0.000       0.182       0.181       0.215       0.021       0.804     380.674        4.35      17549.    0.3339
        0.18      0.1912      0.2914      0.0679      0.0445       0.000       0.181       0.174       0.214       0.020       0.772     368.666        4.35      17565.    0.3169
        0.20      0.2103      0.3099      0.0650      0.0441       0.000       0.179       0.166       0.211       0.020       0.739     356.383        4.36      17581.    0.2997
        0.22      0.2294      0.3261      0.0619      0.0436       0.000       0.177       0.158       0.209       0.020       0.705     343.794        4.36      17599.    0.2823
        0.23      0.2485      0.3400      0.0588      0.0430       0.000       0.174       0.150       0.206       0.020       0.669     330.864        4.36      17617.    0.2648
        0.25      0.2676      0.3514      0.0556      0.0424       0.000       0.172       0.142       0.203       0.019       0.633     317.550        4.36      17636.    0.2471
        0.27      0.2867      0.3602      0.0524      0.0417       0.000       0.169       0.134       0.200       0.019       0.596     303.804        4.36      17656.    0.2294
        0.29      0.3059      0.3662      0.0490      0.0409       0.000       0.166       0.125       0.196       0.019       0.558     289.567        4.37      17676.    0.2115
        0.31      0.3250      0.3692      0.0456      0.0401       0.000       0.163       0.117       0.192       0.018       0.518     274.770        4.37      17698.    0.1935
