         10x4P-LH                 (10x4P-LH.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.0869      0.0441       0.000       0.182       0.226       0.216       0.021       1.005     474.686        4.36      17406.    0.4635  
        0.00      0.0193      0.0373      0.0851      0.0441       0.000       0.183       0.221       0.216       0.021       0.984     464.380        4.36      17415.    0.4488  
        0.00      0.0387      0.0729      0.0832      0.0442       0.000       0.183       0.216       0.216       0.021       0.962     453.901        4.36      17426.    0.4337  
        0.05      0.0580      0.1068      0.0812      0.0441       0.000       0.183       0.211       0.216       0.021       0.939     443.265        4.36      17437.    0.4185  
        0.07      0.0774      0.1389      0.0791      0.0441       0.000       0.182       0.206       0.216       0.021       0.915     432.467        4.36      17448.    0.4030  
        0.09      0.0967      0.1693      0.0770      0.0440       0.000       0.182       0.200       0.215       0.021       0.890     421.501        4.37      17460.    0.3873  
        0.11      0.1161      0.1978      0.0747      0.0438       0.000       0.181       0.194       0.215       0.020       0.863     410.358        4.37      17473.    0.3714  
        0.13      0.1354      0.2243      0.0723      0.0436       0.000       0.180       0.188       0.214       0.020       0.836     399.027        4.37      17487.    0.3553  
        0.15      0.1548      0.2490      0.0698      0.0434       0.000       0.179       0.181       0.212       0.020       0.807     387.497        4.37      17501.    0.3391  
        0.16      0.1741      0.2716      0.0672      0.0431       0.000       0.178       0.175       0.211       0.020       0.777     375.751        4.37      17516.    0.3226  
        0.18      0.1935      0.2922      0.0645      0.0427       0.000       0.177       0.168       0.209       0.020       0.746     363.769        4.37      17531.    0.3060  
        0.20      0.2128      0.3106      0.0617      0.0423       0.000       0.175       0.160       0.207       0.020       0.714     351.528        4.37      17548.    0.2893  
        0.22      0.2322      0.3267      0.0589      0.0418       0.000       0.173       0.153       0.205       0.020       0.681     338.998        4.38      17565.    0.2724  
        0.24      0.2515      0.3405      0.0559      0.0413       0.000       0.171       0.145       0.202       0.019       0.646     326.146        4.38      17583.    0.2555  
        0.26      0.2709      0.3519      0.0529      0.0407       0.000       0.168       0.137       0.199       0.019       0.611     312.931        4.38      17601.    0.2384  
        0.27      0.2902      0.3606      0.0498      0.0401       0.000       0.166       0.129       0.196       0.019       0.575     299.308        4.38      17621.    0.2212  
        0.29      0.3095      0.3665      0.0466      0.0393       0.000       0.163       0.121       0.193       0.018       0.539     285.219        4.38      17641.    0.2039  
        0.31      0.3289      0.3695      0.0433      0.0386       0.000       0.159       0.113       0.189       0.018       0.501     270.600        4.39      17662.    0.1865  
        0.33      0.3482      0.3692      0.0400      0.0377       0.000       0.156       0.104       0.185       0.018       0.462     255.372        4.39      17684.    0.1691  
        0.35      0.3676      0.3654      0.0366      0.0368       0.000       0.152       0.095       0.180       0.017       0.423     239.441        4.39      17707.    0.1517  
        0.37      0.3869      0.3577      0.0331      0.0358       0.000       0.148       0.086       0.175       0.017       0.383     222.695        4.40      17731.    0.1342  
        0.38      0.4063      0.3458      0.0296      0.0348       0.000       0.144       0.077       0.170       0.016       0.342     204.998        4.40      17755.    0.1168  
        0.40      0.4256      0.3290      0.0260      0.0336       0.000       0.139       0.068       0.165       0.016       0.301     186.186        4.40      17781.    0.0994  
        0.42      0.4450      0.3068      0.0224      0.0324       0.000       0.134       0.058       0.159       0.015       0.258     166.061        4.41      17807.    0.0822  
        0.44      0.4643      0.2783      0.0187      0.0312       0.000       0.129       0.049       0.153       0.015       0.216     144.376        4.41      17834.    0.0654  
        0.46      0.4837      0.2426      0.0150      0.0298       0.000       0.123       0.039       0.146       0.014       0.173     120.827        4.41      17862.    0.0489  
        0.48      0.5030      0.1985      0.0112      0.0284       0.000       0.118       0.029       0.139       0.013       0.130      95.035        4.42      17891.    0.0333  
        0.49      0.5224      0.1442      0.0074      0.0269       0.000       0.111       0.019       0.132       0.013       0.086      66.511        4.42      17921.    0.0190  
        0.51      0.5417      0.0778      0.0036      0.0254       0.000       0.105       0.009       0.124       0.012       0.042      34.616        4.43      17951.    0.0069  
        0.53      0.5610     -0.0038     -0.0002      0.0237       0.000       0.098       0.000       0.116       0.011      -0.002      -1.643        4.43      17982.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        200                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.0873      0.0372       0.002       0.615       0.908       1.455       0.069       4.039     283.061        8.73      34811.    0.5541  
        0.00      0.0195      0.0447      0.0855      0.0372       0.002       0.616       0.889       1.458       0.070       3.955     276.554        8.73      34831.    0.5358  
        0.07      0.0390      0.0873      0.0836      0.0373       0.002       0.617       0.870       1.461       0.070       3.868     270.002        8.73      34852.    0.5173  
        0.11      0.0584      0.1278      0.0816      0.0373       0.002       0.618       0.849       1.462       0.070       3.776     263.418        8.73      34874.    0.4986  
        0.15      0.0779      0.1661      0.0795      0.0373       0.002       0.617       0.827       1.461       0.070       3.679     256.800        8.73      34897.    0.4798  
        0.18      0.0974      0.2023      0.0773      0.0372       0.002       0.616       0.804       1.458       0.070       3.577     250.148        8.73      34921.    0.4609  
        0.22      0.1169      0.2362      0.0751      0.0371       0.002       0.614       0.780       1.454       0.069       3.471     243.458        8.73      34947.    0.4419  
        0.26      0.1363      0.2680      0.0727      0.0370       0.002       0.612       0.755       1.447       0.069       3.360     236.728        8.73      34975.    0.4227  
        0.30      0.1558      0.2975      0.0701      0.0367       0.002       0.608       0.729       1.439       0.069       3.244     229.951        8.74      35003.    0.4035  
        0.33      0.1753      0.3247      0.0675      0.0365       0.002       0.603       0.702       1.428       0.068       3.124     223.118        8.74      35033.    0.3842  
        0.37      0.1948      0.3497      0.0648      0.0361       0.002       0.598       0.674       1.414       0.068       2.999     216.220        8.74      35065.    0.3648  
        0.41      0.2142      0.3722      0.0621      0.0357       0.002       0.591       0.645       1.399       0.067       2.870     209.242        8.75      35098.    0.3453  
        0.44      0.2337      0.3923      0.0592      0.0353       0.002       0.583       0.615       1.380       0.066       2.737     202.167        8.75      35133.    0.3258  
        0.48      0.2532      0.4099      0.0562      0.0347       0.002       0.575       0.584       1.360       0.065       2.600     194.974        8.75      35169.    0.3062  
        0.52      0.2727      0.4248      0.0532      0.0341       0.002       0.565       0.553       1.336       0.064       2.459     187.637        8.76      35207.    0.2866  
        0.55      0.2921      0.4369      0.0500      0.0335       0.002       0.554       0.520       1.310       0.063       2.314     180.128        8.76      35246.    0.2669  
        0.59      0.3116      0.4461      0.0468      0.0327       0.002       0.541       0.487       1.281       0.061       2.166     172.410        8.77      35287.    0.2472  
        0.63      0.3311      0.4521      0.0436      0.0319       0.002       0.528       0.453       1.249       0.060       2.015     164.437        8.77      35330.    0.2274  
        0.66      0.3506      0.4545      0.0402      0.0310       0.002       0.513       0.418       1.214       0.058       1.860     156.156        8.78      35374.    0.2074  
        0.70      0.3701      0.4532      0.0368      0.0300       0.002       0.497       0.383       1.177       0.056       1.702     147.500        8.79      35420.    0.1874  
        0.74      0.3895      0.4476      0.0333      0.0290       0.002       0.480       0.346       1.136       0.054       1.541     138.386        8.79      35468.    0.1674  
        0.77      0.4090      0.4371      0.0298      0.0279       0.001       0.461       0.310       1.091       0.052       1.378     128.707        8.80      35517.    0.1472  
        0.81      0.4285      0.4210      0.0262      0.0267       0.001       0.441       0.272       1.044       0.050       1.212     118.332        8.81      35569.    0.1269  
        0.85      0.4480      0.3983      0.0226      0.0254       0.001       0.420       0.235       0.994       0.047       1.043     107.089        8.81      35622.    0.1066  
        0.89      0.4674      0.3677      0.0189      0.0240       0.001       0.397       0.196       0.940       0.045       0.873      94.754        8.82      35677.    0.0863  
        0.92      0.4869      0.3276      0.0152      0.0225       0.001       0.373       0.158       0.883       0.042       0.702      81.027        8.83      35733.    0.0661  
        0.96      0.5064      0.2754      0.0114      0.0210       0.001       0.348       0.119       0.823       0.039       0.528      65.501        8.84      35792.    0.0464  
        1.00      0.5259      0.2078      0.0077      0.0194       0.001       0.321       0.080       0.759       0.036       0.355      47.603        8.85      35852.    0.0276  
        1.03      0.5453      0.1199      0.0039      0.0177       0.001       0.293       0.040       0.693       0.033       0.180      26.490        8.86      35914.    0.0109  
        1.07      0.5648      0.0033      0.0001      0.0159       0.001       0.263       0.001       0.623       0.030       0.004       0.698        8.87      35976.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        300                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.0875      0.0342       0.006       1.275       2.047       4.526       0.144       9.105     205.141       13.09      52217.    0.6030  
        0.06      0.0196      0.0488      0.0857      0.0344       0.006       1.279       2.005       4.540       0.145       8.917     200.269       13.09      52246.    0.5826  
        0.11      0.0392      0.0953      0.0838      0.0344       0.006       1.282       1.960       4.551       0.145       8.719     195.388       13.09      52278.    0.5620  
        0.17      0.0587      0.1394      0.0818      0.0345       0.006       1.284       1.913       4.556       0.145       8.511     190.507       13.09      52311.    0.5414  
        0.22      0.0783      0.1811      0.0797      0.0345       0.006       1.283       1.864       4.555       0.145       8.292     185.627       13.09      52346.    0.5207  
        0.28      0.0979      0.2204      0.0775      0.0344       0.006       1.282       1.813       4.549       0.145       8.063     180.748       13.10      52383.    0.5000  
        0.33      0.1175      0.2574      0.0752      0.0343       0.006       1.278       1.759       4.536       0.144       7.823     175.869       13.10      52422.    0.4792  
        0.39      0.1371      0.2919      0.0728      0.0342       0.006       1.272       1.702       4.515       0.144       7.572     170.988       13.10      52463.    0.4583  
        0.45      0.1567      0.3241      0.0702      0.0340       0.006       1.264       1.643       4.488       0.143       7.310     166.101       13.11      52507.    0.4375  
        0.50      0.1762      0.3538      0.0676      0.0337       0.006       1.254       1.582       4.452       0.142       7.037     161.202       13.11      52552.    0.4166  
        0.56      0.1958      0.3812      0.0649      0.0334       0.006       1.242       1.519       4.408       0.140       6.755     156.286       13.12      52600.    0.3957  
        0.61      0.2154      0.4060      0.0621      0.0330       0.006       1.227       1.453       4.355       0.139       6.463     151.340       13.12      52650.    0.3748  
        0.67      0.2350      0.4283      0.0592      0.0325       0.006       1.210       1.385       4.293       0.137       6.162     146.353       13.13      52702.    0.3539  
        0.72      0.2546      0.4480      0.0562      0.0320       0.006       1.190       1.316       4.223       0.134       5.852     141.310       13.13      52757.    0.3330  
        0.78      0.2742      0.4650      0.0532      0.0313       0.006       1.167       1.244       4.143       0.132       5.533     136.193       13.14      52814.    0.3121  
        0.83      0.2937      0.4792      0.0500      0.0307       0.005       1.142       1.170       4.053       0.129       5.206     130.980       13.15      52874.    0.2911  
        0.89      0.3133      0.4903      0.0468      0.0299       0.005       1.114       1.095       3.953       0.126       4.871     125.644       13.15      52936.    0.2701  
        0.95      0.3329      0.4982      0.0435      0.0291       0.005       1.083       1.018       3.843       0.122       4.528     120.153       13.16      53000.    0.2491  
        1.00      0.3525      0.5025      0.0402      0.0282       0.005       1.049       0.939       3.722       0.118       4.178     114.464       13.17      53068.    0.2279  
        1.06      0.3721      0.5029      0.0367      0.0272       0.005       1.012       0.859       3.590       0.114       3.821     108.526       13.18      53137.    0.2067  
        1.11      0.3917      0.4989      0.0332      0.0261       0.005       0.971       0.777       3.448       0.110       3.458     102.273       13.19      53210.    0.1853  
