         10x5M-LH                 (10x5M-LH.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1016      0.0519       0.000       0.215       0.264       0.254       0.024       1.175     471.919        4.36      16230.    0.4984  
        0.00      0.0222      0.0426      0.0999      0.0521       0.000       0.216       0.260       0.255       0.024       1.155     461.714        4.36      16241.    0.4833  
        0.00      0.0445      0.0833      0.0980      0.0523       0.000       0.216       0.255       0.256       0.024       1.133     451.365        4.36      16253.    0.4680  
        0.06      0.0667      0.1221      0.0959      0.0524       0.000       0.217       0.249       0.257       0.024       1.109     440.894        4.36      16265.    0.4524  
        0.08      0.0889      0.1588      0.0938      0.0525       0.000       0.217       0.244       0.257       0.025       1.084     430.303        4.37      16279.    0.4365  
        0.11      0.1111      0.1936      0.0915      0.0525       0.000       0.217       0.238       0.257       0.025       1.058     419.594        4.37      16293.    0.4204  
        0.13      0.1334      0.2263      0.0891      0.0525       0.000       0.217       0.232       0.257       0.025       1.030     408.762        4.37      16308.    0.4041  
        0.15      0.1556      0.2570      0.0865      0.0524       0.000       0.217       0.225       0.256       0.024       1.000     397.803        4.37      16324.    0.3875  
        0.17      0.1778      0.2855      0.0837      0.0522       0.000       0.216       0.218       0.255       0.024       0.968     386.703        4.37      16341.    0.3707  
        0.19      0.2001      0.3118      0.0808      0.0519       0.000       0.215       0.210       0.254       0.024       0.934     375.448        4.37      16359.    0.3536  
        0.21      0.2223      0.3359      0.0777      0.0514       0.000       0.213       0.202       0.252       0.024       0.899     364.018        4.37      16379.    0.3362  
        0.23      0.2445      0.3577      0.0745      0.0509       0.000       0.211       0.194       0.249       0.024       0.862     352.389        4.38      16399.    0.3187  
        0.25      0.2667      0.3771      0.0712      0.0503       0.000       0.208       0.185       0.246       0.024       0.823     340.531        4.38      16420.    0.3009  
        0.27      0.2890      0.3940      0.0677      0.0496       0.000       0.205       0.176       0.243       0.023       0.783     328.403        4.38      16442.    0.2830  
        0.29      0.3112      0.4082      0.0641      0.0488       0.000       0.202       0.167       0.239       0.023       0.741     315.960        4.38      16465.    0.2649  
        0.32      0.3334      0.4196      0.0603      0.0479       0.000       0.198       0.157       0.235       0.022       0.698     303.147        4.39      16489.    0.2467  
        0.34      0.3557      0.4280      0.0565      0.0470       0.000       0.194       0.147       0.230       0.022       0.653     289.900        4.39      16514.    0.2283  
        0.36      0.3779      0.4332      0.0526      0.0459       0.000       0.190       0.137       0.224       0.021       0.608     276.142        4.39      16541.    0.2097  
        0.38      0.4001      0.4348      0.0485      0.0447       0.000       0.185       0.126       0.219       0.021       0.561     261.780        4.40      16568.    0.1910  
        0.40      0.4223      0.4325      0.0444      0.0434       0.000       0.179       0.115       0.212       0.020       0.513     246.701        4.40      16596.    0.1722  
        0.42      0.4446      0.4259      0.0402      0.0420       0.000       0.174       0.104       0.205       0.020       0.465     230.770        4.41      16626.    0.1533  
        0.44      0.4668      0.4144      0.0359      0.0404       0.000       0.167       0.093       0.198       0.019       0.415     213.820        4.41      16657.    0.1342  
        0.46      0.4890      0.3972      0.0315      0.0388       0.000       0.161       0.082       0.190       0.018       0.365     195.647        4.42      16689.    0.1151  
        0.48      0.5113      0.3735      0.0271      0.0371       0.000       0.154       0.071       0.182       0.017       0.314     175.994        4.42      16722.    0.0960  
        0.51      0.5335      0.3423      0.0227      0.0353       0.000       0.146       0.059       0.173       0.017       0.262     154.545        4.43      16756.    0.0770  
        0.53      0.5557      0.3020      0.0181      0.0334       0.000       0.138       0.047       0.163       0.016       0.210     130.896        4.43      16791.    0.0584  
        0.55      0.5779      0.2508      0.0136      0.0314       0.000       0.130       0.035       0.154       0.015       0.157     104.526        4.44      16827.    0.0404  
        0.57      0.6002      0.1862      0.0091      0.0293       0.000       0.121       0.024       0.143       0.014       0.105      74.737        4.44      16865.    0.0236  
        0.59      0.6224      0.1047      0.0046      0.0271       0.000       0.112       0.012       0.133       0.013       0.053      40.538        4.45      16903.    0.0091  
        0.61      0.6446      0.0010      0.0000      0.0248       0.000       0.103       0.000       0.121       0.012       0.000       0.375        4.45      16942.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
