         14x13M                   (14x13M.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1519      0.0856       0.003       1.905       1.517       2.254       0.215       6.747     305.310        6.11      36234.    0.5518  
        0.05      0.0379      0.0656      0.1509      0.0873       0.003       1.942       1.507       2.297       0.219       6.701     297.435        6.11      36279.    0.5358  
        0.10      0.0759      0.1276      0.1497      0.0890       0.003       1.981       1.495       2.343       0.224       6.650     289.384        6.11      36329.    0.5193  
        0.15      0.1138      0.1861      0.1484      0.0908       0.003       2.021       1.482       2.391       0.228       6.593     281.223        6.11      36386.    0.5025  
        0.20      0.1518      0.2409      0.1470      0.0926       0.003       2.061       1.468       2.439       0.233       6.529     273.009        6.12      36449.    0.4854  
        0.25      0.1897      0.2920      0.1453      0.0944       0.003       2.101       1.451       2.486       0.237       6.455     264.799        6.12      36519.    0.4681  
        0.30      0.2277      0.3396      0.1434      0.0962       0.003       2.140       1.432       2.531       0.242       6.371     256.643        6.12      36596.    0.4508  
        0.35      0.2656      0.3838      0.1413      0.0978       0.003       2.176       1.411       2.574       0.246       6.275     248.582        6.13      36681.    0.4333  
        0.40      0.3036      0.4246      0.1388      0.0992       0.004       2.208       1.386       2.612       0.249       6.165     240.648        6.14      36773.    0.4157  
        0.45      0.3415      0.4622      0.1359      0.1004       0.004       2.235       1.358       2.644       0.253       6.038     232.864        6.14      36873.    0.3982  
        0.50      0.3795      0.4968      0.1327      0.1014       0.004       2.256       1.325       2.669       0.255       5.895     225.241        6.15      36980.    0.3805  
        0.55      0.4174      0.5283      0.1290      0.1019       0.004       2.268       1.288       2.683       0.256       5.730     217.780        6.16      37096.    0.3628  
        0.60      0.4554      0.5570      0.1248      0.1020       0.004       2.270       1.246       2.686       0.256       5.543     210.475        6.17      37219.    0.3448  
        0.65      0.4933      0.5830      0.1200      0.1016       0.004       2.260       1.198       2.674       0.255       5.331     203.325        6.18      37350.    0.3267  
        0.70      0.5313      0.6062      0.1146      0.1005       0.004       2.235       1.145       2.645       0.253       5.092     196.330        6.20      37489.    0.3083  
        0.75      0.5692      0.6268      0.1087      0.0987       0.003       2.196       1.085       2.598       0.248       4.828     189.470        6.21      37635.    0.2897  
        0.80      0.6072      0.6447      0.1023      0.0963       0.003       2.143       1.021       2.535       0.242       4.543     182.707        6.22      37789.    0.2710  
