         9x4M-LH                  (9x4M-LH.dat)
         v2022-0915
         Simulation Date: 11/15/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS: (Underwater)
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Vtip (tip speed, fps)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =        100

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0985      0.0530       0.000       0.127       0.165       0.150       0.014       0.734     499.854        3.91      14121.    0.4657
        0.00      0.0206      0.0374      0.0966      0.0531       0.000       0.127       0.162       0.150       0.014       0.720     489.395        3.91      14130.    0.4515
        0.00      0.0411      0.0732      0.0946      0.0531       0.000       0.127       0.158       0.150       0.014       0.705     478.741        3.91      14140.    0.4370
        0.05      0.0617      0.1074      0.0925      0.0531       0.000       0.127       0.155       0.150       0.014       0.689     467.910        3.91      14150.    0.4223
        0.07      0.0823      0.1398      0.0902      0.0531       0.000       0.127       0.151       0.150       0.014       0.672     456.896        3.91      14160.    0.4073
        0.09      0.1028      0.1705      0.0878      0.0530       0.000       0.127       0.147       0.150       0.014       0.655     445.695        3.91      14172.    0.3920
        0.10      0.1234      0.1993      0.0853      0.0528       0.000       0.126       0.143       0.149       0.014       0.636     434.296        3.91      14184.    0.3765
        0.12      0.1439      0.2263      0.0827      0.0526       0.000       0.126       0.139       0.149       0.014       0.616     422.686        3.91      14196.    0.3608
        0.14      0.1645      0.2514      0.0799      0.0523       0.000       0.125       0.134       0.148       0.014       0.596     410.847        3.91      14210.    0.3448
        0.16      0.1851      0.2745      0.0770      0.0519       0.000       0.124       0.129       0.147       0.014       0.574     398.761        3.92      14224.    0.3285
        0.17      0.2056      0.2956      0.0740      0.0515       0.000       0.123       0.124       0.146       0.014       0.552     386.406        3.92      14238.    0.3120
        0.19      0.2262      0.3145      0.0709      0.0510       0.000       0.122       0.119       0.144       0.014       0.528     373.755        3.92      14254.    0.2953
        0.21      0.2468      0.3312      0.0676      0.0504       0.000       0.120       0.113       0.142       0.014       0.504     360.777        3.92      14270.    0.2785
        0.23      0.2673      0.3455      0.0643      0.0497       0.000       0.119       0.108       0.141       0.013       0.479     347.431        3.92      14287.    0.2614
        0.24      0.2879      0.3573      0.0608      0.0490       0.000       0.117       0.102       0.139       0.013       0.453     333.672        3.93      14304.    0.2442
        0.26      0.3085      0.3665      0.0573      0.0482       0.000       0.115       0.096       0.136       0.013       0.427     319.448        3.93      14322.    0.2269
        0.28      0.3290      0.3729      0.0536      0.0473       0.000       0.113       0.090       0.134       0.013       0.399     304.695        3.93      14342.    0.2094
        0.30      0.3496      0.3762      0.0499      0.0463       0.000       0.111       0.084       0.131       0.013       0.372     289.340        3.93      14361.    0.1918
        0.31      0.3702      0.3763      0.0460      0.0453       0.000       0.108       0.077       0.128       0.012       0.343     273.295        3.94      14382.    0.1740
        0.33      0.3907      0.3727      0.0421      0.0441       0.000       0.105       0.071       0.125       0.012       0.314     256.456        3.94      14403.    0.1562
        0.35      0.4113      0.3652      0.0381      0.0429       0.000       0.103       0.064       0.121       0.012       0.284     238.699        3.94      14426.    0.1383
        0.37      0.4318      0.3532      0.0341      0.0416       0.000       0.099       0.057       0.118       0.011       0.254     219.875        3.95      14449.    0.1204
        0.38      0.4524      0.3362      0.0299      0.0403       0.000       0.096       0.050       0.114       0.011       0.223     199.804        3.95      14473.    0.1026
        0.40      0.4730      0.3136      0.0257      0.0388       0.000       0.093       0.043       0.110       0.010       0.192     178.268        3.95      14497.    0.0848
        0.42      0.4935      0.2846      0.0215      0.0372       0.000       0.089       0.036       0.105       0.010       0.160     155.003        3.96      14523.    0.0674
        0.44      0.5141      0.2480      0.0172      0.0356       0.000       0.085       0.029       0.101       0.010       0.128     129.684        3.96      14549.    0.0504
        0.45      0.5347      0.2027      0.0128      0.0339       0.000       0.081       0.022       0.096       0.009       0.096     101.909        3.97      14576.    0.0343
        0.47      0.5552      0.1470      0.0085      0.0321       0.000       0.077       0.014       0.091       0.009       0.063      71.170        3.97      14604.    0.0195
        0.49      0.5758      0.0788      0.0041      0.0302       0.000       0.072       0.007       0.085       0.008       0.031      36.801        3.97      14633.    0.0070
        0.51      0.5964     -0.0049     -0.0002      0.0283       0.000       0.067       0.000       0.080       0.008      -0.002      -2.221        3.98      14662.    0.0000



         PROP RPM =        200

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -
        0.00      0.0000      0.0000      0.0991      0.0447       0.001       0.427       0.664       1.010       0.048       2.953     298.041        7.82      28242.    0.5569
        0.00      0.0208      0.0450      0.0972      0.0448       0.001       0.428       0.651       1.014       0.048       2.896     291.337        7.82      28261.    0.5391
        0.07      0.0416      0.0880      0.0952      0.0449       0.001       0.429       0.638       1.016       0.049       2.836     284.576        7.82      28280.    0.5211
        0.11      0.0623      0.1288      0.0930      0.0450       0.001       0.430       0.623       1.018       0.049       2.772     277.772        7.82      28300.    0.5028
        0.14      0.0831      0.1675      0.0907      0.0450       0.001       0.430       0.608       1.018       0.049       2.705     270.926        7.82      28322.    0.4844
        0.18      0.1039      0.2040      0.0884      0.0450       0.001       0.430       0.592       1.017       0.049       2.634     264.038        7.82      28345.    0.4659
        0.21      0.1247      0.2384      0.0858      0.0449       0.001       0.429       0.575       1.015       0.048       2.558     257.106        7.83      28369.    0.4471
        0.25      0.1454      0.2706      0.0832      0.0447       0.001       0.427       0.557       1.011       0.048       2.479     250.126        7.83      28395.    0.4282
        0.28      0.1662      0.3006      0.0804      0.0445       0.001       0.425       0.539       1.005       0.048       2.396     243.090        7.83      28422.    0.4091
        0.32      0.1870      0.3283      0.0775      0.0441       0.001       0.422       0.519       0.998       0.048       2.309     235.991        7.83      28450.    0.3899
        0.35      0.2078      0.3536      0.0744      0.0437       0.001       0.418       0.499       0.989       0.047       2.218     228.817        7.84      28480.    0.3705
        0.39      0.2285      0.3767      0.0713      0.0432       0.001       0.413       0.477       0.977       0.047       2.124     221.553        7.84      28511.    0.3510
        0.42      0.2493      0.3972      0.0680      0.0427       0.001       0.408       0.455       0.965       0.046       2.026     214.181        7.84      28544.    0.3314
        0.46      0.2701      0.4153      0.0646      0.0420       0.001       0.401       0.433       0.950       0.045       1.925     206.676        7.85      28578.    0.3118
        0.49      0.2909      0.4306      0.0611      0.0413       0.001       0.394       0.409       0.933       0.045       1.821     199.011        7.85      28613.    0.2920
        0.53      0.3116      0.4431      0.0575      0.0404       0.001       0.386       0.385       0.914       0.044       1.714     191.152        7.86      28651.    0.2721
        0.56      0.3324      0.4527      0.0538      0.0395       0.001       0.378       0.361       0.893       0.043       1.604     183.057        7.86      28689.    0.2521
        0.60      0.3532      0.4590      0.0500      0.0385       0.001       0.368       0.335       0.871       0.042       1.491     174.679        7.87      28730.    0.2319
        0.63      0.3740      0.4617      0.0462      0.0374       0.001       0.357       0.309       0.846       0.040       1.376     165.955        7.87      28772.    0.2117
