         9x5M-JK                  (9x5M-JK.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/23/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS: (Underwater)                                                                                                                                                  
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Vtip (tip speed, fps)                                                                                                                                                      
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =        100                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Vtip      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)       (ft/s)      -          -     
        0.00      0.0000      0.0000      0.1091      0.0533       0.000       0.130       0.186       0.154       0.015       0.828     547.428        3.93      12597.    0.5391  
        0.00      0.0238      0.0475      0.1073      0.0536       0.000       0.131       0.183       0.155       0.015       0.814     535.514        3.93      12606.    0.5228  
        0.00      0.0475      0.0929      0.1053      0.0538       0.000       0.131       0.180       0.156       0.015       0.799     523.446        3.93      12616.    0.5063  
        0.06      0.0713      0.1361      0.1032      0.0540       0.000       0.132       0.176       0.156       0.015       0.783     511.253        3.93      12627.    0.4895  
        0.08      0.0950      0.1771      0.1009      0.0541       0.000       0.132       0.172       0.156       0.015       0.765     498.947        3.93      12639.    0.4725  
        0.10      0.1188      0.2159      0.0985      0.0542       0.000       0.132       0.168       0.157       0.015       0.747     486.535        3.93      12651.    0.4552  
        0.12      0.1425      0.2524      0.0959      0.0541       0.000       0.132       0.164       0.156       0.015       0.727     474.019        3.93      12664.    0.4376  
        0.14      0.1663      0.2866      0.0931      0.0540       0.000       0.132       0.159       0.156       0.015       0.707     461.395        3.93      12678.    0.4198  
        0.16      0.1900      0.3185      0.0902      0.0538       0.000       0.131       0.154       0.156       0.015       0.684     448.654        3.93      12693.    0.4017  
        0.18      0.2138      0.3481      0.0871      0.0535       0.000       0.131       0.149       0.155       0.015       0.661     435.780        3.94      12709.    0.3834  
        0.20      0.2375      0.3752      0.0838      0.0531       0.000       0.130       0.143       0.153       0.015       0.636     422.748        3.94      12725.    0.3648  
        0.22      0.2613      0.3998      0.0803      0.0525       0.000       0.128       0.137       0.152       0.014       0.609     409.526        3.94      12743.    0.3460  
        0.24      0.2850      0.4218      0.0767      0.0518       0.000       0.127       0.131       0.150       0.014       0.582     396.070        3.94      12761.    0.3270  
        0.26      0.3088      0.4411      0.0729      0.0510       0.000       0.125       0.124       0.148       0.014       0.553     382.321        3.95      12781.    0.3078  
        0.28      0.3325      0.4575      0.0690      0.0501       0.000       0.122       0.118       0.145       0.014       0.523     368.213        3.95      12801.    0.2883  
        0.30      0.3563      0.4708      0.0649      0.0491       0.000       0.120       0.111       0.142       0.014       0.492     353.666        3.95      12822.    0.2685  
        0.32      0.3801      0.4808      0.0607      0.0479       0.000       0.117       0.103       0.139       0.013       0.460     338.589        3.96      12844.    0.2486  
        0.34      0.4038      0.4871      0.0563      0.0467       0.000       0.114       0.096       0.135       0.013       0.427     322.876        3.96      12867.    0.2284  
        0.36      0.4276      0.4895      0.0519      0.0453       0.000       0.111       0.088       0.131       0.013       0.393     306.405        3.96      12891.    0.2080  
        0.38      0.4513      0.4874      0.0473      0.0438       0.000       0.107       0.081       0.127       0.012       0.359     289.029        3.97      12917.    0.1874  
        0.40      0.4751      0.4803      0.0427      0.0422       0.000       0.103       0.073       0.122       0.012       0.324     270.577        3.97      12943.    0.1666  
        0.43      0.4988      0.4675      0.0380      0.0405       0.000       0.099       0.065       0.117       0.011       0.288     250.838        3.98      12970.    0.1457  
        0.45      0.5226      0.4482      0.0332      0.0387       0.000       0.094       0.057       0.112       0.011       0.252     229.560        3.98      12998.    0.1247  
        0.47      0.5463      0.4214      0.0284      0.0368       0.000       0.090       0.048       0.106       0.010       0.215     206.427        3.99      13027.    0.1036  
        0.49      0.5701      0.3856      0.0235      0.0348       0.000       0.085       0.040       0.101       0.010       0.178     181.049        3.99      13057.    0.0828  
        0.51      0.5938      0.3393      0.0187      0.0327       0.000       0.080       0.032       0.094       0.009       0.142     152.928        4.00      13088.    0.0623  
        0.53      0.6176      0.2802      0.0139      0.0305       0.000       0.075       0.024       0.088       0.008       0.105     121.421        4.00      13120.    0.0426  
        0.55      0.6413      0.2053      0.0091      0.0283       0.000       0.069       0.015       0.082       0.008       0.069      85.681        4.01      13152.    0.0243  
        0.57      0.6651      0.1107      0.0043      0.0260       0.000       0.064       0.007       0.075       0.007       0.033      44.559        4.01      13186.    0.0087  
        0.59      0.6888     -0.0093     -0.0003      0.0237       0.000       0.058      -0.001       0.069       0.007      -0.002      -3.622        4.02      13221.    0.0000  
                                                                                                                                                                                    
