         10x3.8MRF-RH             (10x38MRF-RH.dat)                                                                                                                                 
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1105      0.0484       0.000       0.025       0.035       0.290       0.003       0.157      55.036        0.04      17561.    0.6060  
        0.17      0.0178      0.0399      0.1080      0.0483       0.000       0.024       0.034       0.290       0.003       0.153      53.910        0.04      17572.    0.5869  
        0.34      0.0356      0.0780      0.1054      0.0481       0.000       0.024       0.034       0.289       0.003       0.149      52.759        0.04      17584.    0.5674  
        0.51      0.0534      0.1144      0.1028      0.0480       0.000       0.024       0.033       0.288       0.003       0.146      51.582        0.04      17596.    0.5477  
        0.67      0.0712      0.1490      0.1000      0.0478       0.000       0.024       0.032       0.287       0.003       0.142      50.379        0.04      17609.    0.5276  
        0.84      0.0891      0.1817      0.0971      0.0476       0.000       0.024       0.031       0.286       0.003       0.138      49.147        0.04      17622.    0.5073  
        1.01      0.1069      0.2124      0.0941      0.0474       0.000       0.024       0.030       0.284       0.003       0.133      47.884        0.04      17636.    0.4866  
        1.18      0.1247      0.2411      0.0911      0.0471       0.000       0.024       0.029       0.283       0.003       0.129      46.588        0.04      17650.    0.4657  
        1.35      0.1425      0.2677      0.0879      0.0468       0.000       0.024       0.028       0.281       0.003       0.125      45.255        0.04      17665.    0.4444  
        1.52      0.1603      0.2920      0.0846      0.0464       0.000       0.024       0.027       0.279       0.003       0.120      43.882        0.04      17680.    0.4228  
        1.69      0.1781      0.3140      0.0812      0.0461       0.000       0.023       0.026       0.276       0.003       0.115      42.467        0.04      17696.    0.4009  
        1.86      0.1959      0.3335      0.0777      0.0457       0.000       0.023       0.025       0.274       0.003       0.110      41.004        0.04      17713.    0.3787  
        2.02      0.2137      0.3504      0.0741      0.0452       0.000       0.023       0.024       0.271       0.003       0.105      39.491        0.04      17730.    0.3562  
        2.19      0.2315      0.3645      0.0704      0.0447       0.000       0.023       0.022       0.269       0.003       0.100      37.921        0.04      17747.    0.3334  
        2.36      0.2494      0.3757      0.0666      0.0442       0.000       0.022       0.021       0.265       0.003       0.094      36.289        0.04      17765.    0.3103  
        2.53      0.2672      0.3836      0.0627      0.0437       0.000       0.022       0.020       0.262       0.003       0.089      34.590        0.04      17784.    0.2869  
        2.70      0.2850      0.3883      0.0587      0.0431       0.000       0.022       0.019       0.259       0.002       0.083      32.819        0.04      17804.    0.2634  
        2.87      0.3028      0.3893      0.0546      0.0425       0.000       0.022       0.017       0.255       0.002       0.077      30.972        0.04      17823.    0.2397  
        3.04      0.3206      0.3865      0.0504      0.0418       0.000       0.021       0.016       0.251       0.002       0.071      29.041        0.04      17844.    0.2160  
        3.20      0.3384      0.3796      0.0461      0.0411       0.000       0.021       0.015       0.247       0.002       0.065      27.021        0.04      17865.    0.1923  
