         10x5.5MR                 (10x55MR.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1211      0.0576       0.000       0.029       0.039       0.346       0.003       0.172      50.632        0.04      12919.    0.5837  
        0.22      0.0234      0.0482      0.1194      0.0579       0.000       0.029       0.038       0.348       0.003       0.169      49.626        0.04      12929.    0.5679  
        0.44      0.0468      0.0945      0.1174      0.0582       0.000       0.030       0.037       0.349       0.003       0.166      48.617        0.04      12939.    0.5518  
        0.66      0.0702      0.1388      0.1153      0.0584       0.000       0.030       0.037       0.350       0.003       0.163      47.607        0.04      12951.    0.5356  
        0.89      0.0936      0.1811      0.1131      0.0585       0.000       0.030       0.036       0.351       0.003       0.160      46.598        0.04      12963.    0.5191  
        1.11      0.1170      0.2215      0.1107      0.0585       0.000       0.030       0.035       0.351       0.003       0.157      45.586        0.04      12976.    0.5023  
        1.33      0.1404      0.2599      0.1081      0.0584       0.000       0.030       0.034       0.350       0.003       0.153      44.573        0.04      12990.    0.4853  
        1.55      0.1638      0.2963      0.1053      0.0582       0.000       0.030       0.034       0.349       0.003       0.149      43.555        0.04      13005.    0.4681  
        1.77      0.1873      0.3306      0.1023      0.0579       0.000       0.029       0.033       0.348       0.003       0.145      42.528        0.04      13020.    0.4505  
        1.99      0.2107      0.3629      0.0991      0.0575       0.000       0.029       0.032       0.345       0.003       0.140      41.493        0.04      13037.    0.4326  
        2.22      0.2341      0.3929      0.0957      0.0570       0.000       0.029       0.031       0.342       0.003       0.136      40.437        0.04      13054.    0.4144  
        2.44      0.2575      0.4208      0.0921      0.0564       0.000       0.029       0.029       0.338       0.003       0.131      39.363        0.04      13073.    0.3958  
        2.66      0.2809      0.4461      0.0884      0.0556       0.000       0.028       0.028       0.334       0.003       0.125      38.257        0.04      13092.    0.3767  
        2.88      0.3043      0.4689      0.0844      0.0548       0.000       0.028       0.027       0.329       0.003       0.120      37.116        0.04      13112.    0.3572  
        3.10      0.3277      0.4888      0.0802      0.0538       0.000       0.027       0.026       0.323       0.003       0.114      35.930        0.04      13133.    0.3371  
        3.32      0.3511      0.5056      0.0759      0.0527       0.000       0.027       0.024       0.316       0.003       0.108      34.687        0.04      13155.    0.3165  
        3.55      0.3745      0.5189      0.0713      0.0515       0.000       0.026       0.023       0.309       0.003       0.101      33.374        0.04      13178.    0.2952  
        3.77      0.3979      0.5282      0.0665      0.0501       0.000       0.025       0.021       0.301       0.003       0.094      31.975        0.04      13201.    0.2731  
        3.99      0.4213      0.5331      0.0616      0.0486       0.000       0.025       0.020       0.292       0.003       0.087      30.480        0.04      13226.    0.2505  
        4.21      0.4447      0.5331      0.0565      0.0471       0.000       0.024       0.018       0.283       0.003       0.080      28.873        0.04      13252.    0.2272  
        4.43      0.4681      0.5274      0.0512      0.0455       0.000       0.023       0.016       0.273       0.003       0.073      27.135        0.04      13278.    0.2034  
        4.65      0.4915      0.5152      0.0459      0.0437       0.000       0.022       0.015       0.263       0.003       0.065      25.246        0.04      13306.    0.1791  
        4.88      0.5150      0.4956      0.0404      0.0420       0.000       0.021       0.013       0.252       0.002       0.057      23.180        0.04      13334.    0.1543  
        5.10      0.5384      0.4673      0.0348      0.0401       0.000       0.020       0.011       0.241       0.002       0.049      20.907        0.04      13363.    0.1292  
        5.32      0.5618      0.4289      0.0291      0.0381       0.000       0.019       0.009       0.229       0.002       0.041      18.390        0.04      13394.    0.1039  
        5.54      0.5852      0.3786      0.0234      0.0361       0.000       0.018       0.007       0.217       0.002       0.033      15.584        0.04      13425.    0.0789  
        5.76      0.6086      0.3142      0.0176      0.0340       0.000       0.017       0.006       0.204       0.002       0.025      12.434        0.04      13457.    0.0546  
        5.98      0.6320      0.2327      0.0118      0.0319       0.000       0.016       0.004       0.191       0.002       0.017       8.871        0.04      13490.    0.0319  
        6.21      0.6554      0.1308      0.0059      0.0297       0.000       0.015       0.002       0.178       0.002       0.008       4.808        0.04      13524.    0.0123  
        6.43      0.6788      0.0037      0.0002      0.0275       0.000       0.014       0.000       0.165       0.002       0.000       0.131        0.04      13559.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1215      0.0531       0.003       0.108       0.155       2.547       0.012       0.689      27.580        0.08      25838.    0.6369  
        0.45      0.0236      0.0529      0.1197      0.0534       0.003       0.108       0.153       2.565       0.012       0.679      26.983        0.08      25858.    0.6185  
        0.89      0.0472      0.1034      0.1178      0.0538       0.003       0.109       0.150       2.581       0.012       0.668      26.387        0.08      25879.    0.5999  
        1.34      0.0708      0.1516      0.1157      0.0540       0.003       0.110       0.147       2.593       0.012       0.656      25.796        0.08      25902.    0.5812  
        1.79      0.0944      0.1975      0.1134      0.0542       0.003       0.110       0.145       2.601       0.012       0.643      25.210        0.08      25927.    0.5624  
        2.23      0.1180      0.2412      0.1110      0.0543       0.003       0.110       0.141       2.605       0.012       0.629      24.626        0.08      25953.    0.5434  
        2.68      0.1416      0.2827      0.1083      0.0542       0.003       0.110       0.138       2.604       0.012       0.614      24.048        0.08      25981.    0.5243  
        3.13      0.1652      0.3219      0.1055      0.0541       0.003       0.110       0.134       2.599       0.012       0.598      23.472        0.08      26011.    0.5051  
        3.57      0.1887      0.3589      0.1025      0.0539       0.003       0.109       0.131       2.588       0.012       0.581      22.898        0.08      26043.    0.4856  
        4.02      0.2123      0.3936      0.0993      0.0535       0.003       0.109       0.127       2.570       0.012       0.563      22.326        0.08      26076.    0.4660  
        4.47      0.2359      0.4261      0.0958      0.0531       0.003       0.108       0.122       2.548       0.012       0.543      21.749        0.08      26111.    0.4461  
        4.92      0.2595      0.4562      0.0922      0.0525       0.003       0.106       0.118       2.519       0.012       0.523      21.169        0.08      26148.    0.4259  
        5.36      0.2831      0.4838      0.0884      0.0517       0.003       0.105       0.113       2.484       0.012       0.501      20.580        0.08      26187.    0.4054  
        5.81      0.3067      0.5088      0.0844      0.0509       0.003       0.103       0.108       2.443       0.012       0.479      19.979        0.08      26228.    0.3845  
        6.26      0.3303      0.5310      0.0802      0.0499       0.003       0.101       0.102       2.394       0.011       0.455      19.363        0.08      26270.    0.3632  
        6.70      0.3539      0.5502      0.0758      0.0487       0.003       0.099       0.097       2.339       0.011       0.430      18.725        0.08      26315.    0.3414  
        7.15      0.3775      0.5660      0.0711      0.0474       0.003       0.096       0.091       2.277       0.011       0.403      18.057        0.08      26361.    0.3190  
        7.60      0.4011      0.5779      0.0663      0.0460       0.003       0.093       0.085       2.209       0.011       0.376      17.353        0.08      26409.    0.2960  
        8.04      0.4247      0.5856      0.0613      0.0445       0.003       0.090       0.078       2.134       0.010       0.348      16.607        0.08      26460.    0.2724  
        8.49      0.4483      0.5884      0.0562      0.0428       0.003       0.087       0.072       2.054       0.010       0.318      15.809        0.08      26511.    0.2482  
        8.94      0.4719      0.5857      0.0509      0.0410       0.003       0.083       0.065       1.969       0.009       0.289      14.949        0.08      26565.    0.2234  
        9.38      0.4955      0.5764      0.0455      0.0391       0.003       0.079       0.058       1.878       0.009       0.258      14.011        0.08      26621.    0.1980  
        9.83      0.5191      0.5595      0.0400      0.0371       0.002       0.075       0.051       1.782       0.009       0.227      12.981        0.08      26678.    0.1720  
       10.28      0.5427      0.5333      0.0344      0.0350       0.002       0.071       0.044       1.682       0.008       0.195      11.836        0.08      26738.    0.1455  
       10.72      0.5662      0.4959      0.0288      0.0328       0.002       0.067       0.037       1.577       0.008       0.163      10.547        0.08      26799.    0.1185  
