         10x5.8EP(F2B)            (10x58EP(F2B).dat)                                                                                                                                
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1118      0.0550       0.000       0.028       0.036       0.330       0.003       0.158      48.931        0.04      11835.    0.5418  
        0.23      0.0248      0.0493      0.1101      0.0554       0.000       0.028       0.035       0.332       0.003       0.156      47.883        0.04      11844.    0.5262  
        0.47      0.0496      0.0964      0.1082      0.0557       0.000       0.028       0.034       0.334       0.003       0.153      46.825        0.04      11854.    0.5103  
        0.70      0.0744      0.1413      0.1063      0.0559       0.000       0.028       0.034       0.336       0.003       0.151      45.761        0.04      11864.    0.4942  
        0.94      0.0992      0.1840      0.1042      0.0561       0.000       0.028       0.033       0.337       0.003       0.148      44.692        0.04      11876.    0.4778  
        1.17      0.1240      0.2245      0.1019      0.0563       0.000       0.029       0.032       0.338       0.003       0.144      43.619        0.04      11888.    0.4612  
        1.41      0.1487      0.2627      0.0995      0.0563       0.000       0.029       0.032       0.338       0.003       0.141      42.542        0.04      11901.    0.4444  
        1.64      0.1735      0.2987      0.0969      0.0563       0.000       0.029       0.031       0.338       0.003       0.137      41.462        0.04      11915.    0.4275  
        1.88      0.1983      0.3325      0.0941      0.0561       0.000       0.028       0.030       0.337       0.003       0.133      40.378        0.04      11930.    0.4103  
        2.11      0.2231      0.3639      0.0911      0.0559       0.000       0.028       0.029       0.335       0.003       0.129      39.287        0.04      11945.    0.3929  
        2.35      0.2479      0.3930      0.0880      0.0555       0.000       0.028       0.028       0.333       0.003       0.125      38.189        0.04      11962.    0.3753  
        2.58      0.2727      0.4198      0.0847      0.0550       0.000       0.028       0.027       0.330       0.003       0.120      37.078        0.04      11980.    0.3574  
        2.82      0.2975      0.4440      0.0812      0.0544       0.000       0.028       0.026       0.326       0.003       0.115      35.952        0.04      11998.    0.3393  
        3.05      0.3223      0.4657      0.0775      0.0536       0.000       0.027       0.025       0.322       0.003       0.110      34.803        0.04      12018.    0.3208  
        3.29      0.3471      0.4845      0.0736      0.0527       0.000       0.027       0.023       0.316       0.003       0.104      33.626        0.04      12038.    0.3021  
        3.52      0.3719      0.5004      0.0695      0.0516       0.000       0.026       0.022       0.310       0.003       0.098      32.411        0.04      12060.    0.2830  
        3.76      0.3967      0.5129      0.0652      0.0504       0.000       0.026       0.021       0.303       0.003       0.092      31.148        0.04      12082.    0.2635  
        3.99      0.4215      0.5218      0.0608      0.0491       0.000       0.025       0.019       0.295       0.003       0.086      29.825        0.04      12105.    0.2436  
        4.23      0.4462      0.5267      0.0562      0.0476       0.000       0.024       0.018       0.286       0.003       0.080      28.430        0.04      12130.    0.2232  
        4.46      0.4710      0.5269      0.0514      0.0460       0.000       0.023       0.016       0.276       0.003       0.073      26.947        0.04      12155.    0.2024  
        4.70      0.4958      0.5220      0.0466      0.0442       0.000       0.022       0.015       0.265       0.003       0.066      25.357        0.04      12182.    0.1813  
        4.93      0.5206      0.5110      0.0416      0.0424       0.000       0.022       0.013       0.254       0.002       0.059      23.641        0.04      12209.    0.1597  
        5.16      0.5454      0.4929      0.0365      0.0404       0.000       0.021       0.012       0.243       0.002       0.052      21.770        0.04      12237.    0.1379  
        5.40      0.5702      0.4667      0.0314      0.0384       0.000       0.019       0.010       0.230       0.002       0.045      19.714        0.04      12267.    0.1157  
        5.63      0.5950      0.4306      0.0262      0.0362       0.000       0.018       0.008       0.217       0.002       0.037      17.431        0.04      12297.    0.0935  
        5.87      0.6198      0.3826      0.0210      0.0340       0.000       0.017       0.007       0.204       0.002       0.030      14.870        0.04      12329.    0.0713  
        6.10      0.6446      0.3201      0.0157      0.0316       0.000       0.016       0.005       0.190       0.002       0.022      11.961        0.04      12361.    0.0497  
        6.34      0.6694      0.2394      0.0105      0.0292       0.000       0.015       0.003       0.176       0.002       0.015       8.615        0.04      12394.    0.0292  
        6.57      0.6942      0.1358      0.0052      0.0268       0.000       0.014       0.002       0.161       0.002       0.007       4.711        0.04      12429.    0.0113  
        6.81      0.7189      0.0023      0.0001      0.0243       0.000       0.012       0.000       0.146       0.001       0.000       0.078        0.04      12464.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1122      0.0496       0.003       0.101       0.143       2.382       0.011       0.636      27.235        0.08      23670.    0.6044  
        0.47      0.0250      0.0551      0.1105      0.0500       0.003       0.102       0.141       2.402       0.011       0.627      26.596        0.08      23688.    0.5857  
        0.95      0.0499      0.1076      0.1087      0.0504       0.003       0.102       0.139       2.421       0.012       0.616      25.955        0.08      23708.    0.5669  
        1.42      0.0749      0.1574      0.1067      0.0508       0.003       0.103       0.136       2.437       0.012       0.605      25.316        0.08      23729.    0.5478  
        1.89      0.0999      0.2046      0.1046      0.0510       0.003       0.104       0.133       2.450       0.012       0.593      24.678        0.08      23752.    0.5287  
        2.36      0.1248      0.2492      0.1023      0.0512       0.003       0.104       0.130       2.460       0.012       0.580      24.044        0.08      23777.    0.5095  
        2.84      0.1498      0.2912      0.0999      0.0514       0.003       0.104       0.127       2.466       0.012       0.566      23.414        0.08      23803.    0.4902  
        3.31      0.1748      0.3307      0.0972      0.0514       0.003       0.104       0.124       2.467       0.012       0.551      22.788        0.08      23831.    0.4708  
        3.78      0.1997      0.3676      0.0945      0.0513       0.003       0.104       0.120       2.464       0.012       0.536      22.166        0.08      23861.    0.4513  
        4.26      0.2247      0.4020      0.0915      0.0511       0.003       0.104       0.117       2.454       0.012       0.519      21.547        0.08      23893.    0.4317  
        4.73      0.2497      0.4339      0.0883      0.0508       0.003       0.103       0.113       2.439       0.012       0.501      20.931        0.08      23926.    0.4121  
        5.20      0.2746      0.4633      0.0849      0.0504       0.003       0.102       0.108       2.417       0.012       0.482      20.316        0.08      23962.    0.3923  
        5.67      0.2996      0.4901      0.0814      0.0498       0.003       0.101       0.104       2.389       0.011       0.461      19.700        0.08      23999.    0.3723  
        6.15      0.3246      0.5142      0.0776      0.0490       0.003       0.099       0.099       2.353       0.011       0.440      19.079        0.08      24039.    0.3522  
        6.62      0.3495      0.5355      0.0737      0.0481       0.003       0.098       0.094       2.310       0.011       0.418      18.452        0.08      24080.    0.3319  
        7.09      0.3745      0.5539      0.0696      0.0471       0.003       0.095       0.089       2.259       0.011       0.395      17.812        0.08      24124.    0.3113  
        7.57      0.3995      0.5690      0.0653      0.0458       0.003       0.093       0.083       2.201       0.011       0.370      17.156        0.08      24169.    0.2904  
        8.04      0.4244      0.5806      0.0608      0.0445       0.003       0.090       0.078       2.134       0.010       0.345      16.476        0.08      24217.    0.2692  
        8.51      0.4494      0.5883      0.0562      0.0429       0.003       0.087       0.072       2.060       0.010       0.319      15.766        0.08      24266.    0.2476  
        8.98      0.4744      0.5915      0.0514      0.0412       0.003       0.084       0.066       1.979       0.009       0.291      15.018        0.08      24317.    0.2256  
        9.46      0.4993      0.5896      0.0465      0.0394       0.003       0.080       0.059       1.891       0.009       0.264      14.220        0.08      24371.    0.2032  
        9.93      0.5243      0.5816      0.0415      0.0374       0.002       0.076       0.053       1.797       0.009       0.235      13.360        0.08      24426.    0.1804  
       10.40      0.5493      0.5665      0.0364      0.0353       0.002       0.072       0.046       1.697       0.008       0.207      12.422        0.08      24484.    0.1571  
       10.88      0.5742      0.5427      0.0313      0.0331       0.002       0.067       0.040       1.590       0.008       0.178      11.382        0.08      24543.    0.1334  
       11.35      0.5992      0.5081      0.0261      0.0308       0.002       0.062       0.033       1.478       0.007       0.148      10.212        0.08      24605.    0.1093  
       11.82      0.6242      0.4597      0.0209      0.0284       0.002       0.058       0.027       1.361       0.007       0.118       8.870        0.08      24668.    0.0849  
       12.29      0.6492      0.3935      0.0157      0.0258       0.002       0.052       0.020       1.240       0.006       0.089       7.301        0.08      24734.    0.0605  
       12.77      0.6741      0.3032      0.0104      0.0232       0.001       0.047       0.013       1.114       0.005       0.059       5.418        0.08      24802.    0.0367  
       13.24      0.6991      0.1795      0.0053      0.0205       0.001       0.042       0.007       0.984       0.005       0.030       3.092        0.08      24871.    0.0149  
       13.71      0.7241      0.0066      0.0002      0.0177       0.001       0.036       0.000       0.851       0.004       0.001       0.110        0.08      24943.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1125      0.0473       0.010       0.216       0.323       7.656       0.024       1.435      19.112        0.12      35504.    0.6369  
        0.71      0.0251      0.0582      0.1108      0.0477       0.010       0.218       0.318       7.730       0.025       1.413      18.642        0.12      35532.    0.6166  
        1.42      0.0501      0.1135      0.1089      0.0481       0.010       0.220       0.312       7.798       0.025       1.390      18.173        0.12      35562.    0.5961  
        2.14      0.0752      0.1659      0.1070      0.0485       0.011       0.221       0.307       7.858       0.025       1.365      17.707        0.12      35594.    0.5755  
        2.85      0.1003      0.2154      0.1048      0.0488       0.011       0.223       0.301       7.909       0.025       1.337      17.245        0.12      35628.    0.5548  
        3.56      0.1254      0.2621      0.1026      0.0491       0.011       0.224       0.294       7.947       0.025       1.308      16.786        0.12      35665.    0.5342  
        4.27      0.1504      0.3060      0.1001      0.0492       0.011       0.225       0.287       7.973       0.025       1.277      16.333        0.12      35705.    0.5135  
        4.99      0.1755      0.3472      0.0975      0.0493       0.011       0.225       0.280       7.982       0.025       1.243      15.885        0.12      35748.    0.4928  
        5.70      0.2006      0.3857      0.0947      0.0492       0.011       0.225       0.271       7.975       0.025       1.208      15.442        0.12      35793.    0.4721  
        6.41      0.2256      0.4216      0.0917      0.0491       0.011       0.224       0.263       7.947       0.025       1.169      15.003        0.12      35841.    0.4514  
        7.12      0.2507      0.4549      0.0885      0.0488       0.011       0.223       0.254       7.899       0.025       1.129      14.570        0.12      35891.    0.4306  
        7.83      0.2758      0.4856      0.0851      0.0483       0.010       0.221       0.244       7.829       0.025       1.086      14.139        0.12      35945.    0.4099  
        8.55      0.3008      0.5137      0.0815      0.0477       0.010       0.218       0.234       7.735       0.025       1.040      13.711        0.12      36002.    0.3890  
        9.26      0.3259      0.5391      0.0777      0.0470       0.010       0.215       0.223       7.615       0.024       0.992      13.282        0.12      36061.    0.3680  
        9.97      0.3510      0.5618      0.0738      0.0461       0.010       0.210       0.212       7.470       0.024       0.941      12.851        0.12      36124.    0.3469  
       10.68      0.3761      0.5815      0.0696      0.0450       0.010       0.206       0.200       7.298       0.023       0.889      12.416        0.12      36190.    0.3256  
       11.40      0.4011      0.5981      0.0653      0.0438       0.010       0.200       0.187       7.097       0.023       0.833      11.972        0.12      36258.    0.3040  
       12.11      0.4262      0.6112      0.0608      0.0424       0.009       0.194       0.174       6.869       0.022       0.776      11.515        0.12      36330.    0.2822  
       12.82      0.4513      0.6206      0.0561      0.0408       0.009       0.186       0.161       6.614       0.021       0.716      11.042        0.12      36405.    0.2600  
       13.53      0.4763      0.6256      0.0513      0.0391       0.008       0.178       0.147       6.333       0.020       0.655      10.545        0.12      36482.    0.2374  
       14.24      0.5014      0.6256      0.0464      0.0372       0.008       0.170       0.133       6.029       0.019       0.592      10.018        0.12      36563.    0.2145  
       14.96      0.5265      0.6197      0.0414      0.0352       0.008       0.161       0.119       5.701       0.018       0.528       9.451        0.12      36647.    0.1911  
       15.67      0.5515      0.6067      0.0363      0.0330       0.007       0.151       0.104       5.351       0.017       0.463       8.832        0.12      36734.    0.1673  
       16.38      0.5766      0.5849      0.0312      0.0307       0.007       0.140       0.089       4.979       0.016       0.398       8.144        0.12      36824.    0.1429  
       17.09      0.6017      0.5519      0.0260      0.0283       0.006       0.129       0.074       4.587       0.015       0.331       7.365        0.12      36917.    0.1179  
       17.81      0.6268      0.5043      0.0207      0.0258       0.006       0.118       0.059       4.177       0.013       0.265       6.461        0.12      37013.    0.0925  
       18.52      0.6518      0.4371      0.0155      0.0231       0.005       0.106       0.044       3.748       0.012       0.198       5.384        0.12      37112.    0.0666  
       19.23      0.6769      0.3419      0.0103      0.0204       0.004       0.093       0.030       3.305       0.011       0.131       4.056        0.12      37214.    0.0409  
       19.94      0.7020      0.2055      0.0051      0.0176       0.004       0.080       0.015       2.848       0.009       0.066       2.351        0.12      37319.    0.0168  
       20.65      0.7270      0.0034      0.0001      0.0147       0.003       0.067       0.000       2.381       0.008       0.001       0.038        0.12      37427.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1127      0.0459       0.024       0.372       0.575      17.620       0.042       2.556      14.794        0.16      47339.    0.6580  
        0.95      0.0251      0.0602      0.1110      0.0464       0.024       0.376       0.566      17.805       0.043       2.518      14.420        0.16      47376.    0.6366  
        1.90      0.0503      0.1172      0.1092      0.0468       0.024       0.380       0.557      17.974       0.043       2.476      14.048        0.16      47415.    0.6150  
        2.86      0.0754      0.1712      0.1072      0.0472       0.024       0.383       0.547      18.125       0.043       2.431      13.678        0.16      47458.    0.5934  
        3.81      0.1005      0.2222      0.1051      0.0475       0.024       0.386       0.536      18.252       0.044       2.383      13.313        0.16      47505.    0.5717  
        4.76      0.1256      0.2702      0.1028      0.0478       0.025       0.388       0.524      18.352       0.044       2.331      12.952        0.16      47554.    0.5501  
        5.71      0.1508      0.3154      0.1003      0.0480       0.025       0.389       0.511      18.419       0.044       2.275      12.595        0.16      47607.    0.5286  
        6.66      0.1759      0.3577      0.0977      0.0480       0.025       0.390       0.498      18.449       0.044       2.215      12.244        0.16      47664.    0.5070  
        7.62      0.2010      0.3972      0.0949      0.0480       0.025       0.390       0.484      18.437       0.044       2.151      11.898        0.16      47724.    0.4855  
        8.57      0.2262      0.4341      0.0918      0.0479       0.025       0.388       0.468      18.379       0.044       2.083      11.558        0.16      47789.    0.4641  
        9.52      0.2513      0.4683      0.0886      0.0476       0.025       0.386       0.452      18.270       0.044       2.011      11.221        0.16      47857.    0.4427  
       10.47      0.2764      0.4998      0.0853      0.0471       0.024       0.383       0.435      18.107       0.043       1.934      10.889        0.16      47928.    0.4212  
