         10x6-4                   (10x6-4.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1562      0.1035       0.001       0.053       0.050       0.621       0.006       0.221      36.337        0.04      10589.    0.4756  
        0.24      0.0252      0.0373      0.1535      0.1037       0.001       0.053       0.049       0.622       0.006       0.218      35.646        0.04      10599.    0.4626  
        0.48      0.0504      0.0731      0.1506      0.1039       0.001       0.053       0.048       0.623       0.006       0.214      34.939        0.04      10610.    0.4492  
        0.72      0.0756      0.1074      0.1476      0.1039       0.001       0.053       0.047       0.624       0.006       0.209      34.218        0.04      10621.    0.4355  
        0.95      0.1008      0.1401      0.1445      0.1039       0.001       0.053       0.046       0.624       0.006       0.205      33.482        0.04      10634.    0.4215  
        1.19      0.1260      0.1712      0.1411      0.1038       0.001       0.053       0.045       0.623       0.006       0.200      32.731        0.04      10646.    0.4073  
        1.43      0.1512      0.2007      0.1375      0.1036       0.001       0.053       0.044       0.622       0.006       0.195      31.965        0.04      10660.    0.3927  
        1.67      0.1764      0.2284      0.1337      0.1033       0.001       0.052       0.043       0.620       0.006       0.190      31.183        0.04      10674.    0.3777  
        1.91      0.2016      0.2543      0.1297      0.1028       0.001       0.052       0.041       0.617       0.006       0.184      30.384        0.04      10689.    0.3625  
        2.15      0.2268      0.2784      0.1255      0.1022       0.001       0.052       0.040       0.613       0.006       0.178      29.568        0.04      10705.    0.3469  
        2.39      0.2520      0.3006      0.1210      0.1014       0.001       0.051       0.039       0.609       0.006       0.171      28.732        0.04      10722.    0.3310  
