         10x7E                    (10x7E.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1197      0.0625       0.001       0.032       0.038       0.375       0.004       0.170      46.154        0.04      11526.    0.5290  
        0.27      0.0289      0.0541      0.1184      0.0632       0.001       0.032       0.038       0.379       0.004       0.168      45.117        0.04      11536.    0.5142  
        0.55      0.0577      0.1056      0.1169      0.0639       0.001       0.032       0.037       0.383       0.004       0.166      44.068        0.04      11547.    0.4991  
        0.82      0.0866      0.1546      0.1153      0.0646       0.001       0.033       0.037       0.387       0.004       0.163      43.012        0.04      11559.    0.4837  
        1.09      0.1154      0.2010      0.1135      0.0652       0.001       0.033       0.036       0.391       0.004       0.161      41.952        0.04      11572.    0.4681  
        1.37      0.1443      0.2450      0.1115      0.0657       0.001       0.033       0.036       0.394       0.004       0.158      40.891        0.04      11586.    0.4523  
        1.64      0.1732      0.2863      0.1093      0.0661       0.001       0.034       0.035       0.397       0.004       0.155      39.833        0.04      11602.    0.4363  
        1.91      0.2020      0.3252      0.1070      0.0664       0.001       0.034       0.034       0.399       0.004       0.152      38.780        0.04      11618.    0.4201  
        2.19      0.2309      0.3617      0.1044      0.0666       0.001       0.034       0.033       0.400       0.004       0.148      37.732        0.04      11636.    0.4038  
        2.46      0.2597      0.3956      0.1015      0.0667       0.001       0.034       0.032       0.400       0.004       0.144      36.691        0.04      11656.    0.3873  
        2.73      0.2886      0.4272      0.0985      0.0665       0.001       0.034       0.031       0.399       0.004       0.140      35.656        0.04      11676.    0.3706  
        3.01      0.3174      0.4563      0.0951      0.0662       0.001       0.034       0.030       0.397       0.004       0.135      34.624        0.04      11698.    0.3538  
        3.28      0.3463      0.4830      0.0916      0.0656       0.001       0.033       0.029       0.394       0.004       0.130      33.593        0.04      11721.    0.3367  
        3.55      0.3752      0.5071      0.0877      0.0649       0.001       0.033       0.028       0.389       0.004       0.124      32.558        0.04      11746.    0.3194  
        3.83      0.4040      0.5286      0.0836      0.0639       0.001       0.032       0.027       0.383       0.004       0.118      31.512        0.04      11772.    0.3018  
