         11x4.5EP                 (11x45EP.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0822      0.0359       0.000       0.029       0.038       0.347       0.003       0.171      50.180        0.04      13211.    0.5243  
        0.19      0.0186      0.0417      0.0806      0.0359       0.000       0.029       0.038       0.347       0.003       0.167      49.121        0.04      13218.    0.5081  
        0.39      0.0372      0.0817      0.0789      0.0359       0.000       0.029       0.037       0.347       0.003       0.164      48.046        0.04      13226.    0.4916  
        0.58      0.0558      0.1197      0.0770      0.0359       0.000       0.029       0.036       0.347       0.003       0.160      46.956        0.04      13234.    0.4749  
        0.78      0.0744      0.1558      0.0751      0.0359       0.000       0.029       0.035       0.347       0.003       0.156      45.850        0.04      13242.    0.4579  
        0.97      0.0930      0.1900      0.0731      0.0358       0.000       0.029       0.034       0.346       0.003       0.152      44.727        0.04      13251.    0.4407  
        1.16      0.1116      0.2222      0.0710      0.0357       0.000       0.029       0.033       0.345       0.003       0.147      43.587        0.04      13260.    0.4233  
        1.36      0.1303      0.2524      0.0689      0.0355       0.000       0.029       0.032       0.343       0.003       0.143      42.427        0.04      13269.    0.4056  
        1.55      0.1489      0.2804      0.0666      0.0353       0.000       0.029       0.031       0.342       0.003       0.138      41.245        0.04      13280.    0.3877  
