         11x5.5R-RH               (11x55R-RH.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0576      0.0232       0.000       0.019       0.027       0.225       0.002       0.120      54.315        0.04      13302.    0.4751  
        0.17      0.0160      0.0391      0.0570      0.0233       0.000       0.019       0.027       0.226       0.002       0.118      53.435        0.04      13307.    0.4647  
        0.33      0.0321      0.0769      0.0562      0.0234       0.000       0.019       0.026       0.226       0.002       0.117      52.530        0.04      13312.    0.4538  
        0.50      0.0481      0.1134      0.0554      0.0235       0.000       0.019       0.026       0.227       0.002       0.115      51.602        0.04      13317.    0.4425  
        0.67      0.0641      0.1484      0.0545      0.0235       0.000       0.019       0.025       0.228       0.002       0.113      50.655        0.04      13322.    0.4307  
        0.84      0.0802      0.1819      0.0535      0.0236       0.000       0.019       0.025       0.228       0.002       0.111      49.688        0.04      13328.    0.4186  
        1.00      0.0962      0.2140      0.0524      0.0235       0.000       0.019       0.024       0.228       0.002       0.109      48.702        0.04      13335.    0.4061  
        1.17      0.1122      0.2445      0.0512      0.0235       0.000       0.019       0.024       0.227       0.002       0.106      47.699        0.04      13342.    0.3931  
        1.34      0.1283      0.2734      0.0499      0.0234       0.000       0.019       0.023       0.226       0.002       0.103      46.677        0.04      13349.    0.3798  
        1.50      0.1443      0.3008      0.0484      0.0232       0.000       0.019       0.023       0.225       0.002       0.101      45.636        0.04      13357.    0.3660  
        1.67      0.1604      0.3264      0.0469      0.0230       0.000       0.019       0.022       0.223       0.002       0.097      44.575        0.04      13365.    0.3518  
        1.84      0.1764      0.3503      0.0453      0.0228       0.000       0.019       0.021       0.220       0.002       0.094      43.491        0.04      13373.    0.3372  
        2.00      0.1924      0.3724      0.0435      0.0225       0.000       0.018       0.020       0.217       0.002       0.090      42.382        0.04      13382.    0.3221  
        2.17      0.2085      0.3926      0.0416      0.0221       0.000       0.018       0.019       0.214       0.002       0.086      41.243        0.04      13392.    0.3067  
        2.34      0.2245      0.4108      0.0397      0.0217       0.000       0.018       0.019       0.209       0.002       0.082      40.069        0.04      13402.    0.2907  
        2.51      0.2405      0.4268      0.0376      0.0212       0.000       0.017       0.018       0.205       0.002       0.078      38.852        0.04      13412.    0.2743  
        2.67      0.2566      0.4403      0.0353      0.0206       0.000       0.017       0.016       0.199       0.002       0.073      37.584        0.04      13423.    0.2575  
        2.84      0.2726      0.4514      0.0330      0.0200       0.000       0.016       0.015       0.193       0.002       0.069      36.258        0.04      13434.    0.2402  
        3.01      0.2886      0.4595      0.0307      0.0193       0.000       0.016       0.014       0.186       0.002       0.064      34.861        0.04      13446.    0.2224  
        3.17      0.3047      0.4644      0.0282      0.0185       0.000       0.015       0.013       0.179       0.002       0.059      33.380        0.04      13458.    0.2043  
        3.34      0.3207      0.4656      0.0257      0.0177       0.000       0.014       0.012       0.171       0.002       0.053      31.795        0.04      13471.    0.1857  
        3.51      0.3367      0.4625      0.0231      0.0168       0.000       0.014       0.011       0.163       0.002       0.048      30.079        0.04      13484.    0.1667  
        3.67      0.3528      0.4543      0.0205      0.0159       0.000       0.013       0.010       0.154       0.001       0.043      28.200        0.04      13498.    0.1471  
        3.84      0.3688      0.4397      0.0178      0.0149       0.000       0.012       0.008       0.144       0.001       0.037      26.110        0.04      13512.    0.1270  
