         11x7E-3                  (11x7E-3.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1421      0.0732       0.001       0.060       0.066       0.708       0.007       0.295      42.510        0.04      12935.    0.5839  
        0.27      0.0255      0.0485      0.1396      0.0734       0.001       0.060       0.065       0.710       0.007       0.290      41.623        0.04      12947.    0.5667  
        0.53      0.0511      0.0950      0.1369      0.0736       0.001       0.060       0.064       0.711       0.007       0.284      40.728        0.04      12960.    0.5491  
        0.80      0.0766      0.1393      0.1340      0.0737       0.001       0.060       0.063       0.712       0.007       0.278      39.828        0.04      12974.    0.5313  
        1.06      0.1021      0.1815      0.1310      0.0737       0.001       0.060       0.061       0.712       0.007       0.272      38.922        0.04      12988.    0.5132  
        1.33      0.1277      0.2216      0.1277      0.0736       0.001       0.060       0.060       0.711       0.007       0.265      38.009        0.04      13004.    0.4949  
        1.60      0.1532      0.2595      0.1242      0.0733       0.001       0.060       0.058       0.709       0.007       0.258      37.091        0.04      13020.    0.4763  
        1.86      0.1787      0.2952      0.1205      0.0730       0.001       0.060       0.056       0.705       0.007       0.250      36.165        0.04      13038.    0.4574  
        2.13      0.2043      0.3287      0.1166      0.0725       0.001       0.059       0.054       0.700       0.007       0.242      35.230        0.04      13056.    0.4383  
        2.39      0.2298      0.3598      0.1125      0.0718       0.001       0.059       0.052       0.694       0.007       0.233      34.283        0.04      13075.    0.4189  
        2.66      0.2554      0.3886      0.1081      0.0711       0.001       0.058       0.050       0.687       0.007       0.224      33.323        0.04      13096.    0.3992  
        2.93      0.2809      0.4149      0.1036      0.0701       0.001       0.057       0.048       0.678       0.006       0.215      32.345        0.04      13117.    0.3793  
        3.19      0.3064      0.4386      0.0988      0.0690       0.001       0.056       0.046       0.667       0.006       0.205      31.346        0.04      13139.    0.3589  
        3.46      0.3320      0.4596      0.0938      0.0677       0.001       0.055       0.044       0.655       0.006       0.195      30.319        0.04      13163.    0.3383  
        3.72      0.3575      0.4777      0.0886      0.0663       0.001       0.054       0.041       0.641       0.006       0.184      29.260        0.04      13187.    0.3173  
        3.99      0.3830      0.4926      0.0832      0.0647       0.001       0.053       0.039       0.625       0.006       0.173      28.160        0.04      13213.    0.2960  
        4.26      0.4086      0.5040      0.0777      0.0630       0.001       0.051       0.036       0.608       0.006       0.161      27.013        0.04      13240.    0.2743  
        4.52      0.4341      0.5116      0.0720      0.0611       0.001       0.050       0.034       0.590       0.006       0.149      25.808        0.04      13267.    0.2523  
        4.79      0.4596      0.5150      0.0661      0.0590       0.001       0.048       0.031       0.570       0.005       0.137      24.534        0.04      13296.    0.2298  
        5.05      0.4852      0.5135      0.0601      0.0568       0.001       0.046       0.028       0.549       0.005       0.125      23.177        0.04      13326.    0.2071  
        5.32      0.5107      0.5065      0.0540      0.0544       0.001       0.044       0.025       0.526       0.005       0.112      21.718        0.04      13357.    0.1839  
        5.59      0.5362      0.4931      0.0478      0.0519       0.001       0.042       0.022       0.502       0.005       0.099      20.137        0.04      13389.    0.1603  
        5.85      0.5618      0.4721      0.0414      0.0493       0.001       0.040       0.019       0.476       0.005       0.086      18.403        0.04      13422.    0.1364  
        6.12      0.5873      0.4420      0.0350      0.0465       0.001       0.038       0.016       0.449       0.004       0.073      16.480        0.04      13456.    0.1123  
        6.38      0.6129      0.4007      0.0284      0.0435       0.001       0.036       0.013       0.420       0.004       0.059      14.318        0.04      13492.    0.0880  
        6.65      0.6384      0.3455      0.0219      0.0404       0.001       0.033       0.010       0.391       0.004       0.045      11.851        0.04      13528.    0.0639  
        6.92      0.6639      0.2724      0.0153      0.0372       0.000       0.030       0.007       0.359       0.003       0.032       8.984        0.04      13566.    0.0404  
        7.18      0.6895      0.1759      0.0086      0.0338       0.000       0.028       0.004       0.327       0.003       0.018       5.585        0.04      13605.    0.0189  
        7.45      0.7150      0.0474      0.0020      0.0304       0.000       0.025       0.001       0.294       0.003       0.004       1.453        0.04      13644.    0.0024  
        7.71      0.7405                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1427      0.0665       0.007       0.217       0.266       5.143       0.025       1.185      23.493        0.09      25870.    0.6468  
        0.52      0.0251      0.0526      0.1403      0.0668       0.007       0.218       0.262       5.168       0.025       1.165      22.977        0.09      25893.    0.6271  
        1.05      0.0502      0.1029      0.1377      0.0671       0.007       0.219       0.257       5.188       0.025       1.143      22.460        0.09      25919.    0.6073  
