         11x8.5E                  (11x85E.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1183      0.0621       0.001       0.051       0.055       0.600       0.006       0.245      41.733        0.04      13150.    0.5230  
        0.33      0.0315      0.0587      0.1173      0.0630       0.001       0.051       0.055       0.609       0.006       0.243      40.764        0.04      13162.    0.5086  
        0.66      0.0630      0.1145      0.1161      0.0639       0.001       0.052       0.054       0.618       0.006       0.241      39.776        0.04      13175.    0.4938  
        0.99      0.0946      0.1675      0.1148      0.0649       0.001       0.053       0.054       0.627       0.006       0.238      38.775        0.04      13190.    0.4788  
        1.31      0.1261      0.2175      0.1134      0.0658       0.001       0.054       0.053       0.635       0.006       0.235      37.766        0.04      13206.    0.4634  
        1.64      0.1576      0.2646      0.1118      0.0666       0.001       0.054       0.052       0.644       0.006       0.232      36.754        0.04      13224.    0.4478  
        1.97      0.1891      0.3087      0.1100      0.0674       0.001       0.055       0.051       0.651       0.006       0.228      35.744        0.04      13244.    0.4320  
        2.30      0.2207      0.3501      0.1080      0.0681       0.001       0.056       0.050       0.658       0.006       0.224      34.740        0.04      13265.    0.4160  
        2.63      0.2522      0.3886      0.1058      0.0686       0.001       0.056       0.049       0.663       0.006       0.219      33.746        0.04      13288.    0.3999  
        2.96      0.2837      0.4245      0.1033      0.0690       0.001       0.056       0.048       0.667       0.006       0.214      32.762        0.04      13313.    0.3836  
        3.28      0.3152      0.4577      0.1005      0.0692       0.001       0.057       0.047       0.669       0.006       0.209      31.792        0.04      13340.    0.3673  
        3.61      0.3468      0.4883      0.0975      0.0692       0.001       0.057       0.045       0.669       0.006       0.202      30.834        0.04      13369.    0.3507  
        3.94      0.3783      0.5163      0.0941      0.0690       0.001       0.056       0.044       0.666       0.006       0.195      29.888        0.04      13400.    0.3341  
        4.27      0.4098      0.5418      0.0905      0.0684       0.001       0.056       0.042       0.661       0.006       0.188      28.951        0.04      13432.    0.3173  
        4.60      0.4413      0.5647      0.0865      0.0676       0.001       0.055       0.040       0.653       0.006       0.179      28.019        0.04      13467.    0.3002  
        4.93      0.4729      0.5849      0.0822      0.0664       0.001       0.054       0.038       0.642       0.006       0.171      27.084        0.04      13504.    0.2829  
        5.25      0.5044      0.6021      0.0775      0.0650       0.001       0.053       0.036       0.628       0.006       0.161      26.139        0.04      13542.    0.2652  
        5.58      0.5359      0.6160      0.0726      0.0632       0.001       0.052       0.034       0.610       0.006       0.151      25.171        0.04      13582.    0.2471  
        5.91      0.5674      0.6263      0.0674      0.0610       0.001       0.050       0.031       0.590       0.006       0.140      24.168        0.04      13625.    0.2286  
        6.24      0.5990      0.6322      0.0619      0.0586       0.001       0.048       0.029       0.567       0.005       0.128      23.112        0.04      13669.    0.2095  
        6.57      0.6305      0.6330      0.0561      0.0559       0.001       0.046       0.026       0.540       0.005       0.116      21.985        0.04      13715.    0.1898  
        6.90      0.6620      0.6277      0.0502      0.0530       0.001       0.043       0.023       0.512       0.005       0.104      20.762        0.04      13762.    0.1695  
        7.22      0.6935      0.6149      0.0441      0.0498       0.001       0.041       0.021       0.481       0.005       0.092      19.415        0.04      13812.    0.1486  
        7.55      0.7251      0.5928      0.0379      0.0464       0.001       0.038       0.018       0.449       0.004       0.079      17.905        0.04      13863.    0.1271  
        7.88      0.7566      0.5590      0.0317      0.0429       0.001       0.035       0.015       0.414       0.004       0.066      16.180        0.04      13917.    0.1049  
        8.21      0.7881      0.5099      0.0253      0.0391       0.001       0.032       0.012       0.378       0.004       0.053      14.169        0.04      13971.    0.0821  
        8.54      0.8196      0.4405      0.0190      0.0353       0.000       0.029       0.009       0.341       0.003       0.039      11.768        0.05      14028.    0.0590  
        8.87      0.8512      0.3429      0.0126      0.0313       0.000       0.026       0.006       0.302       0.003       0.026       8.821        0.05      14087.    0.0361  
        9.19      0.8827      0.2048      0.0063      0.0272       0.000       0.022       0.003       0.263       0.003       0.013       5.080        0.05      14147.    0.0147  
        9.52      0.9142      0.0053      0.0001      0.0231       0.000       0.019       0.000       0.223       0.002       0.000       0.126        0.05      14209.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1187      0.0566       0.006       0.185       0.222       4.376       0.021       0.986      22.965        0.09      26300.    0.5766  
        0.66      0.0318      0.0649      0.1177      0.0576       0.006       0.188       0.220       4.453       0.021       0.977      22.377        0.09      26324.    0.5595  
        1.32      0.0635      0.1263      0.1166      0.0586       0.006       0.191       0.218       4.531       0.022       0.968      21.779        0.09      26351.    0.5419  
        1.98      0.0953      0.1843      0.1153      0.0596       0.006       0.195       0.215       4.609       0.022       0.957      21.177        0.09      26381.    0.5240  
        2.65      0.1270      0.2387      0.1139      0.0606       0.006       0.198       0.213       4.686       0.022       0.945      20.574        0.09      26414.    0.5059  
        3.31      0.1588      0.2896      0.1123      0.0616       0.006       0.201       0.210       4.759       0.023       0.932      19.972        0.09      26450.    0.4877  
        3.97      0.1905      0.3372      0.1105      0.0624       0.006       0.204       0.206       4.827       0.023       0.917      19.376        0.09      26490.    0.4693  
        4.63      0.2223      0.3815      0.1085      0.0632       0.007       0.207       0.202       4.887       0.023       0.900      18.788        0.09      26533.    0.4509  
        5.29      0.2541      0.4225      0.1062      0.0639       0.007       0.209       0.198       4.938       0.024       0.882      18.210        0.09      26580.    0.4325  
        5.95      0.2858      0.4605      0.1037      0.0644       0.007       0.210       0.194       4.976       0.024       0.861      17.643        0.09      26630.    0.4140  
        6.62      0.3176      0.4956      0.1009      0.0647       0.007       0.211       0.188       5.000       0.024       0.838      17.088        0.09      26685.    0.3956  
        7.28      0.3493      0.5279      0.0978      0.0647       0.007       0.212       0.183       5.006       0.024       0.812      16.547        0.09      26743.    0.3772  
        7.94      0.3811      0.5575      0.0945      0.0646       0.007       0.211       0.176       4.992       0.024       0.784      16.018        0.09      26805.    0.3587  
        8.60      0.4128      0.5844      0.0907      0.0641       0.007       0.209       0.169       4.956       0.024       0.753      15.500        0.09      26871.    0.3403  
        9.26      0.4446      0.6087      0.0867      0.0633       0.007       0.207       0.162       4.895       0.023       0.720      14.992        0.09      26941.    0.3217  
        9.92      0.4763      0.6304      0.0823      0.0622       0.006       0.203       0.154       4.810       0.023       0.683      14.489        0.09      27015.    0.3030  
       10.59      0.5081      0.6492      0.0776      0.0608       0.006       0.199       0.145       4.698       0.022       0.645      13.989        0.09      27093.    0.2840  
       11.25      0.5399      0.6649      0.0726      0.0590       0.006       0.193       0.136       4.560       0.022       0.603      13.485        0.09      27175.    0.2649  
       11.91      0.5716      0.6772      0.0673      0.0568       0.006       0.186       0.126       4.394       0.021       0.559      12.971        0.09      27261.    0.2453  
       12.57      0.6034      0.6855      0.0618      0.0544       0.006       0.178       0.115       4.203       0.020       0.513      12.440        0.09      27350.    0.2253  
       13.23      0.6351      0.6892      0.0560      0.0516       0.005       0.169       0.104       3.988       0.019       0.465      11.881        0.09      27443.    0.2048  
       13.89      0.6669      0.6872      0.0500      0.0485       0.005       0.159       0.093       3.752       0.018       0.415      11.282        0.09      27540.    0.1838  
       14.56      0.6986      0.6782      0.0439      0.0452       0.005       0.148       0.082       3.496       0.017       0.364      10.628        0.09      27640.    0.1623  
       15.22      0.7304      0.6603      0.0377      0.0417       0.004       0.136       0.070       3.223       0.015       0.313       9.898        0.09      27744.    0.1400  
       15.88      0.7622      0.6307      0.0314      0.0379       0.004       0.124       0.059       2.933       0.014       0.261       9.060        0.09      27852.    0.1170  
       16.54      0.7939      0.5852      0.0251      0.0340       0.004       0.111       0.047       2.628       0.013       0.208       8.070        0.09      27964.    0.0931  
       17.20      0.8257      0.5171      0.0187      0.0299       0.003       0.098       0.035       2.311       0.011       0.155       6.857        0.09      28079.    0.0684  
       17.86      0.8574      0.4151      0.0124      0.0256       0.003       0.084       0.023       1.983       0.009       0.103       5.301        0.09      28197.    0.0430  
       18.52      0.8892      0.2587      0.0062      0.0213       0.002       0.070       0.012       1.647       0.008       0.051       3.186        0.09      28319.    0.0183  
       19.19      0.9209      0.0059      0.0001      0.0169       0.002       0.055       0.000       1.305       0.006       0.001       0.070        0.09      28445.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1190      0.0542       0.019       0.399       0.500      14.146       0.045       2.222      16.019        0.13      39449.    0.6040  
        1.00      0.0319      0.0681      0.1180      0.0552       0.019       0.406       0.495      14.414       0.046       2.204      15.588        0.13      39486.    0.5853  
        1.99      0.0637      0.1323      0.1168      0.0563       0.020       0.414       0.491      14.687       0.047       2.183      15.153        0.13      39526.    0.5662  
        2.99      0.0956      0.1928      0.1156      0.0573       0.020       0.422       0.485      14.961       0.048       2.159      14.715        0.13      39571.    0.5468  
        3.98      0.1275      0.2494      0.1142      0.0584       0.020       0.429       0.479      15.230       0.048       2.132      14.277        0.13      39621.    0.5273  
        4.98      0.1594      0.3022      0.1126      0.0594       0.021       0.436       0.473      15.489       0.049       2.103      13.842        0.13      39676.    0.5077  
        5.98      0.1912      0.3514      0.1108      0.0603       0.021       0.443       0.465      15.730       0.050       2.069      13.413        0.13      39735.    0.4880  
        6.97      0.2231      0.3971      0.1088      0.0611       0.021       0.449       0.457      15.946       0.051       2.031      12.990        0.13      39801.    0.4683  
        7.97      0.2550      0.4393      0.1065      0.0618       0.022       0.454       0.447      16.129       0.051       1.989      12.577        0.13      39871.    0.4486  
        8.96      0.2869      0.4784      0.1040      0.0624       0.022       0.458       0.437      16.271       0.052       1.942      12.173        0.13      39948.    0.4291  
        9.96      0.3187      0.5144      0.1012      0.0627       0.022       0.461       0.425      16.361       0.052       1.890      11.779        0.13      40030.    0.4096  
       10.96      0.3506      0.5474      0.0981      0.0628       0.022       0.462       0.412      16.392       0.052       1.832      11.397        0.13      40118.    0.3902  
       11.95      0.3825      0.5777      0.0947      0.0627       0.022       0.461       0.398      16.354       0.052       1.768      11.026        0.13      40212.    0.3708  
       12.95      0.4143      0.6054      0.0909      0.0622       0.022       0.458       0.382      16.240       0.052       1.698      10.664        0.13      40312.    0.3515  
       13.94      0.4462      0.6304      0.0869      0.0615       0.022       0.452       0.365      16.044       0.051       1.622      10.312        0.13      40418.    0.3322  
       14.94      0.4781      0.6527      0.0825      0.0604       0.021       0.444       0.346      15.759       0.050       1.540       9.966        0.13      40529.    0.3128  
