         11x8F                    (11x8F.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1125      0.0574       0.001       0.047       0.052       0.555       0.005       0.233      42.931        0.04      13245.    0.5247  
        0.31      0.0300      0.0575      0.1114      0.0582       0.001       0.048       0.052       0.563       0.005       0.231      41.899        0.04      13257.    0.5095  
        0.63      0.0601      0.1120      0.1101      0.0590       0.001       0.048       0.051       0.570       0.005       0.229      40.856        0.04      13270.    0.4940  
        0.94      0.0901      0.1638      0.1087      0.0598       0.001       0.049       0.051       0.578       0.006       0.226      39.808        0.04      13284.    0.4782  
        1.25      0.1201      0.2126      0.1071      0.0605       0.001       0.049       0.050       0.585       0.006       0.222      38.760        0.04      13300.    0.4623  
        1.56      0.1501      0.2586      0.1054      0.0612       0.001       0.050       0.049       0.591       0.006       0.219      37.716        0.04      13318.    0.4462  
        1.88      0.1802      0.3018      0.1035      0.0618       0.001       0.050       0.048       0.597       0.006       0.215      36.678        0.04      13337.    0.4299  
        2.19      0.2102      0.3422      0.1014      0.0623       0.001       0.051       0.047       0.602       0.006       0.210      35.650        0.04      13357.    0.4136  
        2.50      0.2402      0.3799      0.0990      0.0626       0.001       0.051       0.046       0.605       0.006       0.206      34.634        0.04      13379.    0.3971  
        2.81      0.2702      0.4150      0.0964      0.0628       0.001       0.051       0.045       0.607       0.006       0.200      33.630        0.04      13403.    0.3805  
        3.13      0.3003      0.4475      0.0936      0.0628       0.001       0.051       0.044       0.607       0.006       0.194      32.639        0.04      13429.    0.3639  
        3.44      0.3303      0.4775      0.0905      0.0626       0.001       0.051       0.042       0.605       0.006       0.188      31.658        0.04      13456.    0.3471  
        3.75      0.3603      0.5049      0.0872      0.0622       0.001       0.051       0.041       0.601       0.006       0.181      30.686        0.04      13485.    0.3301  
        4.07      0.3903      0.5297      0.0836      0.0616       0.001       0.050       0.039       0.595       0.006       0.173      29.719        0.04      13516.    0.3130  
