         12x4.7SF                 (12x47SF.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1181      0.0452       0.001       0.057       0.078       0.675       0.006       0.347      52.457        0.05      25271.    0.7166  
        0.22      0.0194      0.0496      0.1155      0.0452       0.001       0.057       0.076       0.674       0.006       0.340      51.351        0.05      25289.    0.6937  
        0.44      0.0388      0.0970      0.1128      0.0451       0.001       0.057       0.075       0.673       0.006       0.331      50.237        0.05      25308.    0.6706  
        0.66      0.0581      0.1423      0.1099      0.0449       0.001       0.057       0.073       0.671       0.006       0.323      49.117        0.05      25327.    0.6473  
        0.88      0.0775      0.1853      0.1070      0.0447       0.001       0.056       0.071       0.668       0.006       0.314      47.989        0.05      25348.    0.6238  
        1.10      0.0969      0.2262      0.1039      0.0445       0.001       0.056       0.069       0.665       0.006       0.305      46.850        0.05      25370.    0.6002  
        1.32      0.1163      0.2647      0.1007      0.0442       0.001       0.056       0.067       0.660       0.006       0.296      45.700        0.05      25392.    0.5764  
        1.54      0.1357      0.3010      0.0973      0.0439       0.001       0.055       0.064       0.655       0.006       0.286      44.535        0.05      25415.    0.5523  
        1.76      0.1550      0.3348      0.0939      0.0435       0.001       0.055       0.062       0.649       0.006       0.276      43.352        0.05      25440.    0.5280  
        1.98      0.1744      0.3662      0.0903      0.0430       0.001       0.054       0.060       0.642       0.006       0.265      42.149        0.05      25465.    0.5035  
        2.20      0.1938      0.3951      0.0866      0.0425       0.001       0.054       0.057       0.634       0.006       0.255      40.920        0.05      25491.    0.4787  
        2.42      0.2132      0.4212      0.0828      0.0419       0.001       0.053       0.055       0.626       0.006       0.243      39.662        0.05      25518.    0.4536  
        2.64      0.2326      0.4445      0.0788      0.0412       0.001       0.052       0.052       0.616       0.006       0.232      38.369        0.05      25546.    0.4282  
        2.86      0.2519      0.4648      0.0748      0.0405       0.001       0.051       0.049       0.605       0.006       0.220      37.037        0.05      25576.    0.4026  
        3.08      0.2713      0.4820      0.0706      0.0398       0.001       0.050       0.047       0.594       0.006       0.208      35.660        0.05      25606.    0.3767  
        3.30      0.2907      0.4958      0.0664      0.0389       0.001       0.049       0.044       0.581       0.006       0.195      34.232        0.05      25637.    0.3505  
        3.52      0.3101      0.5058      0.0620      0.0380       0.001       0.048       0.041       0.567       0.005       0.182      32.745        0.05      25669.    0.3241  
        3.74      0.3295      0.5119      0.0575      0.0370       0.001       0.047       0.038       0.553       0.005       0.169      31.190        0.05      25702.    0.2974  
        3.96      0.3488      0.5136      0.0530      0.0360       0.001       0.045       0.035       0.538       0.005       0.156      29.556        0.05      25737.    0.2705  
        4.18      0.3682      0.5105      0.0484      0.0349       0.001       0.044       0.032       0.521       0.005       0.142      27.829        0.05      25772.    0.2433  
        4.40      0.3876      0.5019      0.0437      0.0337       0.001       0.043       0.029       0.504       0.005       0.128      25.995        0.05      25809.    0.2160  
        4.62      0.4070      0.4873      0.0389      0.0325       0.001       0.041       0.026       0.485       0.005       0.114      24.034        0.05      25847.    0.1884  
        4.84      0.4264      0.4657      0.0341      0.0312       0.001       0.039       0.023       0.466       0.004       0.100      21.926        0.05      25886.    0.1609  
        5.07      0.4457      0.4363      0.0292      0.0298       0.001       0.038       0.019       0.445       0.004       0.086      19.648        0.05      25926.    0.1335  
        5.29      0.4651      0.3979      0.0243      0.0284       0.001       0.036       0.016       0.424       0.004       0.071      17.172        0.05      25967.    0.1064  
        5.51      0.4845      0.3491      0.0194      0.0269       0.001       0.034       0.013       0.402       0.004       0.057      14.463        0.05      26009.    0.0801  
        5.73      0.5039      0.2879      0.0145      0.0254       0.001       0.032       0.010       0.379       0.004       0.043      11.470        0.05      26053.    0.0549  
        5.95      0.5233      0.2118      0.0096      0.0238       0.000       0.030       0.006       0.356       0.003       0.028       8.125        0.05      26098.    0.0317  
        6.17      0.5426      0.1173      0.0048      0.0222       0.000       0.028       0.003       0.332       0.003       0.014       4.340        0.05      26143.    0.0120  
        6.39      0.5620     -0.0010      0.0000      0.0205       0.000       0.026       0.000       0.306       0.003       0.000      -0.036        0.05      26188.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1183      0.0443       0.007       0.223       0.313       5.286       0.025       1.391      26.830        0.10      50541.    0.7336  
        0.44      0.0194      0.0508      0.1157      0.0442       0.007       0.223       0.306       5.280       0.025       1.360      26.265        0.10      50577.    0.7101  
        0.88      0.0388      0.0994      0.1129      0.0441       0.007       0.223       0.299       5.269       0.025       1.328      25.697        0.10      50615.    0.6865  
        1.32      0.0583      0.1458      0.1101      0.0440       0.007       0.222       0.291       5.252       0.025       1.294      25.127        0.10      50655.    0.6628  
        1.77      0.0777      0.1900      0.1071      0.0438       0.007       0.221       0.283       5.230       0.025       1.259      24.555        0.10      50696.    0.6389  
        2.21      0.0971      0.2320      0.1040      0.0435       0.007       0.220       0.275       5.201       0.025       1.223      23.980        0.10      50739.    0.6148  
        2.65      0.1165      0.2716      0.1008      0.0432       0.007       0.218       0.266       5.165       0.025       1.185      23.400        0.10      50784.    0.5906  
        3.09      0.1359      0.3090      0.0975      0.0429       0.007       0.216       0.258       5.122       0.024       1.146      22.814        0.10      50831.    0.5662  
        3.53      0.1553      0.3439      0.0940      0.0425       0.007       0.214       0.248       5.072       0.024       1.105      22.222        0.10      50880.    0.5417  
        3.97      0.1748      0.3765      0.0904      0.0420       0.007       0.212       0.239       5.014       0.024       1.063      21.621        0.10      50931.    0.5169  
        4.41      0.1942      0.4065      0.0867      0.0414       0.007       0.209       0.229       4.949       0.024       1.020      21.008        0.10      50983.    0.4918  
        4.85      0.2136      0.4338      0.0829      0.0408       0.007       0.206       0.219       4.875       0.023       0.974      20.383        0.10      51038.    0.4665  
        5.30      0.2330      0.4584      0.0789      0.0401       0.006       0.203       0.209       4.792       0.023       0.928      19.743        0.10      51094.    0.4409  
        5.74      0.2524      0.4800      0.0748      0.0394       0.006       0.199       0.198       4.702       0.022       0.880      19.084        0.10      51152.    0.4151  
        6.18      0.2719      0.4985      0.0707      0.0385       0.006       0.195       0.187       4.604       0.022       0.831      18.405        0.10      51213.    0.3890  
        6.62      0.2913      0.5137      0.0664      0.0377       0.006       0.190       0.176       4.498       0.021       0.781      17.702        0.10      51276.    0.3626  
        7.06      0.3107      0.5253      0.0620      0.0367       0.006       0.185       0.164       4.383       0.021       0.729      16.971        0.10      51340.    0.3360  
        7.50      0.3301      0.5330      0.0576      0.0357       0.006       0.180       0.152       4.260       0.020       0.677      16.206        0.10      51407.    0.3092  
        7.94      0.3495      0.5364      0.0530      0.0346       0.006       0.174       0.140       4.129       0.020       0.624      15.402        0.10      51476.    0.2820  
        8.39      0.3689      0.5349      0.0484      0.0334       0.005       0.169       0.128       3.989       0.019       0.569      14.552        0.10      51547.    0.2545  
        8.83      0.3884      0.5281      0.0437      0.0321       0.005       0.162       0.116       3.840       0.018       0.514      13.646        0.10      51621.    0.2268  
        9.27      0.4078      0.5150      0.0389      0.0308       0.005       0.156       0.103       3.682       0.018       0.458      12.675        0.10      51697.    0.1988  
        9.71      0.4272      0.4948      0.0341      0.0294       0.005       0.149       0.090       3.516       0.017       0.401      11.626        0.10      51775.    0.1707  
