         12x6EP(F2B)              (12x6EP(F2B).dat)                                                                                                                                 
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0914      0.0399       0.001       0.050       0.060       0.595       0.006       0.269      46.030        0.05      14849.    0.5531  
        0.25      0.0218      0.0490      0.0899      0.0401       0.001       0.051       0.059       0.598       0.006       0.264      45.021        0.05      14859.    0.5364  
        0.50      0.0437      0.0958      0.0882      0.0402       0.001       0.051       0.058       0.601       0.006       0.259      44.002        0.05      14868.    0.5195  
        0.74      0.0655      0.1403      0.0865      0.0404       0.001       0.051       0.057       0.603       0.006       0.254      42.976        0.05      14879.    0.5023  
        0.99      0.0874      0.1826      0.0846      0.0405       0.001       0.051       0.056       0.605       0.006       0.249      41.944        0.05      14891.    0.4849  
        1.24      0.1092      0.2226      0.0826      0.0405       0.001       0.051       0.055       0.605       0.006       0.243      40.906        0.05      14903.    0.4673  
        1.49      0.1311      0.2603      0.0805      0.0405       0.001       0.051       0.053       0.605       0.006       0.237      39.863        0.05      14916.    0.4495  
        1.74      0.1529      0.2957      0.0782      0.0405       0.001       0.051       0.052       0.604       0.006       0.230      38.814        0.05      14929.    0.4316  
        1.99      0.1748      0.3287      0.0759      0.0403       0.001       0.051       0.050       0.602       0.006       0.223      37.759        0.05      14944.    0.4134  
        2.23      0.1966      0.3594      0.0734      0.0401       0.001       0.051       0.048       0.599       0.006       0.216      36.694        0.05      14960.    0.3950  
        2.48      0.2184      0.3876      0.0707      0.0398       0.001       0.050       0.047       0.595       0.006       0.208      35.619        0.05      14976.    0.3765  
        2.73      0.2403      0.4133      0.0679      0.0395       0.001       0.050       0.045       0.590       0.006       0.200      34.529        0.05      14993.    0.3577  
        2.98      0.2621      0.4364      0.0650      0.0390       0.001       0.049       0.043       0.583       0.006       0.191      33.421        0.05      15012.    0.3387  
        3.23      0.2840      0.4568      0.0619      0.0385       0.001       0.049       0.041       0.575       0.005       0.182      32.291        0.05      15031.    0.3194  
        3.48      0.3058      0.4743      0.0587      0.0379       0.001       0.048       0.039       0.565       0.005       0.173      31.131        0.05      15051.    0.2999  
        3.72      0.3277      0.4886      0.0554      0.0371       0.001       0.047       0.037       0.555       0.005       0.163      29.935        0.05      15072.    0.2800  
        3.97      0.3495      0.4996      0.0519      0.0363       0.001       0.046       0.034       0.542       0.005       0.153      28.694        0.05      15094.    0.2599  
        4.22      0.3714      0.5068      0.0483      0.0354       0.001       0.045       0.032       0.529       0.005       0.142      27.397        0.05      15117.    0.2394  
        4.47      0.3932      0.5100      0.0446      0.0344       0.001       0.043       0.029       0.514       0.005       0.131      26.033        0.05      15141.    0.2186  
        4.72      0.4150      0.5085      0.0408      0.0333       0.001       0.042       0.027       0.497       0.005       0.120      24.591        0.05      15166.    0.1974  
        4.96      0.4369      0.5018      0.0369      0.0321       0.001       0.041       0.024       0.480       0.005       0.108      23.055        0.05      15192.    0.1760  
        5.21      0.4587      0.4892      0.0329      0.0309       0.001       0.039       0.022       0.461       0.004       0.097      21.408        0.05      15219.    0.1544  
        5.46      0.4806      0.4699      0.0289      0.0295       0.001       0.037       0.019       0.441       0.004       0.085      19.626        0.05      15246.    0.1326  
        5.71      0.5024      0.4426      0.0248      0.0281       0.001       0.036       0.016       0.420       0.004       0.073      17.684        0.05      15275.    0.1107  
        5.96      0.5243      0.4061      0.0207      0.0267       0.001       0.034       0.014       0.398       0.004       0.061      15.549        0.05      15305.    0.0888  
        6.21      0.5461      0.3585      0.0165      0.0251       0.001       0.032       0.011       0.375       0.004       0.048      13.178        0.05      15336.    0.0673  
        6.45      0.5680      0.2976      0.0123      0.0235       0.000       0.030       0.008       0.351       0.003       0.036      10.518        0.05      15368.    0.0464  
        6.70      0.5898      0.2204      0.0082      0.0219       0.000       0.028       0.005       0.327       0.003       0.024       7.501        0.05      15401.    0.0270  
        6.95      0.6116      0.1230      0.0041      0.0202       0.000       0.025       0.003       0.301       0.003       0.012       4.036        0.05      15435.    0.0102  
        7.20      0.6335     -0.0001      0.0000      0.0184       0.000       0.023       0.000       0.275       0.003       0.000      -0.004        0.05      15470.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0917      0.0359       0.006       0.181       0.242       4.283       0.020       1.079      25.676        0.10      29698.    0.6182  
        0.50      0.0220      0.0549      0.0902      0.0361       0.006       0.182       0.238       4.314       0.021       1.060      25.065        0.10      29717.    0.5984  
        1.00      0.0440      0.1071      0.0885      0.0363       0.006       0.183       0.234       4.341       0.021       1.041      24.453        0.10      29737.    0.5784  
        1.50      0.0659      0.1566      0.0868      0.0365       0.006       0.184       0.229       4.364       0.021       1.020      23.842        0.10      29758.    0.5584  
        2.00      0.0879      0.2035      0.0849      0.0367       0.006       0.185       0.224       4.381       0.021       0.998      23.233        0.10      29781.    0.5382  
        2.50      0.1099      0.2477      0.0829      0.0368       0.006       0.186       0.219       4.393       0.021       0.975      22.626        0.10      29806.    0.5179  
        3.00      0.1319      0.2893      0.0808      0.0368       0.006       0.186       0.214       4.398       0.021       0.950      22.021        0.10      29832.    0.4976  
        3.50      0.1539      0.3283      0.0785      0.0368       0.006       0.186       0.208       4.395       0.021       0.923      21.419        0.10      29860.    0.4771  
        4.00      0.1758      0.3647      0.0761      0.0367       0.006       0.185       0.201       4.384       0.021       0.895      20.819        0.10      29890.    0.4567  
        4.50      0.1978      0.3985      0.0736      0.0365       0.006       0.184       0.195       4.364       0.021       0.865      20.221        0.10      29921.    0.4361  
        5.00      0.2198      0.4297      0.0709      0.0363       0.006       0.183       0.187       4.333       0.021       0.834      19.623        0.10      29954.    0.4155  
        5.49      0.2418      0.4583      0.0681      0.0359       0.006       0.181       0.180       4.293       0.020       0.801      19.024        0.10      29989.    0.3947  
        5.99      0.2638      0.4841      0.0652      0.0355       0.006       0.179       0.172       4.241       0.020       0.766      18.422        0.10      30026.    0.3738  
        6.49      0.2857      0.5072      0.0621      0.0350       0.006       0.177       0.164       4.177       0.020       0.730      17.815        0.10      30065.    0.3528  
        6.99      0.3077      0.5273      0.0588      0.0343       0.006       0.173       0.156       4.102       0.020       0.692      17.199        0.10      30105.    0.3317  
        7.49      0.3297      0.5443      0.0555      0.0336       0.005       0.170       0.147       4.014       0.019       0.652      16.571        0.10      30148.    0.3103  
        7.99      0.3517      0.5580      0.0520      0.0328       0.005       0.165       0.137       3.913       0.019       0.611      15.926        0.10      30192.    0.2887  
        8.49      0.3736      0.5680      0.0484      0.0318       0.005       0.161       0.128       3.800       0.018       0.569      15.258        0.10      30239.    0.2667  
        8.99      0.3956      0.5740      0.0446      0.0308       0.005       0.155       0.118       3.674       0.018       0.525      14.562        0.10      30287.    0.2445  
