         12x8.5F                  (12x85F.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1120      0.0550       0.001       0.069       0.074       0.821       0.008       0.329      40.889        0.05      15309.    0.5438  
        0.33      0.0295      0.0585      0.1108      0.0558       0.001       0.070       0.073       0.833       0.008       0.326      39.885        0.05      15321.    0.5277  
        0.67      0.0589      0.1141      0.1095      0.0565       0.001       0.071       0.072       0.844       0.008       0.322      38.873        0.05      15336.    0.5112  
        1.00      0.0884      0.1666      0.1080      0.0573       0.001       0.072       0.071       0.855       0.008       0.317      37.858        0.05      15351.    0.4946  
        1.34      0.1178      0.2162      0.1064      0.0580       0.001       0.073       0.070       0.866       0.008       0.313      36.845        0.05      15368.    0.4777  
        1.67      0.1473      0.2629      0.1046      0.0586       0.001       0.074       0.069       0.875       0.008       0.308      35.837        0.05      15387.    0.4607  
        2.01      0.1767      0.3067      0.1026      0.0591       0.001       0.075       0.068       0.883       0.008       0.302      34.838        0.05      15407.    0.4436  
        2.34      0.2062      0.3476      0.1005      0.0596       0.001       0.075       0.066       0.890       0.008       0.295      33.849        0.05      15429.    0.4265  
        2.68      0.2356      0.3858      0.0981      0.0599       0.001       0.076       0.065       0.894       0.009       0.288      32.873        0.05      15452.    0.4092  
        3.01      0.2651      0.4214      0.0955      0.0600       0.001       0.076       0.063       0.897       0.009       0.281      31.911        0.05      15477.    0.3919  
        3.35      0.2945      0.4543      0.0926      0.0600       0.001       0.076       0.061       0.896       0.009       0.272      30.961        0.05      15504.    0.3745  
        3.68      0.3240      0.4845      0.0895      0.0598       0.001       0.075       0.059       0.893       0.009       0.263      30.023        0.05      15533.    0.3570  
        4.02      0.3534      0.5122      0.0861      0.0594       0.001       0.075       0.057       0.887       0.008       0.253      29.094        0.05      15564.    0.3393  
        4.35      0.3829      0.5373      0.0824      0.0587       0.001       0.074       0.054       0.877       0.008       0.242      28.170        0.05      15597.    0.3215  
        4.69      0.4123      0.5596      0.0785      0.0579       0.001       0.073       0.052       0.864       0.008       0.231      27.245        0.05      15631.    0.3035  
        5.02      0.4418      0.5791      0.0743      0.0567       0.001       0.072       0.049       0.847       0.008       0.218      26.312        0.05      15667.    0.2851  
        5.35      0.4712      0.5954      0.0698      0.0553       0.001       0.070       0.046       0.825       0.008       0.205      25.363        0.05      15705.    0.2664  
        5.69      0.5007      0.6083      0.0651      0.0536       0.001       0.068       0.043       0.801       0.008       0.191      24.387        0.05      15745.    0.2474  
        6.02      0.5301      0.6172      0.0602      0.0517       0.001       0.065       0.040       0.772       0.007       0.177      23.371        0.05      15787.    0.2280  
        6.36      0.5596      0.6217      0.0551      0.0496       0.001       0.063       0.036       0.741       0.007       0.162      22.301        0.05      15831.    0.2082  
        6.69      0.5890      0.6209      0.0499      0.0473       0.001       0.060       0.033       0.707       0.007       0.147      21.159        0.05      15876.    0.1879  
        7.03      0.6185      0.6139      0.0445      0.0449       0.001       0.057       0.029       0.670       0.006       0.131      19.924        0.05      15923.    0.1671  
        7.36      0.6479      0.5993      0.0391      0.0422       0.001       0.053       0.026       0.631       0.006       0.115      18.568        0.05      15972.    0.1459  
        7.70      0.6774      0.5756      0.0335      0.0394       0.001       0.050       0.022       0.589       0.006       0.099      17.057        0.05      16023.    0.1241  
        8.03      0.7068      0.5403      0.0279      0.0365       0.001       0.046       0.018       0.545       0.005       0.082      15.343        0.05      16076.    0.1019  
        8.37      0.7363      0.4901      0.0223      0.0334       0.001       0.042       0.015       0.499       0.005       0.065      13.361        0.05      16130.    0.0792  
        8.70      0.7657      0.4202      0.0166      0.0302       0.001       0.038       0.011       0.452       0.004       0.049      11.016        0.05      16186.    0.0564  
        9.04      0.7952      0.3236      0.0110      0.0270       0.001       0.034       0.007       0.403       0.004       0.032       8.168        0.05      16244.    0.0340  
        9.37      0.8246      0.1889      0.0054      0.0236       0.000       0.030       0.004       0.352       0.003       0.016       4.599        0.05      16304.    0.0134  
        9.71      0.8541     -0.0025     -0.0001      0.0202       0.000       0.025       0.000       0.301       0.003       0.000      -0.058        0.05      16365.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1124      0.0502       0.008       0.254       0.297       6.001       0.029       1.321      22.446        0.10      30617.    0.5981  
        0.67      0.0296      0.0644      0.1112      0.0511       0.008       0.258       0.294       6.103       0.029       1.307      21.839        0.10      30643.    0.5789  
        1.35      0.0592      0.1253      0.1099      0.0519       0.008       0.262       0.290       6.204       0.030       1.292      21.232        0.10      30671.    0.5595  
