         12x8SF                   (12x8SF.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1681      0.0797       0.002       0.101       0.111       1.190       0.011       0.494      42.341        0.05      25148.    0.6900  
        0.33      0.0291      0.0600      0.1658      0.0805       0.002       0.102       0.110       1.203       0.011       0.487      41.314        0.05      25176.    0.6686  
        0.66      0.0583      0.1170      0.1633      0.0813       0.002       0.103       0.108       1.214       0.012       0.480      40.303        0.05      25206.    0.6473  
        0.99      0.0874      0.1711      0.1606      0.0820       0.002       0.103       0.106       1.224       0.012       0.472      39.311        0.05      25239.    0.6261  
        1.32      0.1165      0.2225      0.1576      0.0825       0.002       0.104       0.104       1.232       0.012       0.463      38.338        0.05      25274.    0.6050  
        1.65      0.1456      0.2712      0.1544      0.0829       0.002       0.105       0.102       1.238       0.012       0.454      37.386        0.05      25313.    0.5839  
        1.99      0.1748      0.3174      0.1509      0.0831       0.002       0.105       0.100       1.241       0.012       0.444      36.452        0.05      25354.    0.5629  
        2.32      0.2039      0.3610      0.1472      0.0831       0.002       0.105       0.097       1.241       0.012       0.433      35.537        0.05      25397.    0.5419  
        2.65      0.2330      0.4021      0.1431      0.0829       0.002       0.105       0.095       1.239       0.012       0.421      34.637        0.05      25444.    0.5209  
        2.98      0.2622      0.4408      0.1388      0.0825       0.002       0.104       0.092       1.233       0.012       0.408      33.752        0.05      25493.    0.4998  
        3.31      0.2913      0.4771      0.1341      0.0819       0.002       0.103       0.089       1.223       0.012       0.394      32.878        0.05      25545.    0.4787  
        3.64      0.3204      0.5110      0.1292      0.0810       0.002       0.102       0.085       1.210       0.012       0.380      32.012        0.05      25600.    0.4573  
        3.97      0.3495      0.5424      0.1239      0.0798       0.002       0.101       0.082       1.192       0.011       0.364      31.149        0.05      25658.    0.4358  
        4.30      0.3787      0.5713      0.1182      0.0784       0.002       0.099       0.078       1.170       0.011       0.347      30.284        0.05      25718.    0.4139  
        4.63      0.4078      0.5975      0.1122      0.0766       0.002       0.097       0.074       1.143       0.011       0.330      29.409        0.05      25782.    0.3916  
        4.96      0.4369      0.6207      0.1058      0.0745       0.001       0.094       0.070       1.112       0.011       0.311      28.517        0.05      25848.    0.3687  
        5.30      0.4660      0.6407      0.0992      0.0721       0.001       0.091       0.066       1.077       0.010       0.291      27.597        0.05      25916.    0.3454  
        5.63      0.4952      0.6572      0.0922      0.0695       0.001       0.088       0.061       1.038       0.010       0.271      26.640        0.05      25987.    0.3216  
        5.96      0.5243      0.6695      0.0851      0.0666       0.001       0.084       0.056       0.995       0.010       0.250      25.634        0.05      26061.    0.2972  
        6.29      0.5534      0.6773      0.0778      0.0636       0.001       0.080       0.051       0.949       0.009       0.229      24.565        0.05      26138.    0.2723  
        6.62      0.5826      0.6795      0.0703      0.0603       0.001       0.076       0.046       0.900       0.009       0.207      23.414        0.05      26217.    0.2468  
        6.95      0.6117      0.6753      0.0627      0.0568       0.001       0.072       0.041       0.848       0.008       0.184      22.160        0.05      26300.    0.2205  
        7.28      0.6408      0.6630      0.0549      0.0531       0.001       0.067       0.036       0.792       0.008       0.161      20.769        0.05      26384.    0.1935  
        7.61      0.6699      0.6409      0.0470      0.0492       0.001       0.062       0.031       0.734       0.007       0.138      19.202        0.05      26472.    0.1655  
        7.94      0.6991      0.6060      0.0391      0.0451       0.001       0.057       0.026       0.673       0.006       0.115      17.400        0.05      26562.    0.1368  
        8.27      0.7282      0.5545      0.0311      0.0409       0.001       0.052       0.021       0.610       0.006       0.091      15.286        0.05      26655.    0.1072  
        8.61      0.7573      0.4807      0.0232      0.0365       0.001       0.046       0.015       0.545       0.005       0.068      12.742        0.05      26750.    0.0771  
        8.94      0.7865      0.3754      0.0153      0.0320       0.001       0.040       0.010       0.478       0.005       0.045       9.582        0.05      26849.    0.0471  
        9.27      0.8156      0.2228      0.0075      0.0275       0.001       0.035       0.005       0.410       0.004       0.022       5.484        0.05      26950.    0.0189  
        9.60      0.8447     -0.0059     -0.0002      0.0228       0.000       0.029       0.000       0.341       0.003       0.000      -0.140        0.05      27052.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1683      0.0784       0.013       0.396       0.445       9.367       0.045       1.979      21.540        0.10      50295.    0.7025  
        0.66      0.0292      0.0610      0.1660      0.0793       0.013       0.400       0.439       9.475       0.045       1.952      21.006        0.10      50351.    0.6804  
        1.33      0.0583      0.1190      0.1635      0.0801       0.013       0.405       0.432       9.572       0.046       1.922      20.480        0.10      50412.    0.6584  
        1.99      0.0875      0.1741      0.1608      0.0808       0.013       0.408       0.425       9.655       0.046       1.890      19.965        0.10      50478.    0.6364  
        2.65      0.1167      0.2262      0.1578      0.0814       0.013       0.411       0.417       9.723       0.046       1.856      19.462        0.10      50549.    0.6146  
        3.31      0.1458      0.2756      0.1546      0.0818       0.013       0.413       0.409       9.772       0.047       1.818      18.969        0.10      50625.    0.5930  
        3.98      0.1750      0.3224      0.1511      0.0820       0.013       0.414       0.399       9.801       0.047       1.777      18.488        0.10      50707.    0.5714  
        4.64      0.2042      0.3665      0.1474      0.0821       0.013       0.414       0.390       9.807       0.047       1.733      18.017        0.10      50795.    0.5499  
        5.30      0.2333      0.4081      0.1433      0.0819       0.013       0.414       0.379       9.788       0.047       1.685      17.556        0.10      50888.    0.5284  
        5.97      0.2625      0.4473      0.1390      0.0816       0.013       0.412       0.367       9.743       0.047       1.634      17.103        0.10      50987.    0.5069  
        6.63      0.2917      0.4841      0.1343      0.0809       0.013       0.409       0.355       9.668       0.046       1.579      16.658        0.10      51091.    0.4854  
