         13.5x10                  (135x10.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1085      0.0555       0.002       0.126       0.115       1.493       0.014       0.511      34.889        0.05      20941.    0.5139  
        0.39      0.0308      0.0587      0.1075      0.0564       0.002       0.128       0.114       1.518       0.014       0.506      33.997        0.05      20958.    0.4984  
        0.79      0.0617      0.1144      0.1063      0.0573       0.002       0.130       0.113       1.543       0.015       0.501      33.093        0.05      20978.    0.4826  
        1.18      0.0925      0.1668      0.1050      0.0582       0.002       0.132       0.111       1.567       0.015       0.495      32.184        0.05      21000.    0.4664  
        1.58      0.1233      0.2161      0.1036      0.0591       0.002       0.134       0.110       1.590       0.015       0.488      31.273        0.05      21024.    0.4501  
        1.97      0.1541      0.2623      0.1019      0.0599       0.002       0.136       0.108       1.612       0.015       0.480      30.365        0.05      21050.    0.4335  
        2.36      0.1850      0.3054      0.1001      0.0606       0.002       0.138       0.106       1.631       0.016       0.471      29.463        0.05      21080.    0.4169  
        2.76      0.2158      0.3455      0.0981      0.0613       0.002       0.139       0.104       1.648       0.016       0.462      28.569        0.05      21111.    0.4001  
        3.15      0.2466      0.3827      0.0958      0.0618       0.002       0.140       0.101       1.662       0.016       0.451      27.685        0.05      21146.    0.3832  
