         13.5x13.5                (135x135.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1199      0.0703       0.003       0.160       0.127       1.892       0.018       0.565      30.419        0.05      21802.    0.4710  
        0.51      0.0400      0.0666      0.1194      0.0718       0.003       0.163       0.126       1.933       0.018       0.562      29.665        0.05      21827.    0.4584  
        1.02      0.0801      0.1296      0.1189      0.0734       0.003       0.167       0.126       1.976       0.019       0.560      28.878        0.05      21856.    0.4452  
        1.54      0.1201      0.1889      0.1182      0.0752       0.003       0.171       0.125       2.022       0.019       0.557      28.065        0.05      21889.    0.4315  
        2.05      0.1601      0.2444      0.1175      0.0770       0.003       0.175       0.124       2.071       0.020       0.553      27.234        0.05      21926.    0.4174  
        2.56      0.2002      0.2961      0.1166      0.0788       0.003       0.179       0.123       2.120       0.020       0.549      26.393        0.05      21968.    0.4029  
        3.07      0.2402      0.3440      0.1155      0.0807       0.003       0.183       0.122       2.170       0.021       0.544      25.548        0.05      22014.    0.3882  
        3.58      0.2803      0.3881      0.1142      0.0825       0.003       0.188       0.121       2.219       0.021       0.538      24.707        0.05      22066.    0.3734  
        4.09      0.3203      0.4286      0.1126      0.0842       0.003       0.191       0.119       2.265       0.022       0.530      23.877        0.05      22123.    0.3583  
        4.61      0.3603      0.4657      0.1108      0.0857       0.003       0.195       0.117       2.307       0.022       0.522      23.060        0.05      22185.    0.3432  
