         13x13.5N                 (13x135N.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1049      0.0634       0.002       0.119       0.095       1.413       0.013       0.425      30.659        0.05      17067.    0.4276  
        0.50      0.0409      0.0663      0.1047      0.0646       0.002       0.122       0.095       1.440       0.014       0.424      30.000        0.05      17084.    0.4179  
        1.01      0.0818      0.1294      0.1044      0.0660       0.002       0.124       0.095       1.471       0.014       0.423      29.293        0.05      17105.    0.4075  
        1.51      0.1228      0.1891      0.1041      0.0676       0.002       0.127       0.095       1.505       0.014       0.421      28.545        0.05      17128.    0.3965  
        2.02      0.1637      0.2452      0.1037      0.0692       0.002       0.130       0.094       1.543       0.015       0.420      27.761        0.05      17155.    0.3850  
        2.52      0.2046      0.2976      0.1033      0.0710       0.002       0.134       0.094       1.583       0.015       0.418      26.948        0.05      17186.    0.3730  
        3.02      0.2455      0.3461      0.1028      0.0729       0.002       0.137       0.094       1.625       0.016       0.416      26.116        0.05      17221.    0.3606  
        3.53      0.2864      0.3907      0.1022      0.0749       0.002       0.141       0.093       1.669       0.016       0.414      25.272        0.05      17259.    0.3478  
        4.03      0.3274      0.4315      0.1014      0.0769       0.002       0.145       0.092       1.713       0.016       0.410      24.425        0.05      17302.    0.3348  
        4.53      0.3683      0.4687      0.1003      0.0788       0.002       0.148       0.091       1.756       0.017       0.406      23.582        0.05      17349.    0.3216  
        5.04      0.4092      0.5024      0.0990      0.0806       0.002       0.152       0.090       1.796       0.017       0.401      22.749        0.05      17400.    0.3082  
        5.54      0.4501      0.5328      0.0973      0.0822       0.002       0.155       0.089       1.831       0.017       0.394      21.932        0.05      17455.    0.2946  
        6.05      0.4910      0.5600      0.0951      0.0834       0.002       0.157       0.087       1.859       0.018       0.385      21.132        0.05      17516.    0.2807  
        6.55      0.5320      0.5843      0.0925      0.0842       0.003       0.159       0.084       1.876       0.018       0.374      20.352        0.05      17580.    0.2665  
        7.05      0.5729      0.6058      0.0892      0.0844       0.003       0.159       0.081       1.880       0.018       0.361      19.593        0.05      17650.    0.2520  
        7.56      0.6138      0.6245      0.0854      0.0839       0.003       0.158       0.078       1.869       0.018       0.346      18.852        0.05      17723.    0.2372  
        8.06      0.6547      0.6405      0.0809      0.0827       0.002       0.156       0.074       1.843       0.018       0.328      18.126        0.05      17801.    0.2220  
        8.56      0.6957      0.6535      0.0760      0.0809       0.002       0.152       0.069       1.802       0.017       0.308      17.407        0.05      17884.    0.2066  
        9.07      0.7366      0.6634      0.0707      0.0785       0.002       0.148       0.064       1.748       0.017       0.286      16.687        0.05      17970.    0.1910  
        9.57      0.7775      0.6695      0.0650      0.0755       0.002       0.142       0.059       1.681       0.016       0.263      15.955        0.05      18061.    0.1751  
       10.08      0.8184      0.6713      0.0590      0.0720       0.002       0.136       0.054       1.603       0.015       0.239      15.199        0.05      18155.    0.1590  
       10.58      0.8593      0.6680      0.0529      0.0680       0.002       0.128       0.048       1.515       0.014       0.214      14.404        0.05      18254.    0.1426  
       11.08      0.9003      0.6584      0.0465      0.0636       0.002       0.120       0.042       1.418       0.014       0.188      13.551        0.05      18356.    0.1259  
       11.59      0.9412      0.6407      0.0401      0.0589       0.002       0.111       0.036       1.311       0.013       0.162      12.613        0.05      18462.    0.1087  
