         13x4W                    (13x4W.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0739      0.0351       0.001       0.066       0.067       0.782       0.007       0.299      39.017        0.05      24095.    0.4568  
        0.20      0.0159      0.0327      0.0722      0.0351       0.001       0.066       0.066       0.781       0.007       0.292      38.139        0.05      24106.    0.4412  
        0.39      0.0318      0.0639      0.0703      0.0350       0.001       0.066       0.064       0.780       0.007       0.285      37.246        0.05      24117.    0.4253  
        0.59      0.0477      0.0936      0.0684      0.0349       0.001       0.066       0.062       0.778       0.007       0.277      36.340        0.05      24129.    0.4094  
        0.78      0.0636      0.1216      0.0665      0.0348       0.001       0.066       0.061       0.775       0.007       0.269      35.419        0.05      24141.    0.3933  
        0.98      0.0795      0.1480      0.0645      0.0346       0.001       0.065       0.059       0.772       0.007       0.261      34.484        0.05      24154.    0.3771  
        1.17      0.0954      0.1727      0.0624      0.0345       0.001       0.065       0.057       0.768       0.007       0.253      33.533        0.05      24167.    0.3608  
        1.37      0.1113      0.1957      0.0603      0.0343       0.001       0.065       0.055       0.764       0.007       0.244      32.566        0.05      24181.    0.3443  
        1.57      0.1272      0.2169      0.0581      0.0341       0.001       0.064       0.053       0.759       0.007       0.235      31.580        0.05      24195.    0.3278  
