         13x5.5MRF-RH             (13x55MRF-RH.dat)
         v2022-0915
         Simulation Date: 03/31/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.0936      0.0378       0.001       0.071       0.085       0.841       0.008       0.379      45.932        0.05      20818.    0.6051
        0.23      0.0185      0.0449      0.0917      0.0378       0.001       0.071       0.083       0.841       0.008       0.371      44.992        0.05      20830.    0.5866
        0.46      0.0370      0.0879      0.0896      0.0377       0.001       0.071       0.082       0.840       0.008       0.363      44.041        0.05      20842.    0.5678
        0.68      0.0555      0.1290      0.0875      0.0376       0.001       0.071       0.080       0.838       0.008       0.354      43.080        0.05      20856.    0.5487
        0.91      0.0740      0.1681      0.0853      0.0375       0.001       0.071       0.078       0.836       0.008       0.345      42.109        0.05      20870.    0.5295
        1.14      0.0925      0.2052      0.0829      0.0374       0.001       0.070       0.075       0.833       0.008       0.336      41.121        0.05      20884.    0.5100
        1.37      0.1110      0.2403      0.0805      0.0372       0.001       0.070       0.073       0.828       0.008       0.326      40.117        0.05      20900.    0.4902
        1.59      0.1295      0.2732      0.0780      0.0369       0.001       0.070       0.071       0.823       0.008       0.316      39.097        0.05      20916.    0.4701
        1.82      0.1480      0.3039      0.0753      0.0367       0.001       0.069       0.069       0.817       0.008       0.305      38.055        0.05      20932.    0.4498
        2.05      0.1664      0.3323      0.0726      0.0364       0.001       0.068       0.066       0.810       0.008       0.294      36.989        0.05      20950.    0.4291
        2.28      0.1849      0.3583      0.0697      0.0360       0.001       0.068       0.063       0.802       0.008       0.282      35.896        0.05      20968.    0.4081
        2.50      0.2034      0.3817      0.0667      0.0356       0.001       0.067       0.061       0.792       0.008       0.270      34.767        0.05      20987.    0.3868
        2.73      0.2219      0.4025      0.0636      0.0351       0.001       0.066       0.058       0.782       0.007       0.258      33.603        0.05      21007.    0.3650
        2.96      0.2404      0.4204      0.0605      0.0346       0.001       0.065       0.055       0.770       0.007       0.245      32.397        0.05      21028.    0.3430
        3.19      0.2589      0.4352      0.0572      0.0340       0.001       0.064       0.052       0.758       0.007       0.232      31.147        0.05      21049.    0.3207
        3.42      0.2774      0.4468      0.0538      0.0334       0.001       0.063       0.049       0.744       0.007       0.218      29.844        0.05      21072.    0.2981
        3.64      0.2959      0.4549      0.0504      0.0328       0.001       0.062       0.046       0.730       0.007       0.204      28.484        0.05      21095.    0.2752
        3.87      0.3144      0.4591      0.0468      0.0321       0.001       0.060       0.043       0.714       0.007       0.190      27.059        0.05      21119.    0.2521
        4.10      0.3329      0.4592      0.0432      0.0313       0.001       0.059       0.039       0.697       0.007       0.175      25.560        0.05      21144.    0.2287
        4.33      0.3514      0.4547      0.0395      0.0305       0.001       0.057       0.036       0.680       0.006       0.160      23.978        0.05      21169.    0.2052
        4.55      0.3699      0.4452      0.0357      0.0297       0.001       0.056       0.033       0.661       0.006       0.145      22.300        0.05      21196.    0.1815
        4.78      0.3884      0.4300      0.0319      0.0288       0.001       0.054       0.029       0.641       0.006       0.129      20.515        0.05      21223.    0.1577
        5.01      0.4069      0.4086      0.0280      0.0278       0.001       0.052       0.025       0.620       0.006       0.113      18.607        0.05      21252.    0.1340
        5.24      0.4254      0.3801      0.0240      0.0269       0.001       0.051       0.022       0.599       0.006       0.097      16.558        0.05      21281.    0.1105
        5.46      0.4439      0.3437      0.0200      0.0258       0.001       0.049       0.018       0.576       0.005       0.081      14.347        0.05      21311.    0.0874
        5.69      0.4624      0.2982      0.0160      0.0248       0.001       0.047       0.015       0.552       0.005       0.065      11.949        0.05      21342.    0.0650
        5.92      0.4809      0.2422      0.0119      0.0237       0.001       0.045       0.011       0.527       0.005       0.048       9.334        0.05      21374.    0.0439
        6.15      0.4993      0.1743      0.0079      0.0225       0.001       0.042       0.007       0.501       0.005       0.032       6.466        0.05      21407.    0.0247
        6.37      0.5178      0.0922      0.0038      0.0213       0.001       0.040       0.003       0.475       0.005       0.015       3.300        0.05      21441.    0.0088
        6.60      0.5363     -0.0073     -0.0003      0.0201       0.001       0.038       0.000       0.447       0.004      -0.001      -0.253        0.05      21473.    0.0000



         PROP RPM =       2000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.0939      0.0346       0.008       0.261       0.342       6.175       0.029       1.520      25.103        0.10      41636.    0.6624
        0.47      0.0189      0.0501      0.0919      0.0347       0.008       0.261       0.335       6.179       0.030       1.488      24.561        0.10      41660.    0.6412
        0.93      0.0378      0.0980      0.0898      0.0347       0.008       0.261       0.327       6.176       0.029       1.455      24.016        0.10      41686.    0.6199
        1.40      0.0567      0.1436      0.0876      0.0346       0.008       0.261       0.319       6.165       0.029       1.419      23.472        0.10      41713.    0.5984
        1.86      0.0756      0.1871      0.0854      0.0345       0.008       0.260       0.311       6.148       0.029       1.382      22.924        0.10      41741.    0.5768
        2.33      0.0945      0.2282      0.0830      0.0344       0.008       0.259       0.302       6.124       0.029       1.344      22.373        0.10      41771.    0.5550
        2.79      0.1134      0.2670      0.0805      0.0342       0.008       0.257       0.293       6.090       0.029       1.303      21.817        0.10      41803.    0.5330
        3.26      0.1323      0.3035      0.0779      0.0339       0.008       0.256       0.283       6.048       0.029       1.261      21.257        0.10      41836.    0.5108
        3.72      0.1512      0.3376      0.0751      0.0336       0.008       0.253       0.274       5.998       0.029       1.217      20.689        0.10      41871.    0.4884
        4.19      0.1701      0.3693      0.0723      0.0333       0.008       0.251       0.263       5.937       0.028       1.171      20.113        0.10      41907.    0.4658
        4.65      0.1890      0.3983      0.0694      0.0329       0.008       0.248       0.253       5.866       0.028       1.123      19.526        0.10      41944.    0.4429
        5.12      0.2079      0.4247      0.0663      0.0325       0.008       0.244       0.241       5.785       0.028       1.074      18.925        0.10      41984.    0.4197
        5.58      0.2268      0.4482      0.0631      0.0319       0.008       0.241       0.230       5.693       0.027       1.022      18.310        0.10      42025.    0.3962
        6.05      0.2457      0.4687      0.0598      0.0314       0.007       0.236       0.218       5.591       0.027       0.969      17.676        0.10      42068.    0.3724
        6.51      0.2646      0.4861      0.0565      0.0307       0.007       0.232       0.206       5.478       0.026       0.915      17.022        0.10      42112.    0.3484
        6.98      0.2835      0.5001      0.0530      0.0300       0.007       0.226       0.193       5.356       0.026       0.858      16.343        0.10      42158.    0.3241
        7.44      0.3024      0.5103      0.0495      0.0293       0.007       0.221       0.180       5.223       0.025       0.801      15.635        0.10      42206.    0.2995
        7.91      0.3213      0.5165      0.0458      0.0285       0.007       0.215       0.167       5.080       0.024       0.742      14.894        0.10      42256.    0.2746
        8.38      0.3402      0.5182      0.0421      0.0276       0.007       0.208       0.153       4.926       0.024       0.682      14.113        0.10      42307.    0.2494
        8.84      0.3591      0.5149      0.0383      0.0267       0.006       0.201       0.139       4.761       0.023       0.620      13.284        0.10      42361.    0.2239
        9.31      0.3780      0.5059      0.0344      0.0257       0.006       0.194       0.125       4.586       0.022       0.558      12.400        0.10      42416.    0.1982
        9.77      0.3969      0.4905      0.0305      0.0247       0.006       0.186       0.111       4.400       0.021       0.494      11.449        0.10      42473.    0.1722
       10.24      0.4158      0.4676      0.0265      0.0236       0.006       0.178       0.097       4.203       0.020       0.429      10.419        0.10      42531.    0.1461
       10.70      0.4347      0.4359      0.0225      0.0224       0.005       0.169       0.082       3.996       0.019       0.364       9.291        0.10      42592.    0.1200
       11.17      0.4536      0.3939      0.0184      0.0212       0.005       0.160       0.067       3.779       0.018       0.298       8.046        0.10      42655.    0.0940
       11.63      0.4725      0.3394      0.0143      0.0199       0.005       0.150       0.052       3.551       0.017       0.232       6.655        0.10      42719.    0.0686
       12.10      0.4914      0.2696      0.0102      0.0186       0.004       0.140       0.037       3.314       0.016       0.165       5.083        0.10      42786.    0.0442
       12.56      0.5103      0.1807      0.0061      0.0172       0.004       0.130       0.022       3.068       0.015       0.099       3.280        0.10      42854.    0.0221
