         13x6.5E(F2B)             (13x65E(F2B).dat)                                                                                                                                 
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0892      0.0378       0.001       0.070       0.080       0.825       0.008       0.356      43.944        0.05      16670.    0.5631  
        0.27      0.0219      0.0505      0.0878      0.0380       0.001       0.070       0.079       0.830       0.008       0.350      42.959        0.05      16680.    0.5459  
        0.54      0.0438      0.0987      0.0862      0.0382       0.001       0.071       0.077       0.835       0.008       0.344      41.966        0.05      16691.    0.5285  
        0.80      0.0656      0.1445      0.0845      0.0384       0.001       0.071       0.076       0.839       0.008       0.337      40.968        0.05      16703.    0.5109  
        1.07      0.0875      0.1880      0.0827      0.0385       0.001       0.071       0.074       0.841       0.008       0.330      39.965        0.05      16716.    0.4931  
        1.34      0.1094      0.2291      0.0808      0.0386       0.001       0.071       0.072       0.843       0.008       0.322      38.958        0.05      16729.    0.4751  
        1.61      0.1313      0.2678      0.0788      0.0386       0.001       0.071       0.071       0.844       0.008       0.314      37.949        0.05      16744.    0.4569  
        1.88      0.1531      0.3041      0.0766      0.0386       0.001       0.071       0.069       0.843       0.008       0.305      36.936        0.05      16759.    0.4386  
        2.15      0.1750      0.3379      0.0743      0.0385       0.001       0.071       0.067       0.841       0.008       0.296      35.920        0.05      16775.    0.4201  
        2.41      0.1969      0.3694      0.0719      0.0383       0.001       0.071       0.064       0.838       0.008       0.287      34.898        0.05      16793.    0.4014  
        2.68      0.2188      0.3983      0.0694      0.0381       0.001       0.070       0.062       0.832       0.008       0.276      33.868        0.05      16811.    0.3826  
        2.95      0.2406      0.4247      0.0666      0.0378       0.001       0.070       0.060       0.825       0.008       0.266      32.829        0.05      16831.    0.3635  
        3.22      0.2625      0.4484      0.0638      0.0373       0.001       0.069       0.057       0.816       0.008       0.254      31.775        0.05      16851.    0.3443  
        3.49      0.2844      0.4694      0.0608      0.0368       0.001       0.068       0.054       0.805       0.008       0.242      30.703        0.05      16872.    0.3248  
        3.76      0.3063      0.4875      0.0577      0.0362       0.001       0.067       0.052       0.792       0.008       0.230      29.608        0.05      16895.    0.3050  
        4.02      0.3281      0.5024      0.0544      0.0355       0.001       0.066       0.049       0.776       0.007       0.217      28.480        0.05      16919.    0.2849  
        4.29      0.3500      0.5139      0.0510      0.0347       0.001       0.064       0.046       0.759       0.007       0.203      27.312        0.05      16943.    0.2646  
        4.56      0.3719      0.5217      0.0475      0.0338       0.001       0.062       0.043       0.739       0.007       0.189      26.095        0.05      16969.    0.2438  
        4.83      0.3938      0.5254      0.0438      0.0328       0.001       0.061       0.039       0.718       0.007       0.175      24.818        0.05      16996.    0.2228  
        5.10      0.4156      0.5244      0.0401      0.0318       0.001       0.059       0.036       0.694       0.007       0.160      23.469        0.05      17024.    0.2015  
        5.37      0.4375      0.5182      0.0362      0.0306       0.001       0.057       0.032       0.669       0.006       0.144      22.032        0.05      17053.    0.1799  
        5.63      0.4594      0.5060      0.0323      0.0294       0.001       0.054       0.029       0.642       0.006       0.129      20.491        0.05      17084.    0.1581  
        5.90      0.4813      0.4870      0.0284      0.0280       0.001       0.052       0.025       0.613       0.006       0.113      18.824        0.05      17115.    0.1360  
        6.17      0.5031      0.4599      0.0244      0.0266       0.001       0.049       0.022       0.582       0.006       0.097      17.003        0.05      17148.    0.1138  
        6.44      0.5250      0.4233      0.0203      0.0252       0.001       0.047       0.018       0.550       0.005       0.081      14.997        0.05      17181.    0.0917  
        6.71      0.5469      0.3752      0.0162      0.0236       0.001       0.044       0.015       0.517       0.005       0.065      12.763        0.05      17216.    0.0697  
        6.97      0.5688      0.3133      0.0122      0.0221       0.001       0.041       0.011       0.482       0.005       0.048      10.246        0.05      17252.    0.0484  
        7.24      0.5906      0.2342      0.0081      0.0204       0.001       0.038       0.007       0.446       0.004       0.032       7.377        0.05      17289.    0.0285  
        7.51      0.6125      0.1338      0.0041      0.0187       0.001       0.035       0.004       0.409       0.004       0.016       4.062        0.05      17328.    0.0111  
        7.78      0.6344      0.0057      0.0002      0.0170       0.000       0.031       0.000       0.372       0.004       0.001       0.168        0.05      17367.    0.0001  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
