         14x10F                   (14x10F.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1170      0.0558       0.002       0.144       0.137       1.707       0.016       0.610      36.463        0.05      21212.    0.5722  
        0.39      0.0300      0.0613      0.1158      0.0567       0.002       0.146       0.136       1.733       0.017       0.604      35.542        0.05      21231.    0.5549  
        0.79      0.0600      0.1193      0.1145      0.0575       0.002       0.149       0.134       1.759       0.017       0.597      34.613        0.05      21251.    0.5373  
        1.18      0.0899      0.1742      0.1130      0.0583       0.002       0.151       0.133       1.784       0.017       0.589      33.683        0.05      21274.    0.5194  
        1.57      0.1199      0.2258      0.1113      0.0591       0.002       0.153       0.131       1.808       0.017       0.581      32.755        0.05      21298.    0.5014  
        1.97      0.1499      0.2743      0.1095      0.0598       0.002       0.155       0.128       1.830       0.017       0.571      31.834        0.06      21325.    0.4833  
        2.36      0.1799      0.3198      0.1075      0.0605       0.002       0.156       0.126       1.849       0.018       0.561      30.921        0.06      21354.    0.4651  
        2.75      0.2098      0.3622      0.1053      0.0610       0.003       0.158       0.123       1.865       0.018       0.549      30.021        0.06      21386.    0.4469  
        3.15      0.2398      0.4017      0.1028      0.0614       0.003       0.159       0.121       1.877       0.018       0.536      29.135        0.06      21420.    0.4286  
        3.54      0.2698      0.4384      0.1001      0.0616       0.003       0.159       0.117       1.884       0.018       0.522      28.264        0.06      21457.    0.4103  
        3.93      0.2998      0.4724      0.0972      0.0617       0.003       0.159       0.114       1.886       0.018       0.507      27.409        0.06      21497.    0.3920  
        4.32      0.3297      0.5037      0.0940      0.0615       0.003       0.159       0.110       1.881       0.018       0.490      26.568        0.06      21539.    0.3736  
        4.72      0.3597      0.5324      0.0905      0.0611       0.003       0.158       0.106       1.869       0.018       0.472      25.741        0.06      21583.    0.3552  
        5.11      0.3897      0.5584      0.0867      0.0605       0.002       0.156       0.102       1.850       0.018       0.452      24.923        0.06      21631.    0.3366  
        5.50      0.4197      0.5818      0.0826      0.0596       0.002       0.154       0.097       1.823       0.017       0.431      24.111        0.06      21681.    0.3179  
        5.90      0.4496      0.6023      0.0783      0.0584       0.002       0.151       0.092       1.787       0.017       0.408      23.298        0.06      21734.    0.2990  
        6.29      0.4796      0.6199      0.0736      0.0570       0.002       0.147       0.086       1.742       0.017       0.384      22.477        0.06      21790.    0.2798  
        6.68      0.5096      0.6341      0.0687      0.0552       0.002       0.143       0.081       1.688       0.016       0.358      21.639        0.06      21848.    0.2602  
