         14x13.5                  (14x135.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1241      0.0710       0.003       0.194       0.152       2.292       0.022       0.676      30.070        0.06      25199.    0.4913  
        0.51      0.0387      0.0660      0.1235      0.0725       0.003       0.198       0.151       2.340       0.022       0.673      29.312        0.06      25226.    0.4777  
        1.03      0.0775      0.1284      0.1228      0.0741       0.003       0.202       0.150       2.391       0.023       0.669      28.526        0.06      25256.    0.4636  
        1.54      0.1162      0.1872      0.1220      0.0757       0.003       0.207       0.149       2.444       0.023       0.664      27.718        0.06      25291.    0.4490  
        2.05      0.1549      0.2422      0.1211      0.0775       0.003       0.211       0.148       2.500       0.024       0.659      26.897        0.06      25331.    0.4340  
        2.57      0.1937      0.2934      0.1200      0.0792       0.003       0.216       0.147       2.555       0.024       0.653      26.069        0.06      25375.    0.4187  
        3.08      0.2324      0.3410      0.1187      0.0809       0.004       0.221       0.145       2.610       0.025       0.646      25.243        0.06      25425.    0.4033  
        3.59      0.2711      0.3849      0.1171      0.0825       0.004       0.225       0.143       2.663       0.025       0.638      24.425        0.06      25480.    0.3876  
        4.11      0.3099      0.4254      0.1153      0.0840       0.004       0.229       0.141       2.711       0.026       0.628      23.618        0.06      25540.    0.3719  
        4.62      0.3486      0.4625      0.1132      0.0853       0.004       0.233       0.139       2.753       0.026       0.616      22.828        0.06      25606.    0.3562  
        5.14      0.3873      0.4965      0.1107      0.0864       0.004       0.236       0.136       2.788       0.027       0.603      22.055        0.06      25678.    0.3404  
        5.65      0.4261      0.5275      0.1079      0.0872       0.004       0.238       0.132       2.813       0.027       0.588      21.301        0.06      25755.    0.3245  
        6.16      0.4648      0.5556      0.1047      0.0876       0.004       0.239       0.128       2.827       0.027       0.570      20.566        0.06      25838.    0.3086  
        6.68      0.5035      0.5808      0.1011      0.0876       0.004       0.239       0.124       2.827       0.027       0.550      19.847        0.06      25927.    0.2926  
        7.19      0.5423      0.6033      0.0969      0.0871       0.004       0.238       0.119       2.812       0.027       0.528      19.143        0.06      26022.    0.2764  
        7.70      0.5810      0.6230      0.0924      0.0861       0.004       0.235       0.113       2.780       0.027       0.503      18.450        0.06      26122.    0.2600  
        8.22      0.6197      0.6399      0.0873      0.0845       0.004       0.231       0.107       2.729       0.026       0.475      17.764        0.06      26228.    0.2434  
        8.73      0.6585      0.6537      0.0818      0.0824       0.004       0.225       0.100       2.658       0.025       0.445      17.082        0.06      26339.    0.2265  
        9.24      0.6972      0.6644      0.0759      0.0796       0.003       0.217       0.093       2.570       0.025       0.413      16.395        0.06      26455.    0.2095  
        9.76      0.7359      0.6714      0.0697      0.0764       0.003       0.208       0.085       2.466       0.024       0.380      15.697        0.06      26577.    0.1922  
       10.27      0.7747      0.6742      0.0633      0.0727       0.003       0.198       0.077       2.346       0.022       0.345      14.974        0.06      26704.    0.1747  
       10.78      0.8134      0.6720      0.0566      0.0685       0.003       0.187       0.069       2.212       0.021       0.308      14.215        0.06      26837.    0.1569  
       11.30      0.8521      0.6637      0.0498      0.0640       0.003       0.175       0.061       2.065       0.020       0.271      13.402        0.06      26974.    0.1387  
       11.81      0.8909      0.6476      0.0429      0.0590       0.003       0.161       0.053       1.905       0.018       0.234      12.508        0.06      27116.    0.1202  
       12.32      0.9296      0.6212      0.0359      0.0537       0.002       0.146       0.044       1.733       0.017       0.195      11.497        0.06      27264.    0.1010  
       12.84      0.9683      0.5803      0.0288      0.0480       0.002       0.131       0.035       1.549       0.015       0.157      10.311        0.06      27416.    0.0811  
       13.35      1.0071      0.5183      0.0216      0.0420       0.002       0.114       0.026       1.355       0.013       0.118       8.856        0.06      27573.    0.0604  
       13.86      1.0458      0.4231      0.0144      0.0356       0.002       0.097       0.018       1.150       0.011       0.078       6.961        0.06      27735.    0.0388  
       14.38      1.0845      0.2705      0.0072      0.0290       0.001       0.079       0.009       0.936       0.009       0.039       4.291        0.06      27901.    0.0169  
       14.89      1.1233      0.0046      0.0001      0.0221       0.001       0.060       0.000       0.713       0.007       0.000       0.071        0.06      28072.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1246      0.0644       0.022       0.702       0.610      16.615       0.079       2.714      16.660        0.11      50398.    0.5455  
        1.04      0.0390      0.0735      0.1240      0.0659       0.023       0.719       0.607      17.010       0.081       2.702      16.198        0.11      50451.    0.5291  
        2.07      0.0781      0.1427      0.1234      0.0675       0.023       0.737       0.604      17.434       0.083       2.688      15.721        0.11      50513.    0.5122  
        3.11      0.1171      0.2074      0.1226      0.0693       0.024       0.756       0.601      17.880       0.085       2.671      15.233        0.11      50584.    0.4947  
        4.14      0.1561      0.2675      0.1217      0.0710       0.025       0.775       0.596      18.342       0.088       2.651      14.740        0.11      50664.    0.4770  
        5.18      0.1952      0.3232      0.1206      0.0729       0.025       0.795       0.591      18.810       0.090       2.628      14.246        0.11      50754.    0.4589  
        6.21      0.2342      0.3745      0.1194      0.0746       0.026       0.814       0.585      19.273       0.092       2.600      13.757        0.11      50855.    0.4408  
        7.25      0.2733      0.4217      0.1178      0.0764       0.026       0.833       0.577      19.718       0.094       2.567      13.275        0.11      50966.    0.4226  
        8.28      0.3123      0.4648      0.1160      0.0780       0.027       0.851       0.568      20.131       0.096       2.528      12.804        0.11      51088.    0.4045  
        9.32      0.3513      0.5042      0.1139      0.0794       0.027       0.866       0.558      20.497       0.098       2.482      12.346        0.11      51222.    0.3865  
       10.35      0.3904      0.5401      0.1115      0.0806       0.028       0.879       0.546      20.802       0.099       2.428      11.902        0.11      51367.    0.3686  
       11.39      0.4294      0.5727      0.1086      0.0814       0.028       0.889       0.532      21.029       0.100       2.366      11.473        0.11      51524.    0.3507  
       12.42      0.4684      0.6022      0.1054      0.0820       0.028       0.894       0.516      21.163       0.101       2.295      11.060        0.11      51692.    0.3330  
       13.46      0.5075      0.6288      0.1017      0.0821       0.028       0.895       0.498      21.188       0.101       2.215      10.660        0.11      51873.    0.3153  
       14.49      0.5465      0.6526      0.0975      0.0817       0.028       0.891       0.478      21.086       0.101       2.124      10.272        0.11      52065.    0.2975  
       15.53      0.5856      0.6736      0.0929      0.0807       0.028       0.881       0.455      20.840       0.100       2.023       9.897        0.11      52268.    0.2797  
       16.56      0.6246      0.6920      0.0877      0.0792       0.027       0.864       0.429      20.439       0.098       1.910       9.531        0.11      52482.    0.2618  
       17.60      0.6636      0.7076      0.0821      0.0770       0.027       0.840       0.402      19.882       0.095       1.788       9.172        0.11      52708.    0.2438  
       18.63      0.7027      0.7203      0.0761      0.0743       0.026       0.810       0.373      19.175       0.092       1.658       8.818        0.11      52944.    0.2257  
       19.67      0.7417      0.7298      0.0699      0.0710       0.025       0.775       0.342      18.330       0.088       1.522       8.465        0.11      53192.    0.2075  
       20.70      0.7807      0.7357      0.0633      0.0672       0.023       0.733       0.310      17.355       0.083       1.380       8.107        0.11      53450.    0.1892  
       21.74      0.8198      0.7373      0.0566      0.0630       0.022       0.687       0.277      16.260       0.078       1.234       7.738        0.11      53718.    0.1708  
       22.77      0.8588      0.7336      0.0498      0.0583       0.020       0.636       0.244      15.050       0.072       1.085       7.349        0.12      53997.    0.1521  
       23.81      0.8979      0.7230      0.0428      0.0532       0.018       0.580       0.210      13.730       0.066       0.933       6.927        0.12      54285.    0.1329  
       24.84      0.9369      0.7029      0.0358      0.0477       0.017       0.520       0.175      12.306       0.059       0.779       6.454        0.12      54584.    0.1132  
       25.88      0.9759      0.6691      0.0286      0.0418       0.014       0.456       0.140      10.780       0.051       0.624       5.898        0.12      54893.    0.0925  
       26.91      1.0150      0.6138      0.0215      0.0355       0.012       0.387       0.105       9.159       0.044       0.467       5.202        0.12      55211.    0.0707  
       27.95      1.0540      0.5212      0.0143      0.0289       0.010       0.315       0.070       7.450       0.036       0.311       4.254        0.12      55540.    0.0471  
       28.98      1.0930      0.3545      0.0071      0.0219       0.008       0.239       0.035       5.661       0.027       0.155       2.790        0.12      55877.    0.0218  
       30.02      1.1321      0.0011      0.0000      0.0147       0.005       0.161       0.000       3.801       0.018       0.000       0.008        0.12      56222.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1249      0.0616       0.072       1.513       1.376      53.715       0.171       6.121      11.620        0.17      75596.    0.5713  
        1.56      0.0392      0.0770      0.1243      0.0632       0.074       1.552       1.370      55.069       0.175       6.094      11.284        0.17      75677.    0.5536  
        3.11      0.0783      0.1494      0.1237      0.0649       0.076       1.592       1.363      56.523       0.180       6.063      10.938        0.17      75770.    0.5352  
        4.67      0.1175      0.2168      0.1230      0.0666       0.078       1.636       1.355      58.057       0.185       6.027      10.585        0.17      75876.    0.5164  
        6.23      0.1566      0.2794      0.1221      0.0685       0.080       1.681       1.345      59.648       0.190       5.983      10.229        0.17      75997.    0.4972  
        7.79      0.1958      0.3371      0.1210      0.0703       0.082       1.726       1.334      61.264       0.195       5.932       9.873        0.17      76133.    0.4779  
        9.34      0.2350      0.3901      0.1198      0.0721       0.084       1.771       1.320      62.866       0.200       5.870       9.522        0.17      76284.    0.4584  
       10.90      0.2741      0.4386      0.1183      0.0739       0.086       1.815       1.303      64.410       0.205       5.796       9.177        0.17      76451.    0.4390  
       12.46      0.3133      0.4829      0.1165      0.0756       0.088       1.855       1.283      65.850       0.210       5.709       8.841        0.17      76636.    0.4198  
       14.02      0.3524      0.5233      0.1144      0.0770       0.090       1.891       1.260      67.133       0.214       5.606       8.515        0.17      76837.    0.4007  
       15.57      0.3916      0.5600      0.1119      0.0783       0.091       1.922       1.233      68.207       0.217       5.486       8.201        0.17      77057.    0.3817  
