         14x13N                   (14x13N.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1143      0.0642       0.003       0.175       0.140       2.070       0.020       0.622      30.646        0.06      23579.    0.4804  
        0.50      0.0378      0.0656      0.1137      0.0655       0.003       0.179       0.139       2.113       0.020       0.619      29.876        0.06      23602.    0.4672  
        1.00      0.0755      0.1277      0.1130      0.0669       0.003       0.182       0.138       2.159       0.021       0.616      29.076        0.06      23629.    0.4533  
        1.50      0.1133      0.1861      0.1123      0.0684       0.003       0.187       0.137       2.207       0.021       0.611      28.254        0.06      23660.    0.4390  
        2.00      0.1511      0.2408      0.1114      0.0699       0.003       0.191       0.136       2.256       0.022       0.607      27.418        0.06      23695.    0.4244  
        2.50      0.1889      0.2917      0.1103      0.0714       0.003       0.195       0.135       2.306       0.022       0.601      26.575        0.06      23734.    0.4094  
        3.00      0.2266      0.3390      0.1091      0.0730       0.003       0.199       0.134       2.355       0.022       0.594      25.734        0.06      23777.    0.3942  
        3.51      0.2644      0.3826      0.1077      0.0744       0.003       0.203       0.132       2.401       0.023       0.586      24.899        0.06      23826.    0.3789  
        4.01      0.3022      0.4229      0.1060      0.0757       0.003       0.207       0.130       2.444       0.023       0.577      24.076        0.06      23879.    0.3635  
