         15.5x12-4                (155x12-4.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1805      0.1036       0.007       0.470       0.332       5.562       0.053       1.477      27.079        0.06      23354.    0.5907  
        0.48      0.0324      0.0552      0.1787      0.1050       0.008       0.476       0.329       5.637       0.054       1.462      26.445        0.06      23382.    0.5739  
        0.95      0.0649      0.1077      0.1766      0.1063       0.008       0.483       0.325       5.709       0.055       1.445      25.807        0.06      23412.    0.5568  
        1.43      0.0973      0.1575      0.1743      0.1076       0.008       0.488       0.321       5.777       0.055       1.426      25.165        0.06      23445.    0.5394  
        1.90      0.1297      0.2047      0.1717      0.1088       0.008       0.494       0.316       5.840       0.056       1.405      24.524        0.06      23481.    0.5217  
        2.38      0.1621      0.2492      0.1688      0.1098       0.008       0.498       0.310       5.895       0.056       1.381      23.883        0.06      23520.    0.5037  
        2.86      0.1946      0.2910      0.1655      0.1107       0.008       0.502       0.304       5.941       0.057       1.354      23.245        0.06      23562.    0.4856  
        3.33      0.2270      0.3303      0.1620      0.1113       0.008       0.505       0.298       5.976       0.057       1.325      22.611        0.06      23607.    0.4672  
        3.81      0.2594      0.3670      0.1580      0.1117       0.008       0.507       0.291       5.997       0.057       1.293      21.982        0.06      23655.    0.4486  
        4.28      0.2918      0.4011      0.1536      0.1118       0.008       0.507       0.283       6.001       0.057       1.257      21.358        0.06      23706.    0.4298  
        4.76      0.3243      0.4327      0.1488      0.1115       0.008       0.506       0.274       5.988       0.057       1.218      20.738        0.06      23761.    0.4108  
        5.24      0.3567      0.4619      0.1436      0.1109       0.008       0.503       0.264       5.954       0.057       1.175      20.124        0.06      23819.    0.3915  
        5.71      0.3891      0.4886      0.1380      0.1099       0.008       0.499       0.254       5.898       0.056       1.129      19.513        0.06      23880.    0.3721  
        6.19      0.4216      0.5128      0.1319      0.1084       0.008       0.492       0.243       5.820       0.056       1.079      18.904        0.06      23944.    0.3525  
        6.66      0.4540      0.5344      0.1254      0.1065       0.008       0.483       0.231       5.719       0.055       1.026      18.294        0.06      24012.    0.3326  
        7.14      0.4864      0.5533      0.1186      0.1043       0.008       0.473       0.218       5.597       0.053       0.970      17.679        0.06      24083.    0.3126  
        7.62      0.5188      0.5694      0.1115      0.1016       0.007       0.461       0.205       5.454       0.052       0.912      17.054        0.06      24157.    0.2924  
        8.09      0.5513      0.5823      0.1041      0.0985       0.007       0.447       0.191       5.290       0.051       0.852      16.415        0.06      24235.    0.2719  
        8.57      0.5837      0.5917      0.0964      0.0951       0.007       0.432       0.177       5.106       0.049       0.789      15.754        0.06      24316.    0.2511  
        9.04      0.6161      0.5973      0.0885      0.0913       0.007       0.414       0.163       4.901       0.047       0.724      15.065        0.06      24400.    0.2301  
        9.52      0.6486      0.5983      0.0804      0.0871       0.006       0.395       0.148       4.676       0.045       0.658      14.337        0.06      24487.    0.2087  
       10.00      0.6810      0.5941      0.0720      0.0825       0.006       0.375       0.132       4.432       0.042       0.589      13.558        0.06      24577.    0.1868  
       10.47      0.7134      0.5835      0.0635      0.0776       0.006       0.352       0.117       4.167       0.040       0.519      12.712        0.06      24671.    0.1644  
       10.95      0.7458      0.5650      0.0548      0.0723       0.005       0.328       0.101       3.882       0.037       0.448      11.773        0.06      24768.    0.1415  
       11.42      0.7783      0.5363      0.0459      0.0666       0.005       0.302       0.084       3.578       0.034       0.376      10.709        0.06      24868.    0.1178  
       11.90      0.8107      0.4940      0.0369      0.0606       0.004       0.275       0.068       3.254       0.031       0.302       9.470        0.06      24971.    0.0934  
       12.38      0.8431      0.4327      0.0278      0.0542       0.004       0.246       0.051       2.910       0.028       0.228       7.976        0.06      25077.    0.0683  
       12.85      0.8755      0.3436      0.0186      0.0475       0.003       0.215       0.034       2.549       0.024       0.152       6.099        0.06      25187.    0.0427  
       13.33      0.9080      0.2109      0.0094      0.0404       0.003       0.183       0.017       2.170       0.021       0.077       3.610        0.06      25300.    0.0180  
       13.80      0.9404      0.0035      0.0001      0.0330       0.002       0.150       0.000       1.774       0.017       0.001       0.058        0.06      25415.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1816      0.0937       0.054       1.701       1.336      40.250       0.192       5.943      15.055        0.12      46707.    0.6588  
        0.96      0.0327      0.0617      0.1798      0.0952       0.055       1.728       1.323      40.896       0.195       5.883      14.668        0.12      46763.    0.6386  
        1.92      0.0654      0.1202      0.1777      0.0967       0.056       1.755       1.307      41.526       0.198       5.816      14.281        0.12      46825.    0.6181  
        2.88      0.0981      0.1754      0.1754      0.0981       0.056       1.780       1.290      42.127       0.201       5.740      13.894        0.12      46892.    0.5975  
        3.84      0.1308      0.2274      0.1728      0.0994       0.057       1.804       1.271      42.686       0.204       5.655      13.509        0.12      46964.    0.5766  
        4.80      0.1635      0.2763      0.1699      0.1006       0.058       1.825       1.250      43.187       0.206       5.560      13.129        0.12      47043.    0.5557  
        5.76      0.1962      0.3220      0.1667      0.1015       0.058       1.843       1.226      43.613       0.208       5.454      12.753        0.12      47128.    0.5346  
        6.72      0.2289      0.3648      0.1631      0.1023       0.059       1.857       1.200      43.948       0.210       5.337      12.383        0.12      47219.    0.5135  
        7.68      0.2616      0.4047      0.1591      0.1028       0.059       1.867       1.170      44.172       0.211       5.206      12.019        0.12      47316.    0.4922  
        8.64      0.2943      0.4417      0.1547      0.1031       0.059       1.871       1.138      44.266       0.211       5.062      11.662        0.12      47420.    0.4710  
        9.60      0.3270      0.4760      0.1498      0.1029       0.059       1.868       1.102      44.210       0.211       4.904      11.311        0.12      47531.    0.4496  
       10.56      0.3597      0.5077      0.1445      0.1024       0.059       1.859       1.064      43.985       0.210       4.731      10.967        0.12      47648.    0.4282  
       11.52      0.3924      0.5369      0.1388      0.1015       0.058       1.842       1.021      43.577       0.208       4.543      10.630        0.12      47772.    0.4067  
       12.48      0.4251      0.5635      0.1326      0.1001       0.058       1.817       0.976      42.984       0.205       4.341      10.299        0.12      47903.    0.3852  
       13.44      0.4578      0.5875      0.1261      0.0983       0.057       1.784       0.928      42.203       0.202       4.127       9.971        0.12      48040.    0.3636  
       14.40      0.4905      0.6090      0.1192      0.0960       0.055       1.743       0.877      41.240       0.197       3.901       9.646        0.12      48185.    0.3420  
       15.36      0.5232      0.6277      0.1120      0.0934       0.054       1.695       0.824      40.098       0.191       3.665       9.321        0.12      48335.    0.3203  
       16.32      0.5559      0.6434      0.1045      0.0903       0.052       1.639       0.769      38.778       0.185       3.420       8.993        0.12      48493.    0.2985  
       17.28      0.5886      0.6560      0.0967      0.0868       0.050       1.576       0.712      37.281       0.178       3.166       8.660        0.13      48656.    0.2766  
       18.24      0.6213      0.6651      0.0887      0.0829       0.048       1.505       0.653      35.610       0.170       2.904       8.317        0.13      48827.    0.2544  
       19.20      0.6540      0.6700      0.0805      0.0786       0.045       1.427       0.593      33.763       0.161       2.636       7.960        0.13      49004.    0.2320  
       20.16      0.6867      0.6702      0.0721      0.0739       0.043       1.341       0.531      31.741       0.152       2.360       7.583        0.13      49187.    0.2091  
       21.12      0.7194      0.6644      0.0635      0.0688       0.040       1.249       0.467      29.544       0.141       2.079       7.175        0.13      49377.    0.1857  
       22.08      0.7521      0.6510      0.0548      0.0633       0.036       1.148       0.403      27.172       0.130       1.792       6.725        0.13      49574.    0.1616  
       23.04      0.7848      0.6276      0.0459      0.0573       0.033       1.041       0.337      24.626       0.118       1.501       6.214        0.13      49777.    0.1366  
       24.00      0.8176      0.5901      0.0368      0.0510       0.029       0.926       0.271      21.910       0.105       1.205       5.608        0.13      49987.    0.1105  
       24.96      0.8503      0.5314      0.0277      0.0443       0.026       0.804       0.204      19.026       0.091       0.906       4.857        0.13      50203.    0.0830  
       25.92      0.8830      0.4387      0.0185      0.0372       0.021       0.675       0.136      15.982       0.076       0.605       3.860        0.13      50425.    0.0539  
       26.88      0.9157      0.2845      0.0092      0.0298       0.017       0.540       0.068      12.784       0.061       0.303       2.414        0.13      50654.    0.0238  
       27.84      0.9484      0.0001      0.0000      0.0220       0.013       0.399       0.000       9.443       0.045       0.000       0.001        0.13      50888.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1823      0.0898       0.174       3.666       3.017     130.106       0.414      13.421      10.519        0.18      70059.    0.6917  
        1.44      0.0328      0.0648      0.1805      0.0913       0.178       3.729       2.987     132.368       0.421      13.288      10.237        0.18      70143.    0.6698  
        2.89      0.0656      0.1261      0.1784      0.0928       0.180       3.792       2.954     134.581       0.428      13.138       9.955        0.18      70236.    0.6477  
        4.33      0.0984      0.1839      0.1761      0.0943       0.183       3.851       2.916     136.700       0.435      12.970       9.675        0.18      70337.    0.6254  
        5.78      0.1313      0.2381      0.1736      0.0957       0.186       3.907       2.873     138.678       0.441      12.780       9.397        0.18      70446.    0.6030  
        7.22      0.1641      0.2890      0.1707      0.0969       0.188       3.957       2.825     140.461       0.447      12.567       9.124        0.18      70565.    0.5805  
        8.67      0.1969      0.3365      0.1674      0.0980       0.190       4.001       2.772     141.995       0.452      12.330       8.854        0.18      70692.    0.5581  
       10.11      0.2297      0.3809      0.1638      0.0988       0.192       4.035       2.712     143.217       0.456      12.065       8.590        0.18      70830.    0.5356  
       11.56      0.2625      0.4222      0.1598      0.0994       0.193       4.059       2.646     144.063       0.459      11.771       8.332        0.19      70977.    0.5131  
       13.00      0.2953      0.4606      0.1554      0.0997       0.194       4.070       2.573     144.464       0.460      11.445       8.079        0.19      71134.    0.4906  
       14.45      0.3281      0.4962      0.1506      0.0996       0.194       4.067       2.493     144.351       0.459      11.087       7.832        0.19      71301.    0.4681  
       15.89      0.3610      0.5290      0.1452      0.0991       0.193       4.047       2.405     143.658       0.457      10.696       7.592        0.19      71478.    0.4457  
       17.34      0.3938      0.5593      0.1395      0.0982       0.191       4.010       2.309     142.339       0.453      10.270       7.358        0.19      71665.    0.4232  
       18.78      0.4266      0.5871      0.1333      0.0968       0.188       3.955       2.206     140.376       0.447       9.813       7.129        0.19      71862.    0.4008  
       20.23      0.4594      0.6123      0.1267      0.0950       0.185       3.882       2.097     137.770       0.439       9.328       6.904        0.19      72070.    0.3785  
       21.67      0.4922      0.6350      0.1197      0.0928       0.180       3.790       1.982     134.530       0.428       8.817       6.683        0.19      72287.    0.3562  
       23.12      0.5250      0.6551      0.1125      0.0901       0.175       3.681       1.862     130.666       0.416       8.282       6.464        0.19      72515.    0.3339  
       24.56      0.5579      0.6724      0.1049      0.0871       0.169       3.555       1.737     126.183       0.402       7.727       6.244        0.19      72752.    0.3115  
       26.01      0.5907      0.6868      0.0971      0.0835       0.162       3.411       1.608     121.085       0.385       7.152       6.023        0.19      73000.    0.2891  
       27.45      0.6235      0.6978      0.0891      0.0796       0.155       3.251       1.475     115.374       0.367       6.560       5.798        0.19      73257.    0.2665  
       28.90      0.6563      0.7051      0.0808      0.0752       0.146       3.072       1.338     109.049       0.347       5.951       5.565        0.19      73524.    0.2437  
       30.34      0.6891      0.7079      0.0724      0.0704       0.137       2.877       1.198     102.109       0.325       5.328       5.321        0.19      73801.    0.2205  
       31.79      0.7219      0.7052      0.0637      0.0652       0.127       2.664       1.055      94.555       0.301       4.692       5.060        0.19      74088.    0.1967  
       33.23      0.7547      0.6954      0.0549      0.0596       0.116       2.434       0.909      86.388       0.275       4.044       4.773        0.19      74384.    0.1723  
       34.68      0.7876      0.6761      0.0460      0.0535       0.104       2.187       0.761      77.612       0.247       3.385       4.447        0.19      74691.    0.1469  
       36.12      0.8204      0.6430      0.0369      0.0471       0.092       1.922       0.611      68.236       0.217       2.717       4.060        0.19      75007.    0.1201  
       37.57      0.8532      0.5886      0.0277      0.0402       0.078       1.642       0.459      58.274       0.185       2.042       3.574        0.19      75333.    0.0917  
       39.01      0.8860      0.4978      0.0185      0.0329       0.064       1.345       0.306      47.749       0.152       1.363       2.911        0.19      75669.    0.0610  
       40.46      0.9188      0.3358      0.0093      0.0253       0.049       1.034       0.153      36.689       0.117       0.681       1.893        0.19      76014.    0.0280  
       41.90      0.9516     -0.0006      0.0000      0.0173       0.034       0.708       0.000      25.123       0.080      -0.001      -0.003        0.19      76367.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1829      0.0877       0.404       6.366       5.384     301.266       0.719      23.946       8.105        0.25      93409.    0.7119  
        1.93      0.0329      0.0667      0.1811      0.0893       0.411       6.482       5.331     306.768       0.732      23.714       7.883        0.25      93522.    0.6890  
        3.86      0.0658      0.1297      0.1791      0.0909       0.419       6.596       5.272     312.163       0.745      23.451       7.660        0.25      93645.    0.6659  
        5.79      0.0986      0.1889      0.1769      0.0924       0.426       6.706       5.205     317.342       0.758      23.153       7.440        0.25      93780.    0.6426  
        7.72      0.1315      0.2445      0.1743      0.0938       0.432       6.808       5.130     322.189       0.769      22.819       7.222        0.25      93926.    0.6192  
        9.65      0.1644      0.2965      0.1714      0.0950       0.438       6.901       5.046     326.576       0.780      22.443       7.008        0.25      94084.    0.5959  
       11.58      0.1973      0.3452      0.1682      0.0962       0.443       6.981       4.951     330.368       0.789      22.021       6.797        0.25      94255.    0.5725  
       13.51      0.2302      0.3905      0.1646      0.0970       0.447       7.045       4.845     333.415       0.796      21.551       6.591        0.25      94439.    0.5492  
       15.44      0.2630      0.4327      0.1606      0.0977       0.450       7.091       4.728     335.563       0.801      21.028       6.390        0.25      94636.    0.5260  
       17.37      0.2959      0.4718      0.1562      0.0980       0.451       7.113       4.597     336.644       0.804      20.449       6.194        0.25      94846.    0.5028  
       19.31      0.3288      0.5081      0.1513      0.0979       0.451       7.110       4.454     336.487       0.803      19.811       6.004        0.25      95069.    0.4796  
       21.24      0.3617      0.5417      0.1460      0.0975       0.449       7.077       4.297     334.937       0.800      19.112       5.819        0.25      95307.    0.4566  
       23.17      0.3946      0.5727      0.1402      0.0966       0.445       7.013       4.126     331.881       0.792      18.352       5.639        0.25      95557.    0.4336  
       25.10      0.4275      0.6012      0.1340      0.0953       0.439       6.915       3.943     327.273       0.781      17.536       5.464        0.25      95822.    0.4107  
       27.03      0.4603      0.6272      0.1273      0.0935       0.431       6.785       3.747     321.113       0.767      16.669       5.293        0.25      96099.    0.3879  
       28.96      0.4932      0.6507      0.1203      0.0912       0.420       6.623       3.542     313.421       0.748      15.755       5.126        0.25      96391.    0.3652  
       30.89      0.5261      0.6717      0.1130      0.0885       0.408       6.428       3.327     304.217       0.726      14.799       4.961        0.25      96695.    0.3425  
       32.82      0.5590      0.6901      0.1055      0.0854       0.394       6.202       3.104     293.514       0.701      13.805       4.796        0.25      97013.    0.3199  
