         15.75x13-3               (1575x13-3.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1702      0.0947       0.007       0.466       0.334       5.509       0.053       1.484      27.473        0.06      27875.    0.5913  
        0.51      0.0343      0.0600      0.1687      0.0963       0.008       0.474       0.331       5.602       0.053       1.472      26.785        0.06      27909.    0.5740  
        1.02      0.0686      0.1170      0.1671      0.0979       0.008       0.481       0.328       5.695       0.054       1.457      26.089        0.06      27946.    0.5563  
        1.53      0.1028      0.1707      0.1652      0.0995       0.008       0.489       0.324       5.787       0.055       1.441      25.389        0.06      27986.    0.5383  
        2.05      0.1371      0.2214      0.1631      0.1010       0.008       0.497       0.320       5.875       0.056       1.422      24.689        0.06      28031.    0.5201  
        2.56      0.1714      0.2689      0.1607      0.1024       0.008       0.503       0.315       5.957       0.057       1.402      23.992        0.06      28079.    0.5017  
        3.07      0.2057      0.3134      0.1580      0.1037       0.008       0.510       0.310       6.031       0.058       1.378      23.301        0.06      28132.    0.4832  
        3.58      0.2400      0.3549      0.1550      0.1048       0.008       0.515       0.304       6.093       0.058       1.351      22.617        0.06      28189.    0.4645  
        4.09      0.2743      0.3935      0.1515      0.1056       0.008       0.519       0.297       6.142       0.059       1.322      21.943        0.06      28250.    0.4456  
        4.60      0.3085      0.4293      0.1477      0.1062       0.008       0.522       0.290       6.174       0.059       1.288      21.279        0.06      28316.    0.4267  
        5.11      0.3428      0.4623      0.1435      0.1064       0.008       0.523       0.281       6.186       0.059       1.251      20.626        0.06      28387.    0.4076  
        5.62      0.3771      0.4927      0.1388      0.1062       0.008       0.522       0.272       6.176       0.059       1.210      19.984        0.06      28462.    0.3884  
        6.14      0.4114      0.5205      0.1336      0.1056       0.008       0.519       0.262       6.139       0.059       1.165      19.352        0.06      28541.    0.3690  
        6.65      0.4457      0.5458      0.1279      0.1045       0.008       0.513       0.251       6.075       0.058       1.116      18.729        0.06      28625.    0.3495  
        7.16      0.4799      0.5684      0.1218      0.1029       0.008       0.506       0.239       5.982       0.057       1.062      18.112        0.06      28714.    0.3298  
        7.67      0.5142      0.5883      0.1153      0.1008       0.008       0.495       0.226       5.860       0.056       1.006      17.498        0.06      28807.    0.3100  
        8.18      0.5485      0.6055      0.1084      0.0982       0.008       0.483       0.213       5.711       0.055       0.945      16.882        0.06      28905.    0.2900  
        8.69      0.5828      0.6196      0.1012      0.0952       0.007       0.468       0.198       5.535       0.053       0.883      16.260        0.06      29007.    0.2698  
        9.20      0.6171      0.6304      0.0937      0.0917       0.007       0.451       0.184       5.334       0.051       0.817      15.624        0.06      29114.    0.2495  
        9.71      0.6514      0.6374      0.0860      0.0878       0.007       0.432       0.169       5.108       0.049       0.750      14.967        0.06      29225.    0.2289  
       10.23      0.6856      0.6402      0.0780      0.0835       0.007       0.411       0.153       4.858       0.046       0.680      14.280        0.06      29340.    0.2081  
       10.74      0.7199      0.6378      0.0698      0.0788       0.006       0.387       0.137       4.583       0.044       0.609      13.550        0.06      29460.    0.1868  
       11.25      0.7542      0.6293      0.0615      0.0737       0.006       0.362       0.121       4.286       0.041       0.536      12.760        0.06      29584.    0.1651  
       11.76      0.7885      0.6128      0.0530      0.0682       0.005       0.335       0.104       3.965       0.038       0.462      11.887        0.06      29712.    0.1428  
       12.27      0.8228      0.5861      0.0444      0.0623       0.005       0.306       0.087       3.621       0.035       0.387      10.894        0.06      29845.    0.1197  
       12.78      0.8571      0.5452      0.0356      0.0560       0.004       0.275       0.070       3.255       0.031       0.311       9.729        0.06      29982.    0.0958  
       13.29      0.8913      0.4839      0.0268      0.0493       0.004       0.242       0.052       2.867       0.027       0.233       8.303        0.06      30123.    0.0709  
       13.81      0.9256      0.3912      0.0179      0.0423       0.003       0.208       0.035       2.459       0.023       0.156       6.464        0.07      30268.    0.0451  
       14.32      0.9599      0.2459      0.0089      0.0349       0.003       0.172       0.018       2.031       0.019       0.078       3.918        0.07      30417.    0.0193  
       14.83      0.9942      0.0012      0.0000      0.0273       0.002       0.134       0.000       1.585       0.015       0.000       0.019        0.07      30570.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1710      0.0867       0.054       1.704       1.341      40.323       0.193       5.966      15.088        0.12      55750.    0.6511  
        1.03      0.0345      0.0663      0.1696      0.0884       0.055       1.737       1.330      41.104       0.196       5.916      14.677        0.12      55817.    0.6306  
        2.06      0.0691      0.1288      0.1680      0.0900       0.056       1.770       1.317      41.891       0.200       5.860      14.263        0.12      55892.    0.6099  
        3.09      0.1036      0.1876      0.1661      0.0917       0.057       1.803       1.303      42.669       0.204       5.795      13.850        0.13      55974.    0.5890  
