         15x13.5-3                (15x135-3.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1539      0.0879       0.005       0.339       0.248       4.007       0.038       1.104      28.109        0.06      23168.    0.5479  
        0.53      0.0375      0.0639      0.1531      0.0898       0.005       0.346       0.247       4.090       0.039       1.099      27.395        0.06      23195.    0.5326  
        1.06      0.0749      0.1243      0.1522      0.0917       0.006       0.353       0.246       4.178       0.040       1.092      26.660        0.06      23226.    0.5168  
        1.60      0.1124      0.1813      0.1511      0.0937       0.006       0.361       0.244       4.268       0.041       1.085      25.911        0.06      23260.    0.5005  
        2.13      0.1498      0.2347      0.1498      0.0957       0.006       0.368       0.242       4.359       0.042       1.075      25.154        0.06      23298.    0.4838  
        2.66      0.1873      0.2845      0.1483      0.0976       0.006       0.376       0.239       4.449       0.042       1.064      24.394        0.06      23341.    0.4668  
        3.19      0.2247      0.3307      0.1465      0.0995       0.006       0.383       0.236       4.536       0.043       1.051      23.636        0.06      23387.    0.4495  
        3.72      0.2622      0.3736      0.1443      0.1013       0.006       0.390       0.233       4.616       0.044       1.036      22.884        0.06      23439.    0.4320  
        4.26      0.2996      0.4131      0.1418      0.1028       0.006       0.396       0.229       4.686       0.045       1.017      22.141        0.06      23494.    0.4142  
        4.79      0.3371      0.4494      0.1388      0.1041       0.006       0.401       0.224       4.742       0.045       0.996      21.411        0.06      23555.    0.3963  
        5.32      0.3745      0.4826      0.1352      0.1049       0.006       0.404       0.218       4.781       0.046       0.970      20.695        0.06      23620.    0.3781  
        5.85      0.4120      0.5129      0.1311      0.1053       0.006       0.405       0.211       4.796       0.046       0.940      19.995        0.06      23690.    0.3597  
        6.38      0.4494      0.5404      0.1263      0.1050       0.006       0.405       0.204       4.786       0.046       0.906      19.310        0.06      23765.    0.3410  
        6.92      0.4869      0.5651      0.1209      0.1042       0.006       0.401       0.195       4.747       0.045       0.868      18.639        0.06      23844.    0.3220  
        7.45      0.5243      0.5870      0.1150      0.1027       0.006       0.396       0.186       4.680       0.045       0.825      17.979        0.06      23929.    0.3029  
        7.98      0.5618      0.6061      0.1086      0.1006       0.006       0.388       0.175       4.586       0.044       0.779      17.325        0.06      24018.    0.2836  
        8.51      0.5992      0.6220      0.1017      0.0980       0.006       0.377       0.164       4.465       0.043       0.730      16.669        0.06      24112.    0.2641  
        9.04      0.6367      0.6346      0.0945      0.0948       0.006       0.365       0.152       4.320       0.041       0.678      16.006        0.06      24210.    0.2445  
        9.58      0.6741      0.6434      0.0870      0.0911       0.006       0.351       0.140       4.152       0.040       0.624      15.327        0.06      24313.    0.2246  
       10.11      0.7116      0.6479      0.0792      0.0869       0.005       0.335       0.128       3.961       0.038       0.568      14.622        0.06      24420.    0.2044  
       10.64      0.7490      0.6473      0.0711      0.0823       0.005       0.317       0.115       3.749       0.036       0.510      13.878        0.06      24532.    0.1839  
       11.17      0.7865      0.6406      0.0628      0.0771       0.005       0.297       0.101       3.515       0.034       0.451      13.080        0.06      24648.    0.1629  
       11.70      0.8239      0.6262      0.0544      0.0716       0.004       0.276       0.088       3.261       0.031       0.390      12.204        0.06      24768.    0.1414  
       12.24      0.8614      0.6017      0.0458      0.0656       0.004       0.252       0.074       2.987       0.029       0.329      11.218        0.06      24893.    0.1193  
       12.77      0.8988      0.5637      0.0371      0.0591       0.004       0.228       0.060       2.694       0.026       0.266      10.071        0.06      25022.    0.0963  
       13.30      0.9363      0.5062      0.0283      0.0523       0.003       0.201       0.046       2.382       0.023       0.203       8.683        0.06      25155.    0.0725  
       13.83      0.9737      0.4194      0.0194      0.0450       0.003       0.173       0.031       2.052       0.020       0.139       6.917        0.06      25292.    0.0479  
       14.36      1.0112      0.2843      0.0105      0.0375       0.002       0.144       0.017       1.707       0.016       0.076       4.515        0.06      25433.    0.0230  
       14.90      1.0486      0.0605      0.0017      0.0296       0.002       0.114       0.003       1.348       0.013       0.012       0.927        0.06      25578.    0.0019  
       15.43      1.0861                                                                                                                                                            
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1547      0.0795       0.039       1.225       0.998      28.982       0.138       4.439      15.620        0.12      46336.    0.6104  
        1.04      0.0367      0.0695      0.1539      0.0814       0.040       1.253       0.993      29.657       0.142       4.419      15.193        0.12      46389.    0.5924  
        2.09      0.0734      0.1349      0.1531      0.0833       0.041       1.283       0.988      30.365       0.145       4.395      14.758        0.12      46449.    0.5738  
