         16x10                    (16x10.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1071      0.0489       0.004       0.260       0.224       3.075       0.029       0.995      33.013        0.06      30442.    0.5727  
        0.41      0.0271      0.0580      0.1057      0.0495       0.004       0.263       0.221       3.115       0.030       0.982      32.151        0.06      30466.    0.5540  
        0.82      0.0543      0.1128      0.1042      0.0501       0.004       0.267       0.218       3.154       0.030       0.968      31.287        0.06      30492.    0.5352  
        1.23      0.0814      0.1646      0.1025      0.0507       0.004       0.270       0.214       3.190       0.030       0.952      30.426        0.06      30520.    0.5162  
        1.65      0.1086      0.2133      0.1006      0.0512       0.004       0.272       0.210       3.223       0.031       0.935      29.570        0.06      30551.    0.4971  
        2.06      0.1357      0.2589      0.0986      0.0517       0.004       0.275       0.206       3.251       0.031       0.916      28.721        0.06      30585.    0.4779  
        2.47      0.1629      0.3016      0.0964      0.0520       0.004       0.277       0.201       3.274       0.031       0.895      27.879        0.06      30621.    0.4587  
        2.88      0.1900      0.3414      0.0940      0.0523       0.004       0.278       0.196       3.291       0.031       0.873      27.047        0.06      30660.    0.4394  
        3.29      0.2172      0.3783      0.0914      0.0525       0.004       0.279       0.191       3.301       0.032       0.849      26.225        0.06      30702.    0.4202  
        3.70      0.2443      0.4124      0.0886      0.0525       0.004       0.279       0.185       3.302       0.032       0.823      25.412        0.06      30746.    0.4009  
