         16x7E(3D)                (16x7E(3D).dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0776      0.0295       0.002       0.157       0.162       1.857       0.018       0.721      39.571        0.06      24326.    0.5842  
        0.30      0.0198      0.0509      0.0762      0.0297       0.003       0.158       0.159       1.867       0.018       0.708      38.641        0.06      24339.    0.5652  
        0.60      0.0397      0.0994      0.0746      0.0298       0.003       0.159       0.156       1.875       0.018       0.693      37.705        0.06      24353.    0.5460  
        0.90      0.0595      0.1453      0.0730      0.0299       0.003       0.159       0.153       1.882       0.018       0.679      36.766        0.06      24367.    0.5266  
        1.20      0.0794      0.1888      0.0713      0.0300       0.003       0.159       0.149       1.886       0.018       0.663      35.824        0.06      24383.    0.5071  
        1.50      0.0992      0.2298      0.0695      0.0300       0.003       0.160       0.145       1.889       0.018       0.646      34.880        0.06      24399.    0.4875  
        1.80      0.1190      0.2683      0.0676      0.0300       0.003       0.160       0.141       1.888       0.018       0.628      33.934        0.06      24417.    0.4677  
        2.10      0.1389      0.3043      0.0656      0.0300       0.003       0.159       0.137       1.885       0.018       0.610      32.985        0.06      24436.    0.4479  
        2.40      0.1587      0.3377      0.0635      0.0299       0.003       0.159       0.133       1.879       0.018       0.590      32.033        0.06      24456.    0.4279  
        2.71      0.1785      0.3685      0.0613      0.0297       0.003       0.158       0.128       1.869       0.018       0.570      31.076        0.06      24476.    0.4078  
        3.01      0.1984      0.3968      0.0590      0.0295       0.002       0.157       0.123       1.855       0.018       0.548      30.112        0.06      24499.    0.3876  
        3.31      0.2182      0.4224      0.0565      0.0292       0.002       0.155       0.118       1.838       0.018       0.525      29.139        0.06      24522.    0.3672  
        3.61      0.2381      0.4452      0.0540      0.0289       0.002       0.154       0.113       1.817       0.017       0.502      28.154        0.06      24546.    0.3467  
        3.91      0.2579      0.4651      0.0513      0.0285       0.002       0.151       0.107       1.791       0.017       0.477      27.153        0.06      24572.    0.3261  
        4.21      0.2777      0.4821      0.0486      0.0280       0.002       0.149       0.101       1.761       0.017       0.451      26.131        0.06      24599.    0.3052  
