         17x8N                    (17x8N.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0803      0.0330       0.004       0.238       0.214       2.813       0.027       0.951      34.457        0.07      29265.    0.5498  
        0.35      0.0220      0.0522      0.0789      0.0333       0.004       0.240       0.210       2.836       0.027       0.934      33.594        0.07      29281.    0.5315  
        0.71      0.0440      0.1017      0.0775      0.0335       0.004       0.242       0.206       2.858       0.027       0.917      32.728        0.07      29300.    0.5129  
        1.06      0.0660      0.1485      0.0759      0.0338       0.004       0.243       0.202       2.876       0.027       0.899      31.860        0.07      29319.    0.4943  
        1.42      0.0880      0.1926      0.0742      0.0339       0.004       0.244       0.198       2.891       0.028       0.879      30.992        0.07      29340.    0.4755  
        1.77      0.1101      0.2340      0.0724      0.0341       0.004       0.245       0.193       2.903       0.028       0.858      30.125        0.07      29362.    0.4566  
        2.13      0.1321      0.2727      0.0705      0.0342       0.004       0.246       0.188       2.910       0.028       0.835      29.260        0.07      29386.    0.4376  
        2.48      0.1541      0.3088      0.0685      0.0342       0.004       0.246       0.182       2.913       0.028       0.811      28.397        0.07      29412.    0.4186  
        2.83      0.1761      0.3422      0.0664      0.0342       0.004       0.246       0.177       2.910       0.028       0.786      27.535        0.07      29439.    0.3995  
