         20.5x10.5PN              (205x105PN.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0911      0.0356       0.010       0.654       0.513       7.734       0.074       2.280      30.059        0.08      45241.    0.6159  
        0.46      0.0235      0.0585      0.0896      0.0360       0.010       0.661       0.504       7.821       0.075       2.244      29.254        0.08      45270.    0.5947  
        0.91      0.0470      0.1138      0.0881      0.0364       0.011       0.668       0.496       7.902       0.075       2.205      28.451        0.08      45301.    0.5734  
        1.37      0.0705      0.1659      0.0864      0.0367       0.011       0.674       0.486       7.975       0.076       2.163      27.654        0.08      45336.    0.5519  
        1.82      0.0940      0.2148      0.0846      0.0370       0.011       0.679       0.476       8.038       0.077       2.117      26.862        0.08      45372.    0.5305  
        2.28      0.1175      0.2607      0.0826      0.0372       0.011       0.684       0.465       8.089       0.077       2.069      26.078        0.08      45412.    0.5090  
        2.74      0.1410      0.3036      0.0805      0.0374       0.011       0.687       0.453       8.125       0.078       2.016      25.303        0.08      45455.    0.4876  
        3.19      0.1645      0.3434      0.0783      0.0375       0.011       0.688       0.441       8.145       0.078       1.960      24.535        0.08      45500.    0.4662  
        3.65      0.1880      0.3803      0.0759      0.0375       0.011       0.689       0.427       8.146       0.078       1.899      23.777        0.08      45549.    0.4447  
        4.10      0.2114      0.4144      0.0733      0.0374       0.011       0.687       0.413       8.126       0.078       1.835      23.027        0.08      45600.    0.4233  
        4.56      0.2349      0.4456      0.0706      0.0372       0.011       0.683       0.397       8.083       0.077       1.766      22.285        0.08      45655.    0.4020  
        5.02      0.2584      0.4740      0.0677      0.0369       0.011       0.678       0.381       8.016       0.077       1.694      21.549        0.08      45713.    0.3806  
        5.47      0.2819      0.4995      0.0646      0.0365       0.011       0.670       0.364       7.925       0.076       1.618      20.819        0.08      45774.    0.3594  
        5.93      0.3054      0.5222      0.0615      0.0359       0.010       0.660       0.346       7.809       0.075       1.539      20.091        0.08      45839.    0.3382  
        6.39      0.3289      0.5420      0.0582      0.0353       0.010       0.648       0.327       7.669       0.073       1.456      19.363        0.08      45907.    0.3171  
        6.84      0.3524      0.5588      0.0548      0.0345       0.010       0.634       0.308       7.502       0.072       1.371      18.632        0.08      45978.    0.2960  
        7.30      0.3759      0.5724      0.0512      0.0336       0.010       0.618       0.288       7.310       0.070       1.283      17.893        0.08      46053.    0.2750  
        7.75      0.3994      0.5827      0.0476      0.0326       0.010       0.599       0.268       7.092       0.068       1.192      17.143        0.08      46131.    0.2540  
        8.21      0.4229      0.5893      0.0439      0.0315       0.009       0.579       0.247       6.848       0.065       1.100      16.374        0.08      46212.    0.2330  
        8.67      0.4464      0.5919      0.0401      0.0303       0.009       0.556       0.226       6.577       0.063       1.005      15.580        0.08      46297.    0.2120  
        9.12      0.4699      0.5898      0.0363      0.0289       0.008       0.531       0.204       6.279       0.060       0.908      14.750        0.08      46386.    0.1908  
        9.58      0.4934      0.5824      0.0324      0.0274       0.008       0.503       0.182       5.954       0.057       0.810      13.871        0.08      46478.    0.1694  
       10.03      0.5169      0.5686      0.0284      0.0258       0.008       0.473       0.160       5.602       0.053       0.710      12.927        0.08      46574.    0.1478  
       10.49      0.5404      0.5469      0.0243      0.0240       0.007       0.441       0.137       5.223       0.050       0.609      11.893        0.08      46673.    0.1260  
       10.95      0.5639      0.5152      0.0203      0.0222       0.006       0.407       0.114       4.818       0.046       0.507      10.737        0.08      46776.    0.1038  
       11.40      0.5874      0.4703      0.0162      0.0202       0.006       0.371       0.091       4.387       0.042       0.405       9.408        0.08      46882.    0.0812  
       11.86      0.6108      0.4072      0.0121      0.0181       0.005       0.332       0.068       3.932       0.038       0.302       7.834        0.08      46992.    0.0584  
       12.31      0.6343      0.3181      0.0080      0.0159       0.005       0.292       0.045       3.454       0.033       0.200       5.891        0.08      47105.    0.0357  
       12.77      0.6578      0.1887      0.0039      0.0136       0.004       0.250       0.022       2.954       0.028       0.098       3.370        0.08      47221.    0.0143  
       13.23      0.6813     -0.0107     -0.0002      0.0112       0.003       0.205      -0.001       2.429       0.023      -0.004      -0.185        0.08      47332.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0915      0.0323       0.075       2.370       2.060      56.075       0.268       9.165      16.666        0.16      90480.    0.6847  
        0.93      0.0240      0.0660      0.0901      0.0327       0.076       2.403       2.028      56.855       0.271       9.019      16.176        0.16      90539.    0.6593  
        1.86      0.0480      0.1281      0.0885      0.0331       0.077       2.434       1.992      57.583       0.275       8.861      15.691        0.16      90604.    0.6339  
        2.79      0.0719      0.1863      0.0868      0.0335       0.078       2.461       1.953      58.243       0.278       8.689      15.213        0.16      90674.    0.6086  
        3.72      0.0959      0.2407      0.0849      0.0338       0.079       2.486       1.912      58.820       0.281       8.504      14.742        0.16      90750.    0.5834  
        4.66      0.1199      0.2915      0.0829      0.0341       0.080       2.506       1.867      59.294       0.283       8.304      14.280        0.16      90831.    0.5585  
        5.59      0.1439      0.3387      0.0808      0.0343       0.080       2.521       1.818      59.647       0.285       8.088      13.827        0.16      90919.    0.5337  
        6.52      0.1679      0.3824      0.0785      0.0344       0.080       2.530       1.766      59.859       0.286       7.856      13.383        0.16      91013.    0.5091  
        7.45      0.1919      0.4229      0.0760      0.0345       0.080       2.532       1.710      59.909       0.286       7.607      12.948        0.16      91113.    0.4847  
