         20.5x10.5WPN             (205x105WPN.dat)                                                                                                                                  
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0966      0.0383       0.011       0.704       0.544       8.327       0.080       2.420      29.631        0.08      47571.    0.6255  
        0.45      0.0231      0.0568      0.0950      0.0387       0.011       0.711       0.535       8.406       0.080       2.379      28.858        0.08      47602.    0.6041  
        0.90      0.0463      0.1107      0.0933      0.0390       0.011       0.717       0.525       8.479       0.081       2.335      28.086        0.08      47637.    0.5825  
        1.35      0.0694      0.1615      0.0914      0.0393       0.011       0.722       0.515       8.542       0.082       2.289      27.320        0.08      47674.    0.5609  
        1.80      0.0926      0.2093      0.0894      0.0396       0.012       0.726       0.503       8.595       0.082       2.239      26.559        0.08      47713.    0.5393  
        2.25      0.1157      0.2542      0.0873      0.0397       0.012       0.730       0.491       8.635       0.082       2.185      25.804        0.08      47756.    0.5177  
        2.70      0.1389      0.2962      0.0850      0.0399       0.012       0.732       0.478       8.660       0.083       2.128      25.056        0.08      47801.    0.4960  
        3.15      0.1620      0.3353      0.0826      0.0399       0.012       0.733       0.465       8.667       0.083       2.067      24.316        0.08      47849.    0.4744  
        3.59      0.1852      0.3717      0.0800      0.0398       0.012       0.732       0.450       8.655       0.083       2.002      23.584        0.08      47901.    0.4528  
        4.04      0.2083      0.4053      0.0772      0.0397       0.012       0.729       0.435       8.622       0.082       1.933      22.858        0.08      47955.    0.4313  
        4.49      0.2315      0.4361      0.0743      0.0394       0.011       0.724       0.418       8.565       0.082       1.860      22.139        0.08      48012.    0.4097  
        4.94      0.2546      0.4643      0.0712      0.0391       0.011       0.717       0.401       8.485       0.081       1.783      21.426        0.08      48073.    0.3883  
        5.39      0.2778      0.4897      0.0680      0.0386       0.011       0.708       0.383       8.380       0.080       1.702      20.716        0.08      48137.    0.3668  
        5.84      0.3009      0.5124      0.0647      0.0380       0.011       0.697       0.364       8.249       0.079       1.619      20.007        0.08      48204.    0.3454  
        6.29      0.3241      0.5322      0.0612      0.0373       0.011       0.684       0.344       8.093       0.077       1.532      19.297        0.08      48275.    0.3241  
        6.74      0.3472      0.5491      0.0576      0.0364       0.011       0.669       0.324       7.912       0.076       1.442      18.583        0.08      48349.    0.3028  
        7.19      0.3704      0.5630      0.0539      0.0355       0.010       0.651       0.303       7.705       0.074       1.349      17.861        0.08      48426.    0.2816  
        7.64      0.3935      0.5735      0.0501      0.0344       0.010       0.631       0.282       7.471       0.071       1.255      17.125        0.08      48507.    0.2603  
        8.09      0.4167      0.5805      0.0462      0.0332       0.010       0.609       0.260       7.210       0.069       1.157      16.370        0.08      48591.    0.2390  
        8.54      0.4398      0.5834      0.0423      0.0319       0.009       0.585       0.238       6.923       0.066       1.058      15.588        0.08      48679.    0.2176  
        8.99      0.4629      0.5819      0.0382      0.0304       0.009       0.559       0.215       6.608       0.063       0.957      14.770        0.08      48770.    0.1961  
        9.44      0.4861      0.5751      0.0341      0.0288       0.008       0.530       0.192       6.265       0.060       0.854      13.903        0.08      48865.    0.1744  
        9.89      0.5092      0.5621      0.0299      0.0271       0.008       0.498       0.169       5.895       0.056       0.750      12.969        0.08      48964.    0.1524  
       10.34      0.5324      0.5412      0.0257      0.0253       0.007       0.465       0.145       5.498       0.053       0.644      11.945        0.08      49066.    0.1301  
       10.78      0.5555      0.5105      0.0215      0.0234       0.007       0.429       0.121       5.073       0.048       0.537      10.797        0.08      49171.    0.1074  
       11.23      0.5787      0.4667      0.0172      0.0213       0.006       0.391       0.097       4.622       0.044       0.430       9.477        0.08      49281.    0.0843  
       11.68      0.6018      0.4050      0.0128      0.0191       0.006       0.350       0.072       4.144       0.040       0.321       7.907        0.08      49393.    0.0608  
       12.13      0.6250      0.3174      0.0085      0.0168       0.005       0.308       0.048       3.642       0.035       0.213       5.967        0.08      49510.    0.0374  
       12.58      0.6481      0.1897      0.0042      0.0143       0.004       0.263       0.024       3.117       0.030       0.105       3.440        0.08      49630.    0.0151  
       13.03      0.6713     -0.0064     -0.0001      0.0118       0.003       0.217      -0.001       2.566       0.025      -0.003      -0.112        0.08      49750.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0971      0.0349       0.081       2.564       2.187      60.677       0.290       9.727      16.348        0.16      95139.    0.6920  
        0.90      0.0233      0.0629      0.0955      0.0353       0.082       2.594       2.150      61.372       0.293       9.565      15.892        0.16      95203.    0.6671  
        1.81      0.0465      0.1222      0.0938      0.0357       0.083       2.621       2.111      62.012       0.296       9.390      15.441        0.16      95272.    0.6422  
