         20.5x10PN                (205x10PN.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0881      0.0340       0.010       0.625       0.496       7.397       0.071       2.205      30.394        0.08      45252.    0.6125  
        0.44      0.0227      0.0573      0.0866      0.0344       0.010       0.632       0.488       7.472       0.071       2.169      29.595        0.08      45280.    0.5915  
        0.88      0.0455      0.1114      0.0851      0.0347       0.010       0.637       0.479       7.541       0.072       2.130      28.797        0.08      45310.    0.5703  
        1.32      0.0682      0.1625      0.0834      0.0350       0.010       0.643       0.469       7.603       0.073       2.088      28.002        0.08      45342.    0.5491  
        1.77      0.0909      0.2106      0.0816      0.0352       0.010       0.647       0.459       7.655       0.073       2.043      27.213        0.08      45378.    0.5279  
        2.21      0.1137      0.2557      0.0797      0.0354       0.010       0.651       0.448       7.697       0.074       1.995      26.429        0.08      45415.    0.5066  
        2.65      0.1364      0.2978      0.0776      0.0356       0.010       0.653       0.437       7.726       0.074       1.944      25.653        0.08      45456.    0.4853  
        3.09      0.1591      0.3370      0.0754      0.0356       0.010       0.654       0.425       7.739       0.074       1.889      24.883        0.08      45499.    0.4641  
        3.53      0.1819      0.3734      0.0731      0.0356       0.010       0.654       0.411       7.736       0.074       1.830      24.121        0.08      45545.    0.4428  
        3.97      0.2046      0.4069      0.0706      0.0355       0.010       0.652       0.397       7.714       0.074       1.768      23.366        0.08      45593.    0.4216  
        4.41      0.2273      0.4376      0.0680      0.0353       0.010       0.648       0.383       7.672       0.073       1.702      22.618        0.08      45645.    0.4004  
