         20.5x12WE                (205x12WE.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1042      0.0415       0.012       0.762       0.587       9.012       0.086       2.609      29.525        0.08      46791.    0.6473  
        0.49      0.0253      0.0619      0.1026      0.0420       0.012       0.770       0.578       9.115       0.087       2.569      28.742        0.08      46826.    0.6252  
        0.98      0.0506      0.1205      0.1009      0.0424       0.012       0.779       0.568       9.211       0.088       2.526      27.963        0.08      46863.    0.6031  
        1.47      0.0759      0.1757      0.0990      0.0428       0.012       0.786       0.557       9.296       0.089       2.479      27.190        0.08      46904.    0.5810  
        1.97      0.1013      0.2277      0.0970      0.0431       0.013       0.792       0.546       9.370       0.089       2.428      26.427        0.08      46948.    0.5589  
        2.46      0.1266      0.2766      0.0948      0.0434       0.013       0.797       0.534       9.429       0.090       2.374      25.674        0.08      46995.    0.5369  
        2.95      0.1519      0.3223      0.0925      0.0436       0.013       0.801       0.521       9.471       0.090       2.316      24.932        0.08      47045.    0.5149  
        3.44      0.1772      0.3650      0.0900      0.0437       0.013       0.802       0.507       9.494       0.091       2.253      24.201        0.08      47099.    0.4930  
        3.93      0.2025      0.4047      0.0873      0.0437       0.013       0.803       0.492       9.496       0.091       2.187      23.482        0.08      47157.    0.4713  
        4.42      0.2278      0.4416      0.0845      0.0436       0.013       0.801       0.476       9.473       0.090       2.116      22.775        0.08      47218.    0.4496  
        4.91      0.2531      0.4756      0.0815      0.0434       0.013       0.797       0.459       9.424       0.090       2.040      22.077        0.08      47283.    0.4280  
        5.41      0.2785      0.5069      0.0783      0.0430       0.013       0.790       0.441       9.346       0.089       1.960      21.389        0.08      47352.    0.4064  
        5.90      0.3038      0.5354      0.0749      0.0425       0.012       0.781       0.422       9.237       0.088       1.876      20.709        0.08      47424.    0.3849  
        6.39      0.3291      0.5611      0.0714      0.0419       0.012       0.769       0.402       9.093       0.087       1.786      20.033        0.08      47501.    0.3634  
        6.88      0.3544      0.5839      0.0676      0.0410       0.012       0.753       0.380       8.913       0.085       1.692      19.359        0.08      47582.    0.3418  
        7.37      0.3797      0.6038      0.0637      0.0400       0.012       0.735       0.358       8.698       0.083       1.594      18.684        0.08      47666.    0.3201  
        7.86      0.4050      0.6206      0.0596      0.0389       0.011       0.714       0.335       8.448       0.081       1.491      18.002        0.08      47755.    0.2984  
        8.35      0.4304      0.6339      0.0554      0.0376       0.011       0.690       0.312       8.165       0.078       1.386      17.308        0.08      47848.    0.2765  
        8.85      0.4557      0.6435      0.0510      0.0361       0.011       0.663       0.287       7.848       0.075       1.277      16.594        0.08      47944.    0.2545  
        9.34      0.4810      0.6489      0.0466      0.0345       0.010       0.634       0.262       7.499       0.072       1.166      15.852        0.08      48045.    0.2323  
        9.83      0.5063      0.6494      0.0420      0.0328       0.010       0.602       0.237       7.118       0.068       1.052      15.072        0.08      48150.    0.2098  
       10.32      0.5316      0.6442      0.0374      0.0309       0.009       0.567       0.211       6.707       0.064       0.937      14.239        0.08      48259.    0.1870  
       10.81      0.5569      0.6320      0.0327      0.0288       0.008       0.530       0.184       6.266       0.060       0.819      13.335        0.08      48372.    0.1638  
       11.30      0.5822      0.6112      0.0280      0.0267       0.008       0.490       0.158       5.797       0.055       0.701      12.334        0.08      48489.    0.1402  
       11.79      0.6076      0.5792      0.0233      0.0244       0.007       0.448       0.131       5.302       0.051       0.582      11.201        0.08      48610.    0.1160  
       12.29      0.6329      0.5322      0.0185      0.0220       0.006       0.404       0.104       4.782       0.046       0.463       9.881        0.08      48735.    0.0913  
       12.78      0.6582      0.4645      0.0138      0.0195       0.006       0.358       0.078       4.239       0.040       0.345       8.293        0.08      48865.    0.0661  
       13.27      0.6835      0.3664      0.0091      0.0169       0.005       0.311       0.051       3.677       0.035       0.227       6.299        0.08      48998.    0.0407  
       13.76      0.7088      0.2207      0.0044      0.0143       0.004       0.262       0.025       3.098       0.030       0.111       3.658        0.08      49136.    0.0166  
       14.25      0.7341     -0.0067     -0.0001      0.0115       0.003       0.212      -0.001       2.506       0.024      -0.003      -0.108        0.08      49276.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1046      0.0389       0.091       2.861       2.356      67.689       0.323      10.479      15.787        0.16      93580.    0.6936  
        0.99      0.0254      0.0663      0.1030      0.0395       0.092       2.898       2.320      68.580       0.327      10.319      15.343        0.16      93650.    0.6689  
        1.97      0.0508      0.1289      0.1013      0.0399       0.093       2.933       2.281      69.411       0.331      10.144      14.903        0.16      93725.    0.6442  
        2.96      0.0762      0.1877      0.0994      0.0404       0.094       2.965       2.238      70.163       0.335       9.956      14.470        0.16      93807.    0.6197  
        3.95      0.1016      0.2429      0.0974      0.0407       0.095       2.993       2.193      70.819       0.338       9.754      14.045        0.16      93895.    0.5953  
        4.93      0.1270      0.2946      0.0952      0.0411       0.096       3.016       2.144      71.358       0.341       9.536      13.627        0.16      93989.    0.5711  
        5.92      0.1524      0.3429      0.0929      0.0413       0.096       3.033       2.091      71.761       0.343       9.302      13.218        0.16      94091.    0.5471  
