         20.5x13.5EPN             (205x135EPN.dat)                                                                                                                                  
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0963      0.0388       0.011       0.713       0.542       8.435       0.081       2.411      29.144        0.08      39187.    0.6141  
        0.54      0.0279      0.0673      0.0952      0.0395       0.012       0.725       0.536       8.579       0.082       2.383      28.322        0.08      39216.    0.5933  
        1.08      0.0558      0.1306      0.0939      0.0401       0.012       0.737       0.529       8.721       0.083       2.352      27.500        0.08      39248.    0.5724  
        1.63      0.0837      0.1901      0.0926      0.0408       0.012       0.749       0.521       8.857       0.085       2.318      26.682        0.08      39283.    0.5513  
        2.17      0.1116      0.2457      0.0911      0.0414       0.012       0.760       0.513       8.986       0.086       2.280      25.871        0.08      39322.    0.5301  
        2.71      0.1395      0.2977      0.0894      0.0419       0.012       0.770       0.503       9.105       0.087       2.238      25.070        0.08      39364.    0.5090  
        3.25      0.1674      0.3460      0.0876      0.0424       0.012       0.778       0.493       9.209       0.088       2.193      24.281        0.08      39410.    0.4880  
        3.79      0.1953      0.3908      0.0856      0.0428       0.012       0.786       0.482       9.296       0.089       2.143      23.507        0.08      39460.    0.4670  
        4.33      0.2232      0.4322      0.0834      0.0431       0.013       0.791       0.470       9.361       0.089       2.088      22.749        0.08      39514.    0.4462  
        4.88      0.2511      0.4703      0.0811      0.0433       0.013       0.795       0.456       9.402       0.090       2.029      22.007        0.08      39571.    0.4255  
        5.42      0.2790      0.5054      0.0785      0.0433       0.013       0.796       0.442       9.415       0.090       1.965      21.283        0.08      39633.    0.4049  
        5.96      0.3069      0.5374      0.0757      0.0432       0.013       0.794       0.426       9.396       0.090       1.896      20.574        0.08      39699.    0.3845  
        6.50      0.3348      0.5665      0.0727      0.0430       0.013       0.790       0.409       9.341       0.089       1.821      19.881        0.08      39769.    0.3641  
        7.04      0.3627      0.5927      0.0696      0.0426       0.012       0.782       0.391       9.247       0.088       1.741      19.201        0.08      39844.    0.3439  
