         20.5x14E                 (205x14E.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0951      0.0387       0.011       0.710       0.535       8.400       0.080       2.381      28.901        0.08      37544.    0.6052  
        0.56      0.0287      0.0687      0.0941      0.0394       0.011       0.723       0.530       8.556       0.082       2.356      28.078        0.08      37572.    0.5849  
        1.12      0.0575      0.1333      0.0930      0.0401       0.012       0.736       0.523       8.711       0.083       2.328      27.252        0.08      37603.    0.5643  
        1.67      0.0862      0.1939      0.0918      0.0408       0.012       0.749       0.516       8.863       0.085       2.297      26.428        0.08      37637.    0.5436  
        2.23      0.1149      0.2505      0.0904      0.0415       0.012       0.761       0.509       9.008       0.086       2.262      25.610        0.08      37675.    0.5228  
        2.79      0.1437      0.3033      0.0888      0.0421       0.012       0.773       0.500       9.144       0.087       2.224      24.802        0.08      37717.    0.5020  
        3.35      0.1724      0.3523      0.0871      0.0427       0.012       0.783       0.490       9.267       0.088       2.182      24.006        0.08      37762.    0.4812  
        3.90      0.2012      0.3976      0.0853      0.0431       0.013       0.792       0.480       9.373       0.090       2.135      23.225        0.08      37812.    0.4606  
        4.46      0.2299      0.4395      0.0832      0.0435       0.013       0.799       0.468       9.458       0.090       2.083      22.461        0.08      37865.    0.4400  
        5.02      0.2586      0.4780      0.0810      0.0438       0.013       0.805       0.456       9.518       0.091       2.027      21.715        0.08      37923.    0.4196  
        5.58      0.2874      0.5133      0.0785      0.0440       0.013       0.807       0.442       9.549       0.091       1.965      20.988        0.08      37984.    0.3993  
        6.14      0.3161      0.5455      0.0758      0.0439       0.013       0.807       0.427       9.546       0.091       1.898      20.278        0.08      38051.    0.3792  
        6.69      0.3448      0.5748      0.0729      0.0438       0.013       0.803       0.410       9.506       0.091       1.826      19.585        0.08      38121.    0.3592  
        7.25      0.3736      0.6011      0.0698      0.0434       0.013       0.797       0.393       9.425       0.090       1.748      18.908        0.08      38196.    0.3392  
        7.81      0.4023      0.6246      0.0665      0.0428       0.012       0.786       0.374       9.299       0.089       1.664      18.243        0.08      38275.    0.3193  
        8.37      0.4310      0.6452      0.0629      0.0420       0.012       0.771       0.354       9.125       0.087       1.574      17.587        0.08      38359.    0.2994  
        8.93      0.4598      0.6627      0.0590      0.0410       0.012       0.752       0.332       8.900       0.085       1.478      16.936        0.08      38448.    0.2794  
        9.48      0.4885      0.6770      0.0550      0.0397       0.012       0.729       0.310       8.624       0.082       1.377      16.283        0.08      38541.    0.2593  
       10.04      0.5172      0.6877      0.0508      0.0382       0.011       0.702       0.286       8.300       0.079       1.272      15.622        0.08      38638.    0.2391  
       10.60      0.5460      0.6944      0.0464      0.0365       0.011       0.670       0.261       7.931       0.076       1.162      14.944        0.08      38740.    0.2186  
       11.16      0.5747      0.6964      0.0419      0.0346       0.010       0.635       0.236       7.518       0.072       1.050      14.237        0.08      38846.    0.1980  
       11.71      0.6035      0.6927      0.0373      0.0325       0.009       0.597       0.210       7.065       0.067       0.935      13.489        0.08      38956.    0.1770  
       12.27      0.6322      0.6822      0.0327      0.0303       0.009       0.556       0.184       6.573       0.063       0.817      12.680        0.08      39071.    0.1556  
       12.83      0.6609      0.6630      0.0279      0.0278       0.008       0.511       0.157       6.046       0.058       0.699      11.786        0.08      39190.    0.1337  
       13.39      0.6897      0.6322      0.0232      0.0253       0.007       0.464       0.130       5.487       0.052       0.580      10.772        0.08      39314.    0.1113  
       13.95      0.7184      0.5858      0.0184      0.0225       0.007       0.414       0.103       4.898       0.047       0.460       9.581        0.08      39442.    0.0882  
       14.50      0.7471      0.5168      0.0136      0.0197       0.006       0.362       0.077       4.283       0.041       0.341       8.128        0.08      39574.    0.0645  
       15.06      0.7759      0.4136      0.0089      0.0168       0.005       0.308       0.050       3.648       0.035       0.224       6.263        0.08      39710.    0.0402  
       15.62      0.8046      0.2538      0.0043      0.0138       0.004       0.253       0.024       2.996       0.029       0.109       3.706        0.08      39851.    0.0166  
       16.18      0.8333     -0.0099     -0.0001      0.0107       0.003       0.197      -0.001       2.334       0.022      -0.003      -0.139        0.08      39996.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0954      0.0361       0.084       2.651       2.149      62.732       0.300       9.557      15.536        0.16      75086.    0.6518  
        1.12      0.0288      0.0739      0.0945      0.0368       0.086       2.707       2.126      64.043       0.306       9.459      15.060        0.16      75142.    0.6286  
        2.24      0.0577      0.1432      0.0934      0.0376       0.088       2.762       2.102      65.355       0.312       9.348      14.586        0.16      75205.    0.6052  
        3.36      0.0865      0.2078      0.0921      0.0383       0.089       2.816       2.074      66.645       0.318       9.225      14.115        0.16      75274.    0.5818  
        4.48      0.1153      0.2679      0.0907      0.0391       0.091       2.869       2.043      67.889       0.324       9.087      13.649        0.16      75351.    0.5584  
        5.60      0.1442      0.3237      0.0892      0.0397       0.093       2.919       2.009      69.059       0.330       8.934      13.192        0.16      75434.    0.5352  
        6.72      0.1730      0.3753      0.0875      0.0403       0.094       2.964       1.971      70.126       0.335       8.765      12.745        0.16      75525.    0.5121  
