         20.5x20.5E(CD)           (205x205E(CD).dat)                                                                                                                                
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1085      0.0551       0.017       1.063       0.635      12.571       0.120       2.823      22.897        0.08      41274.    0.5170  
        0.77      0.0395      0.0758      0.1081      0.0562       0.017       1.084       0.632      12.822       0.122       2.812      22.366        0.08      41317.    0.5041  
        1.55      0.0789      0.1479      0.1076      0.0575       0.018       1.108       0.630      13.103       0.125       2.801      21.801        0.08      41367.    0.4904  
        2.32      0.1184      0.2157      0.1072      0.0588       0.018       1.134       0.627      13.412       0.128       2.789      21.207        0.08      41424.    0.4760  
        3.09      0.1578      0.2792      0.1066      0.0603       0.018       1.162       0.624      13.746       0.131       2.775      20.588        0.08      41488.    0.4610  
        3.87      0.1973      0.3383      0.1060      0.0618       0.019       1.192       0.620      14.101       0.135       2.759      19.951        0.08      41562.    0.4454  
        4.64      0.2367      0.3927      0.1052      0.0634       0.019       1.223       0.616      14.470       0.138       2.739      19.303        0.08      41644.    0.4294  
        5.41      0.2762      0.4427      0.1043      0.0651       0.020       1.255       0.610      14.845       0.142       2.715      18.650        0.08      41735.    0.4130  
        6.19      0.3157      0.4883      0.1032      0.0667       0.020       1.286       0.604      15.214       0.145       2.685      17.999        0.08      41836.    0.3964  
