         20x10W                   (20x10W.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0942      0.0376       0.010       0.610       0.481       7.213       0.069       2.138      30.217        0.08      47529.    0.6145  
        0.44      0.0231      0.0563      0.0926      0.0379       0.010       0.615       0.472       7.276       0.069       2.100      29.425        0.08      47560.    0.5931  
        0.87      0.0461      0.1096      0.0908      0.0382       0.010       0.620       0.463       7.332       0.070       2.059      28.638        0.08      47594.    0.5716  
        1.31      0.0692      0.1599      0.0889      0.0384       0.010       0.624       0.453       7.378       0.070       2.016      27.856        0.08      47630.    0.5501  
        1.75      0.0922      0.2073      0.0868      0.0386       0.010       0.627       0.443       7.414       0.071       1.969      27.082        0.08      47669.    0.5287  
        2.18      0.1153      0.2518      0.0846      0.0387       0.010       0.629       0.432       7.439       0.071       1.920      26.315        0.08      47710.    0.5072  
        2.62      0.1383      0.2935      0.0823      0.0388       0.010       0.630       0.420       7.450       0.071       1.867      25.556        0.08      47754.    0.4858  
        3.06      0.1614      0.3323      0.0799      0.0388       0.010       0.629       0.407       7.446       0.071       1.811      24.805        0.08      47801.    0.4644  
        3.49      0.1844      0.3684      0.0773      0.0387       0.010       0.628       0.394       7.426       0.071       1.752      24.061        0.08      47850.    0.4431  
        3.93      0.2075      0.4018      0.0745      0.0385       0.010       0.625       0.380       7.389       0.071       1.690      23.323        0.08      47903.    0.4218  
        4.37      0.2305      0.4324      0.0716      0.0382       0.010       0.620       0.365       7.334       0.070       1.625      22.592        0.08      47959.    0.4006  
        4.80      0.2536      0.4603      0.0686      0.0378       0.010       0.614       0.350       7.260       0.069       1.557      21.865        0.08      48017.    0.3795  
        5.24      0.2766      0.4855      0.0655      0.0373       0.010       0.606       0.334       7.167       0.068       1.486      21.140        0.08      48079.    0.3585  
        5.68      0.2997      0.5080      0.0623      0.0367       0.009       0.596       0.317       7.053       0.067       1.412      20.416        0.08      48144.    0.3375  
        6.11      0.3227      0.5276      0.0589      0.0360       0.009       0.585       0.300       6.919       0.066       1.336      19.690        0.08      48212.    0.3166  
        6.55      0.3458      0.5443      0.0555      0.0352       0.009       0.572       0.283       6.765       0.065       1.258      18.959        0.08      48283.    0.2958  
        6.99      0.3688      0.5579      0.0519      0.0343       0.009       0.557       0.265       6.589       0.063       1.177      18.218        0.08      48358.    0.2749  
        7.42      0.3919      0.5682      0.0483      0.0333       0.009       0.540       0.246       6.391       0.061       1.094      17.463        0.08      48436.    0.2541  
        7.86      0.4149      0.5749      0.0445      0.0321       0.008       0.522       0.227       6.171       0.059       1.010      16.687        0.08      48517.    0.2333  
        8.30      0.4380      0.5776      0.0407      0.0309       0.008       0.501       0.208       5.929       0.057       0.924      15.884        0.08      48602.    0.2124  
        8.73      0.4610      0.5759      0.0368      0.0295       0.008       0.479       0.188       5.664       0.054       0.836      15.044        0.08      48690.    0.1913  
        9.17      0.4841      0.5688      0.0329      0.0280       0.007       0.454       0.168       5.376       0.051       0.746      14.153        0.08      48781.    0.1701  
        9.60      0.5071      0.5556      0.0289      0.0264       0.007       0.428       0.147       5.065       0.048       0.655      13.194        0.08      48876.    0.1486  
       10.04      0.5302      0.5346      0.0248      0.0246       0.006       0.400       0.127       4.730       0.045       0.563      12.144        0.08      48974.    0.1268  
       10.48      0.5532      0.5038      0.0207      0.0228       0.006       0.370       0.106       4.373       0.042       0.470      10.968        0.08      49076.    0.1046  
       10.91      0.5763      0.4603      0.0166      0.0208       0.005       0.337       0.085       3.993       0.038       0.377       9.619        0.08      49181.    0.0821  
       11.35      0.5993      0.3991      0.0124      0.0187       0.005       0.303       0.063       3.590       0.034       0.282       8.020        0.08      49290.    0.0593  
       11.79      0.6224      0.3126      0.0083      0.0165       0.004       0.268       0.042       3.166       0.030       0.188       6.050        0.08      49402.    0.0365  
       12.22      0.6454      0.1875      0.0041      0.0142       0.004       0.230       0.021       2.722       0.026       0.093       3.499        0.08      49517.    0.0149  
       12.66      0.6685     -0.0031     -0.0001      0.0117       0.003       0.191       0.000       2.255       0.022      -0.001      -0.056        0.08      49629.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0947      0.0341       0.070       2.216       1.932      52.435       0.250       8.593      16.711        0.16      95057.    0.6814  
        0.88      0.0231      0.0624      0.0930      0.0345       0.071       2.240       1.898      52.995       0.253       8.441      16.243        0.16      95119.    0.6565  
        1.75      0.0463      0.1213      0.0913      0.0348       0.072       2.261       1.861      53.495       0.255       8.278      15.780        0.16      95187.    0.6316  
        2.63      0.0694      0.1767      0.0893      0.0351       0.072       2.279       1.822      53.924       0.257       8.104      15.325        0.16      95259.    0.6069  
        3.51      0.0926      0.2287      0.0873      0.0353       0.073       2.293       1.780      54.269       0.259       7.918      14.878        0.16      95337.    0.5824  
        4.38      0.1157      0.2775      0.0851      0.0355       0.073       2.304       1.735      54.519       0.260       7.719      14.438        0.16      95420.    0.5580  
        5.26      0.1389      0.3230      0.0828      0.0356       0.073       2.310       1.688      54.660       0.261       7.508      14.007        0.16      95509.    0.5339  
        6.14      0.1620      0.3655      0.0803      0.0356       0.073       2.311       1.638      54.681       0.261       7.284      13.583        0.16      95603.    0.5100  
        7.01      0.1852      0.4049      0.0777      0.0355       0.073       2.306       1.584      54.569       0.261       7.047      13.168        0.16      95703.    0.4863  
        7.89      0.2083      0.4414      0.0749      0.0354       0.073       2.295       1.528      54.314       0.259       6.797      12.760        0.16      95809.    0.4628  
        8.77      0.2315      0.4751      0.0720      0.0351       0.072       2.278       1.469      53.908       0.257       6.534      12.359        0.16      95921.    0.4395  
        9.64      0.2546      0.5059      0.0690      0.0347       0.072       2.254       1.407      53.345       0.255       6.259      11.965        0.16      96039.    0.4164  
       10.52      0.2778      0.5340      0.0658      0.0343       0.071       2.224       1.343      52.619       0.251       5.974      11.577        0.16      96163.    0.3936  
       11.40      0.3009      0.5593      0.0626      0.0337       0.069       2.186       1.276      51.725       0.247       5.677      11.193        0.16      96294.    0.3710  
       12.27      0.3241      0.5818      0.0592      0.0330       0.068       2.141       1.208      50.660       0.242       5.371      10.812        0.16      96431.    0.3486  
       13.15      0.3472      0.6015      0.0557      0.0322       0.066       2.088       1.137      49.419       0.236       5.056      10.432        0.16      96575.    0.3263  
       14.03      0.3703      0.6182      0.0522      0.0312       0.064       2.028       1.064      47.997       0.229       4.731      10.052        0.16      96725.    0.3042  
       14.91      0.3935      0.6318      0.0485      0.0302       0.062       1.960       0.989      46.390       0.221       4.399       9.669        0.16      96882.    0.2821  
       15.78      0.4166      0.6421      0.0447      0.0290       0.060       1.885       0.912      44.595       0.213       4.059       9.280        0.16      97046.    0.2601  
       16.66      0.4398      0.6487      0.0409      0.0277       0.057       1.801       0.834      42.609       0.203       3.711       8.882        0.16      97216.    0.2380  
       17.54      0.4629      0.6510      0.0370      0.0263       0.054       1.709       0.755      40.428       0.193       3.358       8.469        0.16      97394.    0.2159  
       18.41      0.4861      0.6485      0.0330      0.0248       0.051       1.608       0.674      38.051       0.182       2.998       8.034        0.16      97578.    0.1935  
       19.29      0.5092      0.6400      0.0290      0.0231       0.048       1.499       0.592      35.476       0.169       2.633       7.568        0.16      97769.    0.1708  
       20.17      0.5324      0.6240      0.0250      0.0213       0.044       1.382       0.509      32.702       0.156       2.264       7.058        0.16      97967.    0.1477  
       21.04      0.5555      0.5981      0.0208      0.0194       0.040       1.257       0.425      29.732       0.142       1.890       6.483        0.16      98172.    0.1240  
       21.92      0.5787      0.5585      0.0167      0.0173       0.036       1.123       0.340      26.568       0.127       1.514       5.812        0.16      98384.    0.0995  
       22.80      0.6018      0.4988      0.0125      0.0151       0.031       0.981       0.255      23.215       0.111       1.136       4.991        0.16      98603.    0.0740  
       23.67      0.6250      0.4074      0.0084      0.0128       0.026       0.832       0.170      19.679       0.094       0.758       3.926        0.16      98829.    0.0475  
       24.55      0.6481      0.2607      0.0042      0.0104       0.021       0.675       0.085      15.969       0.076       0.379       2.423        0.16      99060.    0.0208  
       25.43      0.6713     -0.0009      0.0000      0.0078       0.016       0.509       0.000      12.052       0.058      -0.001      -0.008        0.16      99276.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0952      0.0329       0.228       4.799       4.370     170.321       0.542      19.439      11.638        0.24     142580.    0.7138  
        1.32      0.0232      0.0653      0.0936      0.0332       0.231       4.854       4.294     172.300       0.548      19.098      11.303        0.24     142674.    0.6871  
        2.64      0.0464      0.1268      0.0918      0.0336       0.233       4.904       4.211     174.076       0.554      18.731      10.972        0.24     142776.    0.6606  
        3.95      0.0696      0.1846      0.0898      0.0339       0.235       4.948       4.123     175.609       0.559      18.338      10.648        0.24     142885.    0.6343  
        5.27      0.0928      0.2388      0.0878      0.0341       0.237       4.983       4.028     176.856       0.563      17.917      10.331        0.24     143003.    0.6083  
        6.59      0.1160      0.2895      0.0856      0.0343       0.238       5.009       3.927     177.775       0.566      17.469      10.020        0.24     143128.    0.5826  
        7.91      0.1392      0.3369      0.0832      0.0344       0.239       5.024       3.820     178.324       0.568      16.991       9.716        0.24     143261.    0.5571  
        9.23      0.1624      0.3810      0.0808      0.0344       0.239       5.028       3.706     178.458       0.568      16.484       9.419        0.24     143403.    0.5320  
       10.55      0.1856      0.4220      0.0781      0.0344       0.239       5.019       3.585     178.135       0.567      15.947       9.129        0.24     143554.    0.5071  
       11.86      0.2088      0.4600      0.0754      0.0342       0.238       4.996       3.458     177.319       0.564      15.381       8.845        0.24     143714.    0.4826  
       13.18      0.2320      0.4951      0.0724      0.0339       0.236       4.958       3.324     175.982       0.560      14.787       8.568        0.24     143883.    0.4583  
       14.50      0.2552      0.5274      0.0694      0.0336       0.233       4.905       3.185     174.100       0.554      14.165       8.297        0.24     144061.    0.4344  
       15.82      0.2784      0.5569      0.0662      0.0331       0.230       4.836       3.039     171.657       0.546      13.518       8.030        0.24     144248.    0.4107  
       17.14      0.3016      0.5836      0.0629      0.0325       0.226       4.751       2.888     168.633       0.537      12.847       7.769        0.24     144445.    0.3873  
       18.45      0.3248      0.6076      0.0595      0.0318       0.221       4.649       2.732     165.012       0.525      12.153       7.510        0.24     144652.    0.3642  
       19.77      0.3480      0.6288      0.0560      0.0310       0.216       4.530       2.572     160.779       0.512      11.438       7.255        0.24     144869.    0.3413  
       21.09      0.3712      0.6472      0.0524      0.0301       0.209       4.393       2.406     155.919       0.496      10.704       7.000        0.24     145095.    0.3186  
       22.41      0.3944      0.6627      0.0487      0.0290       0.202       4.238       2.237     150.417       0.479       9.950       6.745        0.24     145332.    0.2960  
       23.73      0.4176      0.6749      0.0450      0.0278       0.193       4.064       2.064     144.261       0.459       9.179       6.489        0.24     145578.    0.2735  
       25.05      0.4408      0.6837      0.0411      0.0265       0.184       3.872       1.887     137.437       0.437       8.393       6.227        0.24     145835.    0.2510  
       26.36      0.4640      0.6886      0.0372      0.0251       0.174       3.661       1.707     129.937       0.414       7.591       5.958        0.24     146102.    0.2283  
       27.68      0.4872      0.6888      0.0332      0.0235       0.163       3.430       1.524     121.752       0.388       6.777       5.676        0.24     146380.    0.2055  
       29.00      0.5104      0.6834      0.0292      0.0218       0.151       3.180       1.338     112.879       0.359       5.950       5.375        0.24     146668.    0.1824  
       30.32      0.5336      0.6708      0.0251      0.0199       0.139       2.911       1.150     103.317       0.329       5.114       5.047        0.24     146966.    0.1588  
       31.64      0.5568      0.6487      0.0209      0.0180       0.125       2.622       0.960      93.068       0.296       4.269       4.677        0.24     147275.    0.1344  
       32.95      0.5800      0.6129      0.0167      0.0158       0.110       2.314       0.768      82.145       0.261       3.418       4.242        0.24     147595.    0.1091  
       34.27      0.6032      0.5563      0.0126      0.0136       0.095       1.988       0.576      70.564       0.225       2.562       3.703        0.24     147925.    0.0825  
       35.59      0.6264      0.4651      0.0084      0.0113       0.078       1.644       0.383      58.349       0.186       1.706       2.981        0.24     148264.    0.0542  
       36.91      0.6496      0.3081      0.0042      0.0088       0.061       1.283       0.191      45.528       0.145       0.850       1.904        0.24     148612.    0.0244  
       38.23      0.6728     -0.0077     -0.0001      0.0062       0.043       0.899      -0.003      31.913       0.102      -0.014      -0.046        0.24     148922.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0959      0.0323       0.532       8.385       7.824     396.816       0.947      34.799       8.943        0.32     190097.    0.7338  
        1.76      0.0232      0.0670      0.0942      0.0327       0.539       8.487       7.687     401.654       0.959      34.191       8.680        0.32     190224.    0.7061  
        3.52      0.0465      0.1300      0.0924      0.0330       0.544       8.579       7.540     406.007       0.969      33.537       8.423        0.32     190360.    0.6786  
        5.28      0.0697      0.1892      0.0905      0.0333       0.550       8.659       7.382     409.771       0.978      32.836       8.171        0.32     190506.    0.6514  
        7.04      0.0929      0.2446      0.0884      0.0336       0.554       8.724       7.213     412.847       0.986      32.086       7.925        0.32     190663.    0.6245  
        8.80      0.1162      0.2965      0.0862      0.0338       0.557       8.772       7.033     415.133       0.991      31.285       7.685        0.32     190831.    0.5979  
       10.56      0.1394      0.3449      0.0839      0.0339       0.559       8.801       6.842     416.525       0.994      30.432       7.450        0.32     191010.    0.5717  
       12.32      0.1626      0.3901      0.0814      0.0339       0.559       8.810       6.638     416.917       0.995      29.525       7.221        0.32     191200.    0.5458  
       14.08      0.1859      0.4320      0.0787      0.0339       0.558       8.795       6.422     416.207       0.994      28.565       6.999        0.32     191402.    0.5203  
       15.84      0.2091      0.4709      0.0759      0.0337       0.556       8.754       6.194     414.304       0.989      27.552       6.781        0.32     191616.    0.4952  
       17.60      0.2323      0.5069      0.0730      0.0335       0.551       8.688       5.955     411.139       0.982      26.488       6.570        0.32     191842.    0.4703  
       19.36      0.2556      0.5401      0.0699      0.0331       0.545       8.593       5.705     406.659       0.971      25.375       6.363        0.32     192080.    0.4459  
       21.12      0.2788      0.5705      0.0667      0.0326       0.538       8.469       5.444     400.816       0.957      24.216       6.161        0.32     192332.    0.4217  
       22.88      0.3020      0.5981      0.0634      0.0320       0.528       8.316       5.174     393.569       0.940      23.013       5.963        0.32     192595.    0.3979  
       24.64      0.3253      0.6231      0.0600      0.0313       0.516       8.133       4.894     384.878       0.919      21.770       5.768        0.32     192872.    0.3744  
       26.40      0.3485      0.6454      0.0565      0.0305       0.502       7.918       4.606     374.704       0.895      20.489       5.576        0.32     193162.    0.3511  
       28.16      0.3717      0.6649      0.0528      0.0295       0.487       7.671       4.310     363.010       0.867      19.172       5.386        0.32     193465.    0.3280  
       29.92      0.3950      0.6816      0.0491      0.0285       0.469       7.391       4.007     349.762       0.835      17.822       5.196        0.32     193782.    0.3051  
       31.68      0.4182      0.6952      0.0453      0.0273       0.449       7.077       3.696     334.926       0.800      16.440       5.005        0.32     194112.    0.2823  
       33.44      0.4414      0.7056      0.0414      0.0259       0.427       6.730       3.379     318.475       0.760      15.030       4.812        0.32     194455.    0.2595  
       35.20      0.4647      0.7122      0.0375      0.0244       0.403       6.347       3.056     300.384       0.717      13.593       4.615        0.32     194813.    0.2367  
       36.96      0.4879      0.7144      0.0334      0.0228       0.376       5.930       2.728     280.634       0.670      12.133       4.409        0.32     195184.    0.2136  
       38.72      0.5111      0.7113      0.0294      0.0211       0.348       5.477       2.395     259.215       0.619      10.652       4.190        0.32     195569.    0.1902  
