         20x11E                   (20x11E.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0874      0.0331       0.009       0.537       0.446       6.357       0.061       1.983      31.812        0.08      36675.    0.6232  
        0.45      0.0240      0.0617      0.0861      0.0335       0.009       0.544       0.439       6.433       0.061       1.953      30.958        0.08      36698.    0.6018  
        0.91      0.0480      0.1200      0.0847      0.0339       0.009       0.550       0.432       6.505       0.062       1.921      30.107        0.08      36723.    0.5804  
        1.36      0.0720      0.1750      0.0831      0.0342       0.009       0.555       0.424       6.570       0.063       1.885      29.263        0.08      36751.    0.5589  
        1.82      0.0960      0.2266      0.0815      0.0345       0.009       0.560       0.415       6.627       0.063       1.847      28.426        0.08      36780.    0.5375  
        2.27      0.1200      0.2750      0.0797      0.0348       0.009       0.564       0.406       6.675       0.064       1.807      27.598        0.08      36812.    0.5160  
        2.73      0.1440      0.3203      0.0777      0.0350       0.009       0.567       0.396       6.712       0.064       1.763      26.781        0.08      36847.    0.4946  
        3.18      0.1680      0.3624      0.0756      0.0351       0.009       0.569       0.386       6.735       0.064       1.716      25.975        0.08      36884.    0.4733  
        3.64      0.1920      0.4015      0.0734      0.0351       0.009       0.570       0.374       6.744       0.064       1.665      25.181        0.08      36923.    0.4520  
        4.09      0.2160      0.4376      0.0711      0.0351       0.009       0.569       0.362       6.736       0.064       1.612      24.397        0.08      36965.    0.4308  
        4.55      0.2400      0.4709      0.0685      0.0349       0.009       0.567       0.349       6.709       0.064       1.554      23.624        0.08      37010.    0.4097  
        5.00      0.2641      0.5012      0.0659      0.0347       0.009       0.563       0.336       6.663       0.064       1.494      22.860        0.08      37058.    0.3887  
        5.46      0.2881      0.5286      0.0630      0.0343       0.009       0.557       0.321       6.595       0.063       1.429      22.103        0.08      37108.    0.3676  
        5.91      0.3121      0.5532      0.0600      0.0339       0.009       0.550       0.306       6.503       0.062       1.361      21.349        0.08      37161.    0.3465  
        6.36      0.3361      0.5747      0.0569      0.0333       0.009       0.540       0.290       6.386       0.061       1.290      20.597        0.08      37217.    0.3254  
        6.82      0.3601      0.5932      0.0536      0.0325       0.008       0.528       0.273       6.244       0.060       1.215      19.840        0.08      37276.    0.3042  
