         20x15(WCAR-T6)           (20x15(WCAR-T6).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1035      0.0454       0.012       0.737       0.528       8.722       0.083       2.347      27.434        0.08      38073.    0.5846
        0.59      0.0309      0.0684      0.1028      0.0464       0.012       0.754       0.524       8.916       0.085       2.332      26.665        0.08      38104.    0.5664
        1.17      0.0618      0.1328      0.1020      0.0475       0.012       0.770       0.520       9.113       0.087       2.314      25.891        0.08      38139.    0.5479
        1.76      0.0927      0.1933      0.1011      0.0485       0.012       0.787       0.515       9.308       0.089       2.293      25.120        0.08      38178.    0.5291
        2.34      0.1236      0.2500      0.1000      0.0494       0.013       0.802       0.510       9.494       0.091       2.268      24.358        0.08      38221.    0.5103
        2.93      0.1545      0.3028      0.0987      0.0503       0.013       0.817       0.503       9.666       0.092       2.238      23.610        0.08      38269.    0.4913
        3.51      0.1854      0.3522      0.0971      0.0511       0.013       0.829       0.495       9.813       0.094       2.202      22.882        0.08      38322.    0.4723
        4.10      0.2163      0.3982      0.0952      0.0517       0.013       0.839       0.485       9.928       0.095       2.159      22.177        0.08      38380.    0.4533
        4.68      0.2472      0.4412      0.0930      0.0521       0.013       0.845       0.474      10.000       0.095       2.108      21.499        0.08      38443.    0.4342
        5.27      0.2781      0.4814      0.0904      0.0522       0.013       0.847       0.461      10.025       0.096       2.050      20.849        0.08      38511.    0.4152
        5.85      0.3090      0.5189      0.0874      0.0521       0.013       0.845       0.446       9.998       0.095       1.983      20.228        0.08      38585.    0.3963
        6.44      0.3399      0.5540      0.0842      0.0517       0.013       0.838       0.429       9.919       0.095       1.910      19.631        0.08      38664.    0.3774
        7.02      0.3708      0.5866      0.0807      0.0510       0.013       0.827       0.411       9.789       0.093       1.829      19.055        0.08      38748.    0.3585
        7.61      0.4017      0.6168      0.0768      0.0500       0.013       0.812       0.392       9.610       0.092       1.743      18.495        0.08      38837.    0.3397
        8.19      0.4326      0.6445      0.0728      0.0489       0.013       0.793       0.371       9.383       0.090       1.651      17.946        0.08      38932.    0.3208
        8.78      0.4635      0.6697      0.0686      0.0475       0.012       0.770       0.350       9.112       0.087       1.555      17.403        0.08      39032.    0.3019
        9.36      0.4944      0.6921      0.0641      0.0458       0.012       0.744       0.327       8.798       0.084       1.455      16.860        0.08      39137.    0.2829
        9.95      0.5253      0.7114      0.0595      0.0440       0.011       0.714       0.304       8.443       0.081       1.351      16.313        0.08      39248.    0.2637
       10.53      0.5562      0.7275      0.0548      0.0419       0.011       0.680       0.280       8.048       0.077       1.243      15.754        0.08      39364.    0.2444
       11.12      0.5871      0.7397      0.0500      0.0397       0.010       0.644       0.255       7.616       0.073       1.133      15.176        0.08      39485.    0.2247
