         20x15C                   (20x15C.dat)                                                                                                                                      
         v2022-0915                                                                                                                                                                 
         Simulation Date: 08/22/2023                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0904      0.0391       0.010       0.635       0.461       7.513       0.072       2.050      27.817        0.08      33408.    0.5540  
        0.61      0.0321      0.0720      0.0899      0.0401       0.010       0.651       0.458       7.707       0.074       2.039      26.980        0.08      33434.    0.5359  
        1.22      0.0642      0.1394      0.0894      0.0412       0.011       0.669       0.456       7.909       0.076       2.027      26.130        0.08      33463.    0.5175  
        1.83      0.0964      0.2022      0.0887      0.0423       0.011       0.686       0.452       8.118       0.078       2.012      25.273        0.08      33496.    0.4987  
        2.43      0.1285      0.2605      0.0879      0.0434       0.011       0.704       0.448       8.330       0.080       1.995      24.417        0.08      33533.    0.4797  
        3.04      0.1606      0.3143      0.0870      0.0445       0.011       0.722       0.444       8.540       0.082       1.974      23.566        0.08      33574.    0.4606  
        3.65      0.1927      0.3637      0.0859      0.0455       0.012       0.739       0.438       8.744       0.084       1.949      22.728        0.08      33620.    0.4414  
        4.26      0.2249      0.4090      0.0846      0.0465       0.012       0.755       0.432       8.936       0.085       1.920      21.906        0.08      33670.    0.4222  
        4.87      0.2570      0.4503      0.0831      0.0474       0.012       0.770       0.424       9.109       0.087       1.885      21.105        0.08      33725.    0.4031  
