         20x18(F1-GT)             (20x18(F1-GT).dat)
         v2022-0915
         Simulation Date: 10/10/2023

         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                

         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======

         DEFINITIONS:
         J=V/nD (advance ratio) 
         Ct=T/(rho * n**2 * D**4) (thrust coef.)
         Cp=P/(rho * n**3 * D**5) (power coef.)
         Pe=Ct*J/Cp (efficiency) 
         V  (model speed in MPH) 
         Mach (at prop tip)  
         Reyn (at 75% of span) 
         FOM (Figure of Merit)


         PROP RPM =       1000

         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -
        0.00      0.0000      0.0000      0.1075      0.0483       0.012       0.784       0.548       9.276       0.089       2.439      26.811        0.08      38467.    0.5825
        0.64      0.0337      0.0728      0.1069      0.0495       0.013       0.803       0.545       9.501       0.091       2.425      26.025        0.08      38502.    0.5637
        1.28      0.0674      0.1412      0.1062      0.0507       0.013       0.823       0.541       9.734       0.093       2.408      25.230        0.08      38541.    0.5447
        1.92      0.1011      0.2051      0.1053      0.0519       0.013       0.843       0.537       9.971       0.095       2.389      24.434        0.08      38585.    0.5254
        2.55      0.1348      0.2647      0.1043      0.0532       0.014       0.863       0.532      10.206       0.097       2.366      23.643        0.08      38634.    0.5059
        3.19      0.1685      0.3199      0.1031      0.0543       0.014       0.882       0.526      10.433       0.100       2.339      22.863        0.08      38689.    0.4864
        3.83      0.2022      0.3711      0.1017      0.0554       0.014       0.900       0.519      10.644       0.102       2.307      22.100        0.08      38750.    0.4669
        4.47      0.2359      0.4184      0.1000      0.0564       0.015       0.915       0.510      10.829       0.103       2.268      21.358        0.08      38817.    0.4475
        5.11      0.2697      0.4621      0.0980      0.0572       0.015       0.928       0.500      10.978       0.105       2.222      20.641        0.08      38890.    0.4280
        5.75      0.3034      0.5025      0.0956      0.0577       0.015       0.937       0.487      11.081       0.106       2.168      19.951        0.08      38969.    0.4086
        6.38      0.3371      0.5398      0.0928      0.0580       0.015       0.941       0.473      11.128       0.106       2.105      19.288        0.08      39055.    0.3893
        7.02      0.3708      0.5742      0.0896      0.0579       0.015       0.939       0.457      11.115       0.106       2.033      18.652        0.08      39147.    0.3700
        7.66      0.4045      0.6059      0.0861      0.0575       0.015       0.933       0.439      11.038       0.105       1.953      18.041        0.08      39246.    0.3507
        8.30      0.4382      0.6349      0.0822      0.0567       0.015       0.921       0.419      10.897       0.104       1.865      17.452        0.08      39352.    0.3315
        8.94      0.4719      0.6614      0.0781      0.0557       0.014       0.904       0.398      10.694       0.102       1.770      16.881        0.08      39463.    0.3124
        9.58      0.5056      0.6853      0.0736      0.0543       0.014       0.882       0.375      10.430       0.100       1.670      16.324        0.08      39582.    0.2934
       10.21      0.5393      0.7065      0.0690      0.0526       0.014       0.854       0.352      10.107       0.097       1.564      15.778        0.08      39706.    0.2745
       10.85      0.5730      0.7250      0.0641      0.0506       0.013       0.822       0.327       9.725       0.093       1.453      15.238        0.08      39837.    0.2555
       11.49      0.6067      0.7404      0.0590      0.0484       0.012       0.785       0.301       9.288       0.089       1.339      14.698        0.08      39974.    0.2366
