         20x22.5EP(CD)            (20x225EP(CD).dat)                                                                                                                                
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1192      0.0686       0.018       1.113       0.608      13.171       0.126       2.704      20.937        0.08      42365.    0.4790  
        0.84      0.0444      0.0756      0.1189      0.0698       0.018       1.133       0.606      13.399       0.128       2.697      20.525        0.08      42416.    0.4689  
        1.68      0.0887      0.1478      0.1186      0.0712       0.018       1.155       0.605      13.664       0.130       2.690      20.074        0.08      42476.    0.4580  
        2.52      0.1331      0.2164      0.1183      0.0727       0.019       1.180       0.603      13.965       0.133       2.682      19.586        0.08      42546.    0.4462  
        3.36      0.1774      0.2808      0.1179      0.0745       0.019       1.209       0.601      14.303       0.137       2.674      19.066        0.08      42626.    0.4337  
        4.20      0.2218      0.3410      0.1175      0.0764       0.020       1.240       0.599      14.673       0.140       2.665      18.519        0.08      42717.    0.4205  
        5.04      0.2661      0.3966      0.1170      0.0785       0.020       1.274       0.596      15.071       0.144       2.653      17.951        0.08      42819.    0.4067  
        5.88      0.3105      0.4477      0.1163      0.0807       0.021       1.309       0.593      15.489       0.148       2.638      17.369        0.08      42934.    0.3924  
        6.72      0.3548      0.4943      0.1155      0.0829       0.021       1.345       0.589      15.916       0.152       2.619      16.779        0.08      43061.    0.3777  
        7.56      0.3992      0.5366      0.1144      0.0851       0.022       1.381       0.583      16.338       0.156       2.594      16.190        0.08      43201.    0.3627  
        8.40      0.4435      0.5747      0.1130      0.0872       0.022       1.415       0.576      16.739       0.160       2.562      15.607        0.08      43353.    0.3475  
        9.24      0.4879      0.6090      0.1112      0.0890       0.023       1.445       0.567      17.100       0.163       2.521      15.036        0.08      43519.    0.3321  
       10.08      0.5322      0.6398      0.1089      0.0906       0.023       1.471       0.555      17.400       0.166       2.471      14.480        0.08      43699.    0.3166  
       10.92      0.5766      0.6674      0.1062      0.0918       0.024       1.489       0.542      17.619       0.168       2.409      13.942        0.08      43891.    0.3010  
       11.76      0.6209      0.6921      0.1029      0.0924       0.024       1.499       0.525      17.735       0.169       2.335      13.424        0.08      44097.    0.2853  
       12.60      0.6653      0.7140      0.0991      0.0923       0.024       1.498       0.505      17.725       0.169       2.247      12.926        0.08      44316.    0.2695  
       13.44      0.7096      0.7334      0.0945      0.0914       0.024       1.484       0.482      17.560       0.168       2.144      12.448        0.08      44548.    0.2535  
       14.28      0.7540      0.7505      0.0892      0.0897       0.023       1.455       0.455      17.217       0.164       2.024      11.988        0.08      44792.    0.2373  
       15.12      0.7983      0.7651      0.0833      0.0869       0.022       1.411       0.425      16.692       0.159       1.890      11.543        0.08      45049.    0.2207  
       15.96      0.8427      0.7770      0.0768      0.0833       0.021       1.352       0.392      15.994       0.153       1.742      11.105        0.08      45318.    0.2039  
       16.80      0.8870      0.7855      0.0698      0.0789       0.020       1.280       0.356      15.141       0.145       1.584      10.666        0.08      45599.    0.1867  
       17.64      0.9314      0.7898      0.0625      0.0737       0.019       1.196       0.319      14.151       0.135       1.417      10.214        0.08      45891.    0.1691  
       18.48      0.9757      0.7886      0.0549      0.0679       0.017       1.102       0.280      13.038       0.125       1.245       9.735        0.08      46194.    0.1511  
       19.32      1.0201      0.7801      0.0471      0.0615       0.016       0.999       0.240      11.817       0.113       1.067       9.211        0.08      46508.    0.1324  
       20.16      1.0644      0.7613      0.0391      0.0547       0.014       0.888       0.199      10.502       0.100       0.887       8.615        0.08      46833.    0.1129  
       21.00      1.1088      0.7275      0.0311      0.0474       0.012       0.770       0.159       9.105       0.087       0.706       7.902        0.08      47169.    0.0923  
       21.84      1.1531      0.6698      0.0231      0.0398       0.010       0.646       0.118       7.642       0.073       0.524       6.996        0.08      47514.    0.0705  
       22.68      1.1975      0.5707      0.0152      0.0319       0.008       0.518       0.078       6.127       0.059       0.345       5.740        0.08      47870.    0.0469  
       23.52      1.2418      0.3886      0.0075      0.0238       0.006       0.387       0.038       4.580       0.044       0.169       3.769        0.09      48235.    0.0216  
       24.36      1.2862     -0.0027      0.0000      0.0157       0.004       0.255       0.000       3.017       0.029      -0.001      -0.026        0.09      48610.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1195      0.0654       0.135       4.245       2.438     100.436       0.480      10.843      11.009        0.16      84729.    0.5043  
        1.69      0.0446      0.0798      0.1192      0.0666       0.137       4.323       2.432     102.294       0.488      10.816      10.782        0.16      84832.    0.4933  
        3.38      0.0892      0.1560      0.1189      0.0680       0.140       4.414       2.426     104.450       0.499      10.790      10.534        0.16      84953.    0.4813  
        5.07      0.1337      0.2280      0.1186      0.0696       0.143       4.518       2.420     106.910       0.510      10.763      10.266        0.16      85093.    0.4685  
        6.75      0.1783      0.2955      0.1183      0.0714       0.147       4.635       2.413     109.667       0.524      10.733       9.980        0.16      85254.    0.4548  
        8.44      0.2229      0.3583      0.1179      0.0734       0.151       4.763       2.405     112.699       0.538      10.698       9.680        0.16      85438.    0.4404  
       10.13      0.2675      0.4161      0.1174      0.0755       0.156       4.901       2.395     115.965       0.554      10.654       9.369        0.16      85644.    0.4254  
       11.82      0.3120      0.4690      0.1168      0.0777       0.160       5.046       2.382     119.402       0.570      10.597       9.050        0.16      85875.    0.4098  
       13.51      0.3566      0.5170      0.1160      0.0800       0.165       5.195       2.366     122.922       0.587      10.523       8.729        0.16      86132.    0.3939  
       15.20      0.4012      0.5603      0.1149      0.0823       0.170       5.342       2.344     126.414       0.604      10.425       8.409        0.16      86414.    0.3777  
       16.89      0.4458      0.5991      0.1135      0.0845       0.174       5.483       2.315     129.742       0.619      10.298       8.094        0.16      86722.    0.3613  
       18.57      0.4904      0.6340      0.1117      0.0864       0.178       5.610       2.279     132.753       0.634      10.136       7.786        0.16      87058.    0.3448  
       20.26      0.5349      0.6651      0.1095      0.0881       0.181       5.717       2.233     135.279       0.646       9.933       7.487        0.16      87420.    0.3283  
       21.95      0.5795      0.6929      0.1067      0.0893       0.184       5.796       2.177     137.146       0.655       9.684       7.200        0.16      87809.    0.3117  
       23.64      0.6241      0.7177      0.1034      0.0899       0.185       5.839       2.110     138.174       0.660       9.384       6.925        0.16      88224.    0.2951  
       25.33      0.6687      0.7398      0.0995      0.0899       0.185       5.839       2.030     138.161       0.660       9.027       6.663        0.16      88666.    0.2785  
       27.02      0.7133      0.7595      0.0949      0.0891       0.184       5.785       1.935     136.880       0.654       8.608       6.413        0.16      89134.    0.2617  
       28.71      0.7578      0.7770      0.0895      0.0873       0.180       5.669       1.826     134.141       0.640       8.122       6.174        0.16      89628.    0.2448  
       30.39      0.8024      0.7923      0.0835      0.0846       0.174       5.490       1.703     129.901       0.620       7.575       5.946        0.16      90147.    0.2276  
       32.08      0.8470      0.8052      0.0769      0.0809       0.167       5.251       1.568     124.248       0.593       6.975       5.725        0.16      90690.    0.2103  
       33.77      0.8916      0.8153      0.0698      0.0764       0.157       4.958       1.424     117.314       0.560       6.335       5.506        0.16      91256.    0.1928  
       35.46      0.9361      0.8217      0.0624      0.0711       0.146       4.616       1.273     109.235       0.522       5.663       5.286        0.17      91846.    0.1750  
