         21.5x10WPN               (215x10WPN.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0847      0.0318       0.012       0.743       0.579       8.796       0.084       2.575      29.845        0.09      46061.    0.6191  
        0.44      0.0216      0.0562      0.0832      0.0321       0.012       0.750       0.569       8.876       0.085       2.530      29.062        0.09      46088.    0.5976  
        0.88      0.0433      0.1094      0.0816      0.0323       0.012       0.756       0.558       8.949       0.085       2.482      28.280        0.09      46117.    0.5760  
        1.32      0.0649      0.1596      0.0800      0.0325       0.012       0.762       0.546       9.012       0.086       2.430      27.501        0.09      46148.    0.5543  
        1.76      0.0866      0.2068      0.0781      0.0327       0.012       0.766       0.534       9.064       0.087       2.376      26.729        0.09      46182.    0.5326  
        2.21      0.1082      0.2510      0.0762      0.0329       0.012       0.769       0.521       9.102       0.087       2.317      25.962        0.09      46217.    0.5109  
        2.65      0.1299      0.2924      0.0742      0.0330       0.012       0.771       0.507       9.125       0.087       2.255      25.201        0.09      46256.    0.4893  
        3.09      0.1515      0.3310      0.0720      0.0330       0.012       0.772       0.492       9.131       0.087       2.189      24.448        0.09      46296.    0.4676  
        3.53      0.1732      0.3667      0.0697      0.0329       0.012       0.771       0.476       9.118       0.087       2.119      23.701        0.09      46339.    0.4461  
