         21.5x13EPN               (215x13EPN.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0919      0.0353       0.013       0.823       0.626       9.732       0.093       2.783      29.158        0.09      42722.    0.6294  
        0.53      0.0259      0.0656      0.0906      0.0358       0.013       0.835       0.617       9.878       0.094       2.746      28.345        0.09      42752.    0.6078  
        1.06      0.0519      0.1275      0.0893      0.0363       0.013       0.847       0.608      10.018       0.096       2.705      27.533        0.09      42784.    0.5860  
        1.58      0.0778      0.1857      0.0878      0.0368       0.014       0.858       0.598      10.151       0.097       2.661      26.727        0.09      42819.    0.5641  
        2.11      0.1038      0.2402      0.0862      0.0373       0.014       0.868       0.587      10.273       0.098       2.612      25.929        0.09      42858.    0.5423  
        2.64      0.1297      0.2911      0.0845      0.0377       0.014       0.877       0.575      10.382       0.099       2.560      25.141        0.09      42899.    0.5205  
        3.17      0.1557      0.3386      0.0826      0.0380       0.014       0.885       0.563      10.473       0.100       2.502      24.366        0.09      42944.    0.4988  
        3.70      0.1816      0.3827      0.0806      0.0382       0.014       0.891       0.549      10.544       0.101       2.441      23.604        0.09      42993.    0.4772  
        4.23      0.2076      0.4235      0.0784      0.0384       0.014       0.895       0.534      10.591       0.101       2.374      22.856        0.09      43045.    0.4557  
