         21x10.5PN                (21x105PN.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0867      0.0331       0.011       0.685       0.537       8.110       0.077       2.390      30.047        0.08      47153.    0.6154  
        0.45      0.0225      0.0574      0.0853      0.0334       0.011       0.692       0.528       8.192       0.078       2.350      29.255        0.08      47181.    0.5942  
        0.90      0.0450      0.1117      0.0837      0.0337       0.011       0.699       0.519       8.267       0.079       2.308      28.464        0.08      47212.    0.5729  
        1.34      0.0675      0.1629      0.0821      0.0340       0.011       0.704       0.509       8.335       0.080       2.262      27.677        0.08      47246.    0.5515  
        1.79      0.0900      0.2111      0.0803      0.0342       0.011       0.709       0.498       8.392       0.080       2.213      26.894        0.08      47282.    0.5301  
        2.24      0.1125      0.2563      0.0784      0.0344       0.011       0.713       0.486       8.438       0.081       2.161      26.118        0.08      47320.    0.5087  
        2.69      0.1351      0.2985      0.0764      0.0346       0.011       0.716       0.473       8.469       0.081       2.105      25.349        0.08      47361.    0.4873  
        3.13      0.1576      0.3377      0.0742      0.0346       0.011       0.717       0.460       8.485       0.081       2.046      24.587        0.08      47406.    0.4659  
        3.58      0.1801      0.3741      0.0719      0.0346       0.011       0.717       0.446       8.481       0.081       1.982      23.832        0.08      47452.    0.4445  
