         21x13.5EPN               (21x135EPN.dat)                                                                                                                                   
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0955      0.0379       0.012       0.785       0.592       9.287       0.089       2.632      28.897        0.08      41273.    0.6211  
        0.54      0.0273      0.0670      0.0943      0.0385       0.013       0.798       0.584       9.440       0.090       2.600      28.083        0.08      41303.    0.5999  
        1.09      0.0547      0.1300      0.0930      0.0391       0.013       0.811       0.577       9.590       0.092       2.565      27.270        0.08      41336.    0.5786  
        1.63      0.0820      0.1893      0.0916      0.0397       0.013       0.823       0.568       9.733       0.093       2.526      26.461        0.08      41373.    0.5571  
        2.18      0.1094      0.2447      0.0901      0.0403       0.013       0.834       0.558       9.868       0.094       2.483      25.660        0.08      41413.    0.5357  
        2.72      0.1367      0.2964      0.0884      0.0408       0.013       0.844       0.548       9.990       0.095       2.436      24.869        0.08      41456.    0.5143  
        3.26      0.1641      0.3446      0.0865      0.0412       0.014       0.853       0.536      10.096       0.096       2.385      24.090        0.08      41503.    0.4929  
        3.81      0.1914      0.3893      0.0845      0.0416       0.014       0.861       0.524      10.183       0.097       2.329      23.326        0.08      41554.    0.4717  
        4.35      0.2188      0.4306      0.0823      0.0418       0.014       0.866       0.510      10.247       0.098       2.269      22.577        0.08      41609.    0.4505  
        4.89      0.2461      0.4687      0.0799      0.0420       0.014       0.869       0.495      10.283       0.098       2.203      21.845        0.08      41668.    0.4295  
        5.44      0.2735      0.5037      0.0773      0.0420       0.014       0.870       0.479      10.289       0.098       2.132      21.128        0.08      41731.    0.4087  
        5.98      0.3008      0.5357      0.0746      0.0419       0.014       0.867       0.462      10.260       0.098       2.055      20.427        0.08      41798.    0.3880  
        6.53      0.3282      0.5648      0.0716      0.0416       0.014       0.862       0.444      10.193       0.097       1.973      19.740        0.08      41870.    0.3674  
        7.07      0.3555      0.5909      0.0684      0.0412       0.014       0.852       0.424      10.085       0.096       1.886      19.066        0.08      41946.    0.3469  
        7.61      0.3829      0.6142      0.0650      0.0405       0.013       0.839       0.403       9.932       0.095       1.792      18.401        0.08      42026.    0.3264  
        8.16      0.4102      0.6345      0.0614      0.0397       0.013       0.822       0.381       9.730       0.093       1.693      17.742        0.08      42110.    0.3058  
        8.70      0.4375      0.6517      0.0576      0.0387       0.013       0.801       0.357       9.478       0.091       1.588      17.084        0.08      42199.    0.2852  
        9.24      0.4649      0.6656      0.0536      0.0374       0.012       0.776       0.332       9.177       0.088       1.478      16.422        0.08      42293.    0.2645  
        9.79      0.4922      0.6758      0.0495      0.0360       0.012       0.746       0.307       8.829       0.084       1.363      15.748        0.08      42391.    0.2436  
       10.33      0.5196      0.6820      0.0452      0.0344       0.011       0.713       0.280       8.436       0.081       1.245      15.055        0.08      42493.    0.2226  
       10.88      0.5469      0.6833      0.0408      0.0326       0.011       0.676       0.253       8.000       0.076       1.124      14.331        0.08      42599.    0.2013  
       11.42      0.5743      0.6790      0.0363      0.0307       0.010       0.636       0.225       7.524       0.072       1.001      13.562        0.08      42710.    0.1797  
       11.96      0.6016      0.6678      0.0317      0.0286       0.009       0.592       0.197       7.009       0.067       0.875      12.732        0.08      42825.    0.1578  
       12.51      0.6290      0.6478      0.0271      0.0264       0.009       0.546       0.168       6.459       0.062       0.748      11.814        0.08      42945.    0.1354  
       13.05      0.6563      0.6165      0.0225      0.0240       0.008       0.497       0.140       5.875       0.056       0.621      10.774        0.09      43069.    0.1125  
       13.60      0.6837      0.5697      0.0179      0.0215       0.007       0.445       0.111       5.260       0.050       0.493       9.558        0.09      43197.    0.0889  
       14.14      0.7110      0.5009      0.0133      0.0189       0.006       0.390       0.082       4.620       0.044       0.366       8.082        0.09      43329.    0.0648  
       14.68      0.7384      0.3992      0.0087      0.0161       0.005       0.334       0.054       3.957       0.038       0.241       6.202        0.09      43466.    0.0403  
       15.23      0.7657      0.2441      0.0043      0.0134       0.004       0.277       0.026       3.277       0.031       0.118       3.657        0.09      43607.    0.0166  
       15.77      0.7930     -0.0068     -0.0001      0.0105       0.003       0.218      -0.001       2.585       0.025      -0.002      -0.098        0.09      43752.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
