         22x13EPN                 (22x13EPN.dat)                                                                                                                                    
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0888      0.0332       0.014       0.867       0.663      10.260       0.098       2.948      29.299        0.09      43574.    0.6361  
        0.53      0.0253      0.0658      0.0876      0.0337       0.014       0.880       0.654      10.414       0.099       2.907      28.466        0.09      43603.    0.6138  
        1.06      0.0506      0.1278      0.0862      0.0342       0.014       0.893       0.644      10.563       0.101       2.863      27.637        0.09      43634.    0.5914  
        1.58      0.0760      0.1860      0.0848      0.0346       0.014       0.905       0.633      10.702       0.102       2.814      26.815        0.09      43669.    0.5689  
        2.11      0.1013      0.2405      0.0832      0.0350       0.015       0.915       0.621      10.829       0.103       2.761      26.004        0.09      43707.    0.5465  
        2.64      0.1266      0.2914      0.0814      0.0354       0.015       0.925       0.608      10.939       0.104       2.704      25.204        0.09      43747.    0.5241  
        3.17      0.1519      0.3388      0.0795      0.0357       0.015       0.932       0.594      11.030       0.105       2.641      24.417        0.09      43791.    0.5018  
        3.69      0.1772      0.3828      0.0775      0.0359       0.015       0.938       0.579      11.098       0.106       2.573      23.646        0.09      43839.    0.4797  
        4.22      0.2026      0.4235      0.0753      0.0360       0.015       0.941       0.562      11.138       0.106       2.500      22.889        0.09      43890.    0.4577  
        4.75      0.2279      0.4610      0.0729      0.0360       0.015       0.942       0.544      11.148       0.106       2.421      22.149        0.09      43945.    0.4359  
        5.28      0.2532      0.4954      0.0704      0.0360       0.015       0.940       0.525      11.124       0.106       2.337      21.423        0.09      44003.    0.4142  
        5.80      0.2785      0.5269      0.0677      0.0358       0.015       0.935       0.505      11.062       0.106       2.247      20.711        0.09      44065.    0.3926  
        6.33      0.3038      0.5553      0.0648      0.0354       0.015       0.926       0.484      10.960       0.105       2.151      20.010        0.09      44131.    0.3711  
        6.86      0.3292      0.5808      0.0617      0.0350       0.015       0.914       0.461      10.815       0.103       2.049      19.319        0.09      44200.    0.3497  
        7.39      0.3545      0.6033      0.0585      0.0344       0.014       0.898       0.436      10.624       0.101       1.941      18.634        0.09      44274.    0.3283  
        7.91      0.3798      0.6227      0.0551      0.0336       0.014       0.878       0.411      10.387       0.099       1.829      17.952        0.09      44351.    0.3070  
        8.44      0.4051      0.6390      0.0515      0.0327       0.014       0.854       0.385      10.104       0.096       1.711      17.269        0.09      44433.    0.2857  
        8.97      0.4305      0.6518      0.0479      0.0316       0.013       0.826       0.357       9.778       0.093       1.590      16.578        0.09      44518.    0.2643  
        9.50      0.4558      0.6608      0.0441      0.0304       0.013       0.795       0.329       9.409       0.090       1.465      15.876        0.09      44607.    0.2430  
       10.02      0.4811      0.6658      0.0403      0.0291       0.012       0.760       0.301       8.998       0.086       1.337      15.152        0.09      44700.    0.2216  
       10.55      0.5064      0.6659      0.0363      0.0276       0.011       0.722       0.271       8.545       0.082       1.206      14.398        0.09      44797.    0.2000  
       11.08      0.5317      0.6605      0.0323      0.0260       0.011       0.681       0.241       8.051       0.077       1.074      13.601        0.09      44898.    0.1782  
       11.61      0.5571      0.6483      0.0283      0.0243       0.010       0.636       0.211       7.519       0.072       0.940      12.743        0.09      45003.    0.1562  
       12.13      0.5824      0.6278      0.0242      0.0225       0.009       0.587       0.181       6.949       0.066       0.804      11.802        0.09      45112.    0.1338  
       12.66      0.6077      0.5962      0.0201      0.0205       0.009       0.536       0.150       6.343       0.061       0.668      10.743        0.09      45225.    0.1111  
       13.19      0.6330      0.5500      0.0160      0.0184       0.008       0.482       0.120       5.704       0.054       0.532       9.513        0.09      45342.    0.0878  
       13.72      0.6583      0.4831      0.0119      0.0163       0.007       0.426       0.089       5.035       0.048       0.397       8.034        0.09      45464.    0.0640  
       14.24      0.6837      0.3851      0.0079      0.0140       0.006       0.367       0.059       4.340       0.041       0.262       6.168        0.09      45589.    0.0400  
       14.77      0.7090      0.2375      0.0039      0.0117       0.005       0.306       0.029       3.622       0.035       0.130       3.668        0.09      45717.    0.0167  
       15.30      0.7343      0.0016      0.0000      0.0093       0.004       0.244       0.000       2.886       0.028       0.001       0.025        0.09      45849.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0891      0.0310       0.103       3.237       2.662      76.596       0.366      11.841      15.763        0.17      87146.    0.6859  
        1.06      0.0254      0.0710      0.0879      0.0315       0.104       3.293       2.626      77.920       0.372      11.679      15.284        0.17      87204.    0.6605  
        2.12      0.0509      0.1376      0.0866      0.0320       0.106       3.347       2.586      79.197       0.378      11.501      14.809        0.17      87268.    0.6351  
        3.18      0.0763      0.1998      0.0851      0.0325       0.108       3.398       2.542      80.402       0.384      11.307      14.340        0.17      87337.    0.6098  
        4.24      0.1017      0.2579      0.0835      0.0329       0.109       3.445       2.494      81.508       0.389      11.095      13.881        0.17      87413.    0.5847  
        5.30      0.1271      0.3119      0.0818      0.0333       0.111       3.486       2.442      82.486       0.394      10.864      13.430        0.17      87495.    0.5598  
        6.36      0.1526      0.3620      0.0799      0.0337       0.112       3.521       2.386      83.306       0.398      10.613      12.991        0.17      87584.    0.5352  
        7.42      0.1780      0.4084      0.0779      0.0339       0.113       3.547       2.325      83.936       0.401      10.340      12.562        0.17      87680.    0.5109  
        8.48      0.2034      0.4513      0.0756      0.0341       0.113       3.565       2.259      84.345       0.403      10.046      12.145        0.17      87782.    0.4868  
        9.53      0.2288      0.4907      0.0732      0.0342       0.113       3.571       2.187      84.502       0.403       9.729      11.740        0.17      87892.    0.4631  
       10.59      0.2543      0.5269      0.0707      0.0341       0.113       3.566       2.111      84.378       0.403       9.388      11.346        0.18      88010.    0.4396  
       11.65      0.2797      0.5600      0.0679      0.0339       0.113       3.548       2.029      83.946       0.401       9.024      10.962        0.18      88135.    0.4165  
       12.71      0.3051      0.5901      0.0650      0.0336       0.112       3.515       1.942      83.181       0.397       8.637      10.588        0.18      88267.    0.3935  
       13.77      0.3305      0.6172      0.0619      0.0332       0.110       3.468       1.850      82.058       0.392       8.227      10.223        0.18      88408.    0.3708  
       14.83      0.3560      0.6414      0.0587      0.0326       0.108       3.404       1.752      80.551       0.385       7.793       9.865        0.18      88556.    0.3483  
       15.89      0.3814      0.6627      0.0552      0.0318       0.105       3.324       1.650      78.657       0.376       7.337       9.512        0.18      88712.    0.3258  
       16.95      0.4068      0.6809      0.0517      0.0309       0.102       3.228       1.543      76.384       0.365       6.864       9.163        0.18      88876.    0.3036  
       18.01      0.4322      0.6959      0.0480      0.0298       0.099       3.116       1.433      73.740       0.352       6.374       8.814        0.18      89048.    0.2814  
       19.07      0.4577      0.7076      0.0442      0.0286       0.095       2.989       1.320      70.729       0.338       5.871       8.464        0.18      89227.    0.2593  
