         25x12.5E                 (25x125E.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.0831      0.0289       0.023       1.432       1.034      16.940       0.162       4.601      27.694        0.10      58210.    0.6610  
        0.53      0.0223      0.0622      0.0817      0.0292       0.023       1.447       1.017      17.118       0.163       4.523      26.942        0.10      58244.    0.6376  
        1.05      0.0445      0.1210      0.0802      0.0295       0.023       1.460       0.998      17.279       0.165       4.439      26.195        0.10      58281.    0.6142  
        1.58      0.0668      0.1764      0.0785      0.0297       0.023       1.473       0.978      17.422       0.166       4.349      25.456        0.10      58321.    0.5908  
        2.11      0.0890      0.2285      0.0768      0.0299       0.024       1.483       0.956      17.541       0.168       4.253      24.726        0.10      58364.    0.5675  
        2.64      0.1113      0.2773      0.0750      0.0301       0.024       1.490       0.933      17.634       0.168       4.151      24.006        0.10      58410.    0.5443  
        3.16      0.1336      0.3229      0.0730      0.0302       0.024       1.496       0.909      17.696       0.169       4.043      23.296        0.10      58459.    0.5213  
        3.69      0.1558      0.3655      0.0709      0.0302       0.024       1.498       0.883      17.722       0.169       3.927      22.596        0.10      58511.    0.4983  
        4.22      0.1781      0.4049      0.0687      0.0302       0.024       1.497       0.855      17.709       0.169       3.805      21.907        0.10      58566.    0.4755  
        4.74      0.2004      0.4414      0.0664      0.0301       0.024       1.492       0.826      17.654       0.169       3.675      21.228        0.10      58625.    0.4529  
        5.27      0.2226      0.4750      0.0639      0.0299       0.024       1.483       0.795      17.550       0.168       3.538      20.557        0.10      58688.    0.4303  
        5.80      0.2449      0.5056      0.0613      0.0297       0.023       1.470       0.763      17.395       0.166       3.394      19.894        0.10      58754.    0.4078  
        6.32      0.2671      0.5334      0.0585      0.0293       0.023       1.452       0.729      17.183       0.164       3.242      19.237        0.10      58824.    0.3854  
        6.85      0.2894      0.5582      0.0557      0.0289       0.023       1.429       0.693      16.912       0.161       3.082      18.584        0.10      58898.    0.3631  
        7.38      0.3117      0.5800      0.0527      0.0283       0.022       1.401       0.656      16.581       0.158       2.916      17.932        0.10      58975.    0.3408  
        7.91      0.3339      0.5988      0.0495      0.0276       0.022       1.369       0.617      16.191       0.155       2.743      17.277        0.10      59057.    0.3185  
        8.43      0.3562      0.6142      0.0463      0.0269       0.021       1.331       0.577      15.742       0.150       2.565      16.616        0.10      59142.    0.2961  
