         28x20-4                  (28x20-4.dat)                                                                                                                                     
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2104      0.1080       0.144       9.095       4.004     107.600       1.028      17.811      16.879        0.11      96606.    0.7129  
        0.80      0.0305      0.0582      0.2069      0.1086       0.145       9.150       3.938     108.252       1.034      17.517      16.500        0.11      96738.    0.6911  
        1.61      0.0611      0.1136      0.2032      0.1092       0.146       9.195       3.867     108.792       1.039      17.200      16.122        0.11      96879.    0.6692  
        2.41      0.0916      0.1665      0.1991      0.1096       0.146       9.229       3.791     109.195       1.043      16.861      15.745        0.11      97028.    0.6470  
        3.22      0.1221      0.2167      0.1948      0.1098       0.147       9.250       3.709     109.437       1.045      16.496      15.371        0.11      97187.    0.6248  
        4.02      0.1527      0.2643      0.1902      0.1099       0.147       9.255       3.621     109.492       1.046      16.106      15.000        0.11      97355.    0.6025  
        4.82      0.1832      0.3094      0.1853      0.1097       0.147       9.241       3.527     109.334       1.044      15.689      14.633        0.11      97532.    0.5801  
        5.63      0.2138      0.3520      0.1801      0.1093       0.146       9.208       3.427     108.939       1.040      15.245      14.270        0.11      97719.    0.5576  
        6.43      0.2443      0.3922      0.1745      0.1087       0.145       9.152       3.321     108.283       1.034      14.772      13.911        0.11      97916.    0.5351  
        7.23      0.2748      0.4300      0.1685      0.1077       0.144       9.073       3.208     107.345       1.025      14.270      13.556        0.11      98124.    0.5125  
        8.04      0.3054      0.4653      0.1623      0.1065       0.142       8.968       3.089     106.104       1.013      13.739      13.204        0.11      98341.    0.4898  
        8.84      0.3359      0.4984      0.1557      0.1049       0.140       8.836       2.963     104.542       0.998      13.180      12.856        0.11      98568.    0.4671  
        9.65      0.3664      0.5291      0.1487      0.1030       0.138       8.676       2.831     102.644       0.980      12.593      12.511        0.11      98805.    0.4443  
       10.45      0.3970      0.5574      0.1415      0.1008       0.135       8.486       2.693     100.400       0.959      11.979      12.166        0.11      99053.    0.4214  
       11.25      0.4275      0.5833      0.1339      0.0982       0.131       8.267       2.549      97.806       0.934      11.339      11.822        0.11      99312.    0.3984  
       12.06      0.4580      0.6067      0.1261      0.0952       0.127       8.018       2.400      94.860       0.906      10.676      11.476        0.11      99580.    0.3753  
       12.86      0.4886      0.6274      0.1180      0.0919       0.123       7.739       2.246      91.561       0.874       9.990      11.126        0.11      99859.    0.3519  
       13.67      0.5191      0.6452      0.1097      0.0882       0.118       7.430       2.087      87.910       0.839       9.284      10.769        0.11     100149.    0.3284  
       14.47      0.5497      0.6599      0.1011      0.0842       0.113       7.092       1.924      83.909       0.801       8.560      10.402        0.11     100449.    0.3046  
       15.27      0.5802      0.6710      0.0923      0.0799       0.107       6.725       1.758      79.563       0.760       7.819      10.021        0.11     100760.    0.2804  
       16.08      0.6107      0.6780      0.0834      0.0751       0.100       6.328       1.588      74.874       0.715       7.063       9.619        0.11     101081.    0.2558  
       16.88      0.6413      0.6800      0.0743      0.0701       0.094       5.904       1.415      69.849       0.667       6.294       9.188        0.11     101413.    0.2307  
       17.69      0.6718      0.6760      0.0651      0.0647       0.086       5.451       1.240      64.498       0.616       5.514       8.718        0.11     101756.    0.2049  
       18.49      0.7023      0.6641      0.0558      0.0590       0.079       4.972       1.063      58.830       0.562       4.727       8.193        0.11     102109.    0.1783  
       19.29      0.7329      0.6419      0.0465      0.0531       0.071       4.468       0.884      52.862       0.505       3.934       7.589        0.11     102473.    0.1506  
       20.10      0.7634      0.6049      0.0371      0.0468       0.063       3.940       0.706      46.611       0.445       3.138       6.866        0.11     102848.    0.1217  
       20.90      0.7939      0.5461      0.0277      0.0402       0.054       3.389       0.527      40.099       0.383       2.344       5.960        0.11     103235.    0.0913  
       21.70      0.8245      0.4517      0.0183      0.0335       0.045       2.819       0.349      33.354       0.319       1.553       4.747        0.11     103632.    0.0592  
       22.51      0.8550      0.2932      0.0091      0.0265       0.035       2.232       0.173      26.408       0.252       0.770       2.972        0.11     104040.    0.0261  
       23.31      0.8855     -0.0015      0.0000      0.0194       0.026       1.630      -0.001      19.290       0.184      -0.003      -0.014        0.11     104458.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2116      0.1045       1.117      35.188      16.108     832.630       3.976      71.650       8.775        0.22     193196.    0.7433  
        1.61      0.0306      0.0606      0.2081      0.1052       1.124      35.424      15.844     838.217       4.002      70.474       8.573        0.22     193462.    0.7203  
        3.22      0.0612      0.1183      0.2044      0.1057       1.130      35.622      15.559     842.904       4.025      69.208       8.373        0.22     193745.    0.6971  
        4.84      0.0918      0.1733      0.2003      0.1062       1.135      35.774      15.254     846.491       4.042      67.848       8.173        0.22     194045.    0.6738  
        6.45      0.1224      0.2254      0.1960      0.1065       1.138      35.870      14.925     848.772       4.053      66.388       7.976        0.22     194364.    0.6504  
        8.06      0.1531      0.2749      0.1914      0.1066       1.139      35.902      14.573     849.534       4.056      64.823       7.781        0.22     194702.    0.6269  
        9.67      0.1837      0.3217      0.1865      0.1065       1.138      35.861      14.197     848.567       4.052      63.148       7.588        0.22     195059.    0.6035  
       11.28      0.2143      0.3660      0.1812      0.1061       1.134      35.739      13.795     845.664       4.038      61.361       7.399        0.22     195435.    0.5800  
       12.89      0.2449      0.4077      0.1756      0.1055       1.127      35.526      13.368     840.631       4.014      59.459       7.213        0.22     195831.    0.5566  
       14.51      0.2755      0.4470      0.1696      0.1045       1.117      35.216      12.914     833.284       3.979      57.441       7.029        0.22     196247.    0.5332  
       16.12      0.3061      0.4839      0.1633      0.1033       1.104      34.800      12.434     823.453       3.932      55.306       6.849        0.22     196684.    0.5097  
       17.73      0.3367      0.5185      0.1567      0.1017       1.088      34.273      11.928     810.978       3.872      53.054       6.671        0.22     197141.    0.4863  
       19.34      0.3673      0.5508      0.1497      0.0998       1.067      33.629      11.396     795.735       3.799      50.689       6.496        0.22     197619.    0.4628  
       20.95      0.3980      0.5808      0.1424      0.0976       1.043      32.864      10.840     777.639       3.713      48.215       6.322        0.22     198117.    0.4393  
       22.56      0.4286      0.6084      0.1348      0.0949       1.015      31.977      10.260     756.644       3.613      45.638       6.150        0.22     198636.    0.4158  
       24.18      0.4592      0.6337      0.1269      0.0919       0.983      30.966       9.659     732.727       3.499      42.964       5.979        0.22     199176.    0.3922  
       25.79      0.4898      0.6566      0.1187      0.0886       0.947      29.831       9.038     705.880       3.370      40.202       5.808        0.22     199737.    0.3685  
       27.40      0.5204      0.6768      0.1103      0.0848       0.907      28.573       8.399     676.105       3.228      37.359       5.635        0.22     200319.    0.3447  
       29.01      0.5510      0.6942      0.1017      0.0807       0.863      27.191       7.743     643.414       3.072      34.440       5.458        0.22     200923.    0.3206  
       30.62      0.5816      0.7085      0.0929      0.0763       0.815      25.688       7.072     607.831       2.902      31.455       5.277        0.22     201547.    0.2962  
       32.24      0.6122      0.7190      0.0839      0.0714       0.764      24.063       6.387     569.390       2.719      28.411       5.088        0.22     202193.    0.2714  
       33.85      0.6429      0.7253      0.0748      0.0663       0.708      22.320       5.691     528.143       2.522      25.315       4.888        0.23     202860.    0.2461  
       35.46      0.6735      0.7262      0.0655      0.0607       0.649      20.461       4.986     484.161       2.312      22.179       4.671        0.23     203548.    0.2202  
       37.07      0.7041      0.7201      0.0561      0.0549       0.587      18.491       4.274     437.537       2.089      19.011       4.431        0.23     204258.    0.1933  
       38.68      0.7347      0.7045      0.0467      0.0487       0.521      16.414       3.557     388.394       1.854      15.822       4.154        0.23     204990.    0.1654  
       40.29      0.7653      0.6750      0.0373      0.0423       0.452      14.237       2.838     336.884       1.609      12.625       3.821        0.23     205744.    0.1359  
       41.91      0.7959      0.6239      0.0278      0.0355       0.380      11.968       2.120     283.198       1.352       9.431       3.396        0.23     206520.    0.1044  
       43.52      0.8265      0.5348      0.0185      0.0285       0.305       9.617       1.406     227.569       1.087       6.256       2.803        0.23     207318.    0.0702  
       45.13      0.8571      0.3690      0.0092      0.0214       0.228       7.196       0.700     170.266       0.813       3.114       1.865        0.23     208138.    0.0329  
       46.74      0.8878      0.0030      0.0000      0.0140       0.150       4.713       0.004     111.515       0.532       0.016       0.015        0.23     208976.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2132      0.1037       3.742      78.621      36.518    2790.548       8.883     162.433       5.936        0.33     289754.    0.7571  
        2.42      0.0306      0.0615      0.2097      0.1045       3.768      79.170      35.924    2810.025       8.945     159.788       5.798        0.33     290154.    0.7335  
        4.84      0.0613      0.1201      0.2060      0.1051       3.790      79.632      35.283    2826.439       8.997     156.939       5.662        0.33     290580.    0.7099  
        7.26      0.0919      0.1759      0.2019      0.1055       3.807      79.989      34.594    2839.083       9.037     153.874       5.527        0.33     291033.    0.6861  
        9.68      0.1226      0.2288      0.1976      0.1058       3.818      80.219      33.854    2847.248       9.063     150.581       5.393        0.33     291514.    0.6623  
       12.10      0.1532      0.2790      0.1930      0.1059       3.822      80.302      33.059    2850.199       9.072     147.049       5.261        0.33     292023.    0.6385  
       14.52      0.1838      0.3266      0.1880      0.1058       3.818      80.218      32.209    2847.206       9.063     143.266       5.131        0.33     292561.    0.6146  
       16.94      0.2145      0.3715      0.1827      0.1055       3.805      79.946      31.301    2837.554       9.032     139.227       5.003        0.33     293128.    0.5908  
       19.36      0.2451      0.4140      0.1771      0.1048       3.782      79.467      30.334    2820.565       8.978     134.924       4.878        0.33     293725.    0.5670  
       21.78      0.2758      0.4540      0.1711      0.1039       3.749      78.764      29.306    2795.603       8.899     130.355       4.755        0.33     294352.    0.5433  
       24.20      0.3064      0.4916      0.1647      0.1027       3.704      77.819      28.219    2762.071       8.792     125.518       4.634        0.33     295010.    0.5196  
       26.62      0.3370      0.5269      0.1580      0.1011       3.647      76.618      27.072    2719.432       8.656     120.416       4.515        0.33     295698.    0.4959  
       29.04      0.3677      0.5599      0.1510      0.0991       3.577      75.147      25.866    2667.232       8.490     115.052       4.399        0.33     296418.    0.4722  
       31.46      0.3983      0.5907      0.1436      0.0968       3.494      73.399      24.604    2605.175       8.293     109.439       4.284        0.33     297168.    0.4485  
       33.88      0.4289      0.6193      0.1359      0.0942       3.397      71.368      23.289    2533.096       8.063     103.591       4.170        0.33     297950.    0.4248  
       36.30      0.4596      0.6456      0.1280      0.0911       3.287      69.052      21.925    2450.914       7.801      97.523       4.058        0.33     298763.    0.4010  
       38.72      0.4902      0.6696      0.1198      0.0877       3.163      66.451      20.515    2358.591       7.508      91.253       3.945        0.33     299608.    0.3772  
       41.14      0.5209      0.6912      0.1113      0.0839       3.026      63.565      19.064    2256.133       7.181      84.795       3.833        0.34     300483.    0.3532  
       43.56      0.5515      0.7100      0.1026      0.0797       2.875      60.394      17.573    2143.581       6.823      78.167       3.718        0.34     301391.    0.3290  
       45.98      0.5821      0.7260      0.0937      0.0751       2.710      56.940      16.049    2021.007       6.433      71.386       3.602        0.34     302330.    0.3046  
       48.40      0.6128      0.7386      0.0846      0.0702       2.533      53.208      14.494    1888.533       6.011      64.470       3.481        0.34     303301.    0.2797  
       50.82      0.6434      0.7472      0.0754      0.0649       2.342      49.201      12.913    1746.335       5.559      57.439       3.354        0.34     304305.    0.2544  
       53.24      0.6741      0.7509      0.0660      0.0593       2.138      44.928      11.311    1594.655       5.076      50.312       3.217        0.34     305340.    0.2284  
       55.66      0.7047      0.7481      0.0566      0.0533       1.923      40.397       9.693    1433.819       4.564      43.114       3.066        0.34     306408.    0.2015  
       58.07      0.7353      0.7366      0.0471      0.0470       1.695      35.619       8.064    1264.249       4.024      35.869       2.893        0.34     307508.    0.1734  
       60.49      0.7660      0.7120      0.0375      0.0404       1.457      30.611       6.431    1086.479       3.458      28.603       2.685        0.34     308641.    0.1437  
       62.91      0.7966      0.6662      0.0280      0.0335       1.208      25.390       4.799     901.175       2.869      21.348       2.416        0.34     309807.    0.1117  
       65.33      0.8273      0.5821      0.0185      0.0264       0.951      19.980       3.178     709.145       2.257      14.134       2.032        0.34     311006.    0.0765  
       67.75      0.8579      0.4145      0.0092      0.0190       0.686      14.407       1.573     511.340       1.628       6.997       1.395        0.34     312238.    0.0369  
       70.17      0.8885     -0.0042     -0.0001      0.0115       0.414       8.690      -0.009     308.446       0.982      -0.041      -0.014        0.34     313494.    0.0000  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       4000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.2154      0.1043       8.918     140.521      65.592    6650.104      15.876     291.753       4.474        0.44     386258.    0.7647  
        3.22      0.0306      0.0618      0.2119      0.1050       8.981     141.519      64.537    6697.353      15.989     287.061       4.371        0.44     386794.    0.7411  
        6.45      0.0612      0.1207      0.2082      0.1057       9.035     142.362      63.400    6737.234      16.084     282.002       4.268        0.44     387365.    0.7173  
        9.67      0.0919      0.1767      0.2042      0.1061       9.076     143.012      62.175    6767.989      16.157     276.552       4.167        0.44     387972.    0.6935  
       12.90      0.1225      0.2299      0.1998      0.1064       9.103     143.433      60.857    6787.931      16.205     270.691       4.066        0.44     388616.    0.6696  
       16.12      0.1531      0.2804      0.1952      0.1066       9.113     143.588      59.441    6795.265      16.222     264.396       3.968        0.44     389298.    0.6456  
       19.35      0.1837      0.3282      0.1902      0.1065       9.103     143.439      57.924    6788.207      16.206     257.648       3.870        0.44     390018.    0.6217  
       22.57      0.2143      0.3735      0.1849      0.1061       9.072     142.949      56.302    6765.006      16.150     250.433       3.775        0.44     390778.    0.5978  
       25.79      0.2450      0.4163      0.1792      0.1054       9.017     142.083      54.573    6724.033      16.052     242.742       3.681        0.44     391577.    0.5740  
       29.02      0.2756      0.4566      0.1732      0.1045       8.936     140.809      52.735    6663.738      15.909     234.567       3.589        0.44     392417.    0.5502  
       32.24      0.3062      0.4947      0.1668      0.1032       8.828     139.096      50.789    6582.694      15.715     225.908       3.500        0.44     393297.    0.5264  
       35.47      0.3368      0.5304      0.1600      0.1016       8.689     136.917      48.733    6479.565      15.469     216.764       3.411        0.44     394218.    0.5026  
       38.69      0.3674      0.5639      0.1529      0.0996       8.520     134.248      46.571    6353.270      15.167     207.147       3.325        0.44     395180.    0.4789  
