         4.5x4                    (45x4.dat)                                                                                                                                        
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1471      0.1468       0.000       0.001       0.002       0.016       0.000       0.009      53.610        0.02       3074.    0.3064  
        0.13      0.0314      0.0310      0.1458      0.1478       0.000       0.001       0.002       0.016       0.000       0.008      52.798        0.02       3077.    0.3005  
        0.27      0.0629      0.0610      0.1444      0.1487       0.000       0.001       0.002       0.016       0.000       0.008      51.961        0.02       3080.    0.2943  
        0.40      0.0943      0.0900      0.1428      0.1496       0.000       0.001       0.002       0.017       0.000       0.008      51.099        0.02       3084.    0.2879  
        0.54      0.1258      0.1180      0.1412      0.1505       0.000       0.001       0.002       0.017       0.000       0.008      50.215        0.02       3088.    0.2812  
        0.67      0.1572      0.1448      0.1393      0.1512       0.000       0.001       0.002       0.017       0.000       0.008      49.310        0.02       3093.    0.2743  
        0.80      0.1886      0.1705      0.1373      0.1519       0.000       0.001       0.002       0.017       0.000       0.008      48.384        0.02       3098.    0.2673  
        0.94      0.2201      0.1950      0.1351      0.1525       0.000       0.001       0.002       0.017       0.000       0.008      47.438        0.02       3103.    0.2599  
        1.07      0.2515      0.2184      0.1327      0.1528       0.000       0.001       0.002       0.017       0.000       0.008      46.473        0.02       3109.    0.2523  
        1.21      0.2829      0.2404      0.1301      0.1530       0.000       0.001       0.002       0.017       0.000       0.008      45.486        0.02       3115.    0.2445  
        1.34      0.3144      0.2612      0.1272      0.1530       0.000       0.001       0.002       0.017       0.000       0.007      44.476        0.02       3121.    0.2364  
        1.47      0.3458      0.2806      0.1240      0.1528       0.000       0.001       0.002       0.017       0.000       0.007      43.441        0.02       3128.    0.2280  
        1.61      0.3773      0.2987      0.1205      0.1523       0.000       0.001       0.002       0.017       0.000       0.007      42.375        0.02       3136.    0.2193  
        1.74      0.4087      0.3151      0.1167      0.1514       0.000       0.001       0.002       0.017       0.000       0.007      41.275        0.02       3144.    0.2102  
        1.88      0.4401      0.3300      0.1126      0.1502       0.000       0.001       0.001       0.017       0.000       0.007      40.136        0.02       3152.    0.2008  
        2.01      0.4716      0.3431      0.1081      0.1486       0.000       0.001       0.001       0.016       0.000       0.006      38.950        0.02       3161.    0.1909  
        2.14      0.5030      0.3543      0.1032      0.1465       0.000       0.001       0.001       0.016       0.000       0.006      37.708        0.02       3170.    0.1806  
        2.28      0.5345      0.3634      0.0980      0.1441       0.000       0.001       0.001       0.016       0.000       0.006      36.399        0.02       3180.    0.1699  
        2.41      0.5659      0.3701      0.0925      0.1414       0.000       0.001       0.001       0.016       0.000       0.005      35.011        0.02       3190.    0.1587  
        2.55      0.5973      0.3742      0.0867      0.1384       0.000       0.001       0.001       0.015       0.000       0.005      33.532        0.02       3201.    0.1472  
        2.68      0.6288      0.3753      0.0807      0.1352       0.000       0.001       0.001       0.015       0.000       0.005      31.949        0.02       3212.    0.1353  
        2.81      0.6602      0.3730      0.0744      0.1317       0.000       0.001       0.001       0.015       0.000       0.004      30.246        0.02       3223.    0.1230  
        2.95      0.6916      0.3671      0.0680      0.1281       0.000       0.001       0.001       0.014       0.000       0.004      28.408        0.02       3235.    0.1104  
        3.08      0.7231      0.3569      0.0614      0.1243       0.000       0.001       0.001       0.014       0.000       0.004      26.419        0.02       3247.    0.0975  
        3.22      0.7545      0.3420      0.0545      0.1203       0.000       0.001       0.001       0.013       0.000       0.003      24.260        0.02       3260.    0.0845  
        3.35      0.7860      0.3217      0.0476      0.1162       0.000       0.001       0.001       0.013       0.000       0.003      21.907        0.02       3273.    0.0712  
        3.48      0.8174      0.2953      0.0405      0.1120       0.000       0.001       0.001       0.012       0.000       0.002      19.336        0.02       3286.    0.0580  
        3.62      0.8488      0.2619      0.0332      0.1076       0.000       0.001       0.000       0.012       0.000       0.002      16.515        0.02       3300.    0.0449  
        3.75      0.8803      0.2205      0.0258      0.1032       0.000       0.001       0.000       0.011       0.000       0.002      13.409        0.02       3314.    0.0321  
        3.89      0.9117      0.1699      0.0184      0.0986       0.000       0.001       0.000       0.011       0.000       0.001       9.977        0.02       3329.    0.0202  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       2000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1492      0.1189       0.000       0.004       0.008       0.105       0.001       0.035      33.592        0.04       6147.    0.3868  
        0.29      0.0343      0.0422      0.1479      0.1201       0.000       0.004       0.008       0.106       0.001       0.034      32.958        0.04       6154.    0.3779  
        0.58      0.0686      0.0827      0.1465      0.1214       0.000       0.005       0.008       0.108       0.001       0.034      32.306        0.04       6161.    0.3686  
        0.88      0.1028      0.1216      0.1449      0.1226       0.000       0.005       0.008       0.109       0.001       0.034      31.639        0.04       6170.    0.3591  
        1.17      0.1371      0.1586      0.1432      0.1238       0.000       0.005       0.007       0.110       0.001       0.033      30.959        0.04       6179.    0.3492  
        1.46      0.1714      0.1938      0.1412      0.1249       0.000       0.005       0.007       0.111       0.001       0.033      30.269        0.04       6190.    0.3391  
        1.75      0.2057      0.2272      0.1391      0.1259       0.000       0.005       0.007       0.112       0.001       0.032      29.571        0.04       6201.    0.3288  
        2.04      0.2399      0.2588      0.1367      0.1267       0.000       0.005       0.007       0.112       0.001       0.032      28.865        0.04       6213.    0.3181  
        2.34      0.2742      0.2884      0.1340      0.1274       0.000       0.005       0.007       0.113       0.001       0.031      28.153        0.04       6226.    0.3072  
        2.63      0.3085      0.3162      0.1310      0.1278       0.000       0.005       0.007       0.113       0.001       0.030      27.434        0.04       6240.    0.2960  
        2.92      0.3428      0.3420      0.1277      0.1280       0.000       0.005       0.007       0.113       0.001       0.030      26.707        0.04       6256.    0.2845  
        3.21      0.3770      0.3659      0.1240      0.1278       0.000       0.005       0.006       0.113       0.001       0.029      25.972        0.04       6272.    0.2727  
        3.51      0.4113      0.3876      0.1200      0.1273       0.000       0.005       0.006       0.113       0.001       0.028      25.224        0.04       6289.    0.2605  
        3.80      0.4456      0.4073      0.1155      0.1264       0.000       0.005       0.006       0.112       0.001       0.027      24.462        0.04       6308.    0.2478  
        4.09      0.4799      0.4246      0.1105      0.1249       0.000       0.005       0.006       0.111       0.001       0.026      23.682        0.04       6327.    0.2347  
        4.38      0.5141      0.4395      0.1052      0.1230       0.000       0.005       0.005       0.109       0.001       0.024      22.879        0.04       6347.    0.2212  
        4.67      0.5484      0.4517      0.0994      0.1207       0.000       0.005       0.005       0.107       0.001       0.023      22.046        0.04       6369.    0.2072  
        4.97      0.5827      0.4610      0.0933      0.1179       0.000       0.004       0.005       0.104       0.000       0.022      21.176        0.04       6391.    0.1928  
        5.26      0.6170      0.4670      0.0869      0.1147       0.000       0.004       0.005       0.102       0.000       0.020      20.258        0.04       6415.    0.1780  
        5.55      0.6512      0.4692      0.0802      0.1113       0.000       0.004       0.004       0.099       0.000       0.019      19.284        0.04       6439.    0.1628  
        5.84      0.6855      0.4672      0.0733      0.1075       0.000       0.004       0.004       0.095       0.000       0.017      18.242        0.04       6465.    0.1472  
        6.13      0.7198      0.4603      0.0662      0.1034       0.000       0.004       0.003       0.092       0.000       0.015      17.117        0.04       6491.    0.1313  
        6.43      0.7541      0.4478      0.0589      0.0991       0.000       0.004       0.003       0.088       0.000       0.014      15.894        0.04       6519.    0.1150  
        6.72      0.7883      0.4286      0.0514      0.0945       0.000       0.004       0.003       0.084       0.000       0.012      14.552        0.04       6547.    0.0984  
        7.01      0.8226      0.4016      0.0438      0.0897       0.000       0.003       0.002       0.079       0.000       0.010      13.066        0.04       6577.    0.0815  
        7.30      0.8569      0.3650      0.0361      0.0847       0.000       0.003       0.002       0.075       0.000       0.008      11.401        0.04       6607.    0.0645  
        7.60      0.8912      0.3168      0.0282      0.0794       0.000       0.003       0.001       0.070       0.000       0.007       9.516        0.04       6638.    0.0477  
        7.89      0.9254      0.2542      0.0203      0.0739       0.000       0.003       0.001       0.065       0.000       0.005       7.352        0.04       6670.    0.0312  
        8.18      0.9597      0.1733      0.0123      0.0682       0.000       0.003       0.001       0.060       0.000       0.003       4.832        0.04       6703.    0.0160  
        8.47      0.9940      0.0686      0.0043      0.0623       0.000       0.002       0.000       0.055       0.000       0.001       1.847        0.04       6737.    0.0036  
                                                                                                                                                                                    
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       3000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1501      0.1072       0.000       0.009       0.018       0.321       0.001       0.079      24.989        0.05       9221.    0.4330  
        0.45      0.0350      0.0480      0.1489      0.1086       0.000       0.009       0.018       0.325       0.001       0.078      24.469        0.05       9231.    0.4222  
        0.89      0.0700      0.0939      0.1475      0.1099       0.000       0.009       0.017       0.329       0.001       0.077      23.936        0.05       9243.    0.4111  
        1.34      0.1050      0.1377      0.1459      0.1113       0.000       0.009       0.017       0.333       0.001       0.076      23.393        0.05       9256.    0.3996  
        1.79      0.1400      0.1792      0.1442      0.1126       0.000       0.009       0.017       0.337       0.001       0.075      22.843        0.05       9270.    0.3879  
        2.24      0.1750      0.2186      0.1422      0.1139       0.000       0.010       0.017       0.340       0.001       0.074      22.288        0.05       9286.    0.3759  
        2.68      0.2100      0.2557      0.1400      0.1150       0.000       0.010       0.016       0.344       0.001       0.073      21.729        0.05       9303.    0.3636  
        3.13      0.2450      0.2906      0.1376      0.1160       0.000       0.010       0.016       0.347       0.001       0.072      21.168        0.05       9322.    0.3511  
        3.58      0.2800      0.3233      0.1348      0.1168       0.000       0.010       0.016       0.349       0.001       0.071      20.606        0.05       9343.    0.3384  
        4.03      0.3150      0.3538      0.1318      0.1173       0.000       0.010       0.016       0.351       0.001       0.069      20.043        0.05       9365.    0.3254  
        4.47      0.3500      0.3821      0.1284      0.1176       0.000       0.010       0.015       0.352       0.001       0.067      19.479        0.05       9388.    0.3121  
