         4.75x4                   (475x4.dat)                                                                                                                                       
         v2022-0915                                                                                                                                                                 
         Simulation Date: 09/22/2022                                                                                                                                                
                                                                                                                                                                                    
         AIRFOIL AERO DATA GENERATED USING:  POLAR DIAGRAMS                                                                                                                         
                                                                                                                                                                                    
         ====== PERFORMANCE DATA (versus advance ratio and MPH) ======                                                                                                              
                                                                                                                                                                                    
         DEFINITIONS:                                                                                                                                                               
         J=V/nD (advance ratio)                                                                                                                                                     
         Ct=T/(rho * n**2 * D**4) (thrust coef.)                                                                                                                                    
         Cp=P/(rho * n**3 * D**5) (power coef.)                                                                                                                                     
         Pe=Ct*J/Cp (efficiency)                                                                                                                                                    
         V  (model speed in MPH)                                                                                                                                                    
         Mach (at prop tip)                                                                                                                                                         
         Reyn (at 75% of span)                                                                                                                                                      
         FOM (Figure of Merit)                                                                                                                                                      
                                                                                                                                                                                    
                                                                                                                                                                                    
         PROP RPM =       1000                                                                                                                                                      
                                                                                                                                                                                    
         V          J           Pe         Ct          Cp          PWR         Torque      Thrust      PWR         Torque      Thrust      THR/PWR      Mach      Reyn       FOM    
       (mph)     (Adv_Ratio)     -          -           -          (Hp)        (In-Lbf)     (Lbf)      (W)         (N-m)       (N)         (g/W)         -         -          -     
        0.00      0.0000      0.0000      0.1384      0.1320       0.000       0.002       0.002       0.019       0.000       0.010      53.184        0.02       3203.    0.3113  
        0.14      0.0302      0.0312      0.1371      0.1327       0.000       0.002       0.002       0.019       0.000       0.010      52.365        0.02       3206.    0.3051  
        0.27      0.0603      0.0613      0.1356      0.1335       0.000       0.002       0.002       0.019       0.000       0.010      51.519        0.02       3210.    0.2985  
        0.41      0.0905      0.0904      0.1340      0.1342       0.000       0.002       0.002       0.019       0.000       0.010      50.649        0.02       3214.    0.2918  
        0.54      0.1207      0.1184      0.1323      0.1348       0.000       0.002       0.002       0.020       0.000       0.010      49.756        0.02       3218.    0.2848  
        0.68      0.1508      0.1453      0.1304      0.1354       0.000       0.002       0.002       0.020       0.000       0.009      48.841        0.02       3222.    0.2776  
        0.81      0.1810      0.1710      0.1284      0.1359       0.000       0.002       0.002       0.020       0.000       0.009      47.903        0.02       3227.    0.2701  
        0.95      0.2111      0.1955      0.1262      0.1363       0.000       0.002       0.002       0.020       0.000       0.009      46.944        0.02       3232.    0.2624  
        1.09      0.2413      0.2187      0.1237      0.1365       0.000       0.002       0.002       0.020       0.000       0.009      45.962        0.02       3238.    0.2544  
        1.22      0.2715      0.2407      0.1211      0.1366       0.000       0.002       0.002       0.020       0.000       0.009      44.957        0.02       3244.    0.2462  
        1.36      0.3016      0.2613      0.1182      0.1364       0.000       0.002       0.002       0.020       0.000       0.009      43.926        0.02       3250.    0.2376  
        1.49      0.3318      0.2805      0.1151      0.1361       0.000       0.002       0.002       0.020       0.000       0.008      42.867        0.02       3257.    0.2288  
        1.63      0.3620      0.2982      0.1116      0.1355       0.000       0.002       0.002       0.020       0.000       0.008      41.775        0.02       3264.    0.2196  
        1.76      0.3921      0.3143      0.1079      0.1346       0.000       0.002       0.002       0.020       0.000       0.008      40.646        0.02       3272.    0.2101  
        1.90      0.4223      0.3287      0.1039      0.1334       0.000       0.002       0.002       0.019       0.000       0.007      39.474        0.02       3280.    0.2002  
        2.04      0.4525      0.3413      0.0995      0.1319       0.000       0.002       0.002       0.019       0.000       0.007      38.252        0.02       3288.    0.1898  
        2.17      0.4826      0.3519      0.0948      0.1300       0.000       0.002       0.002       0.019       0.000       0.007      36.970        0.02       3297.    0.1791  
        2.31      0.5128      0.3602      0.0898      0.1278       0.000       0.002       0.001       0.019       0.000       0.006      35.619        0.02       3307.    0.1679  
        2.44      0.5430      0.3660      0.0845      0.1254       0.000       0.002       0.001       0.018       0.000       0.006      34.185        0.02       3316.    0.1564  
        2.58      0.5731      0.3691      0.0790      0.1227       0.000       0.002       0.001       0.018       0.000       0.006      32.658        0.02       3326.    0.1445  
        2.71      0.6033      0.3691      0.0733      0.1198       0.000       0.001       0.001       0.017       0.000       0.005      31.024        0.02       3337.    0.1322  
        2.85      0.6334      0.3657      0.0674      0.1168       0.000       0.001       0.001       0.017       0.000       0.005      29.270        0.02       3348.    0.1196  
